,what,other,digital,tv,service,took,sky,uk,limited,'s,most,popular,spot,?
it,0.45803478360176086,0.36282607913017273,0.13123244047164917,0.15281613171100616,0.22391626238822937,0.2015649825334549,0.1916406899690628,0.21589650213718414,0.24430862069129944,0.06608816236257553,0.4001435935497284,0.29535067081451416,0.257231742143631,0.25732165575027466
was,0.22111038863658905,0.14651623368263245,0.14947694540023804,0.1889979988336563,0.22689001262187958,0.48213186860084534,0.181777685880661,0.206756129860878,0.18424993753433228,0.008974763564765453,0.29933857917785645,0.2916531562805176,0.1791197657585144,0.18412111699581146
the,0.42745697498321533,0.44152235984802246,0.18361380696296692,0.20034731924533844,0.22661015391349792,0.31657639145851135,0.26521286368370056,0.2143084555864334,0.2757521867752075,-0.01540423184633255,0.47635307908058167,0.2724021077156067,0.3011874258518219,0.22068053483963013
uk,0.17163191735744476,0.14097675681114197,0.26866528391838074,0.2463533878326416,0.21570588648319244,0.06875397264957428,0.18511655926704407,1.0,0.27878111600875854,-0.0013451746199280024,0.16839851438999176,0.24103550612926483,0.199739471077919,0.20222434401512146
's,0.02692362666130066,0.04445967823266983,0.14468993246555328,0.08012830466032028,0.017307469621300697,0.06150028854608536,0.054967135190963745,-0.0013451746199280024,0.009881002828478813,0.9999999403953552,0.024445664137601852,0.11900079250335693,0.003984704148024321,-0.023395681753754616
most,0.3219912350177765,0.4585079252719879,0.17598490417003632,0.1211390346288681,0.15512463450431824,0.15943247079849243,0.16676980257034302,0.16839851438999176,0.21033532917499542,0.024445664137601852,1.0,0.47782987356185913,0.2608468532562256,0.2107497900724411
popular,0.186283677816391,0.2623973786830902,0.2270868569612503,0.28460079431533813,0.20067115128040314,0.16051167249679565,0.11510704457759857,0.24103550612926483,0.221221461892128,0.11900079250335693,0.47782987356185913,1.0,0.26207828521728516,0.13108457624912262
digital,0.1757969856262207,0.16878508031368256,1.0000001192092896,0.3331485390663147,0.2400941252708435,0.027903512120246887,0.24256861209869385,0.26866528391838074,0.2482675164937973,0.14468993246555328,0.17598490417003632,0.2270868569612503,0.14416851103305817,0.12982943654060364
tv,0.20700684189796448,0.16815952956676483,0.3331485390663147,0.9999998807907104,0.1945541799068451,0.1394394338130951,0.22956761717796326,0.2463533878326416,0.15410321950912476,0.08012830466032028,0.1211390346288681,0.28460079431533813,0.15789666771888733,0.20290863513946533
service,0.16857224702835083,0.19713094830513,0.2400941252708435,0.1945541799068451,0.9999998807907104,0.1271515190601349,0.09141623228788376,0.21570588648319244,0.23828375339508057,0.017307469621300697,0.15512463450431824,0.20067115128040314,0.09271926432847977,0.1676298975944519
until,0.2693650424480438,0.18209607899188995,0.10578642785549164,0.17778541147708893,0.21693719923496246,0.2988736927509308,0.12450972199440002,0.10004782676696777,0.21432530879974365,0.02445155940949917,0.20077821612358093,0.21560947597026825,0.1691323071718216,0.20304496586322784
it,0.45803478360176086,0.36282607913017273,0.13123244047164917,0.15281613171100616,0.22391626238822937,0.2015649825334549,0.1916406899690628,0.21589650213718414,0.24430862069129944,0.06608816236257553,0.4001435935497284,0.29535067081451416,0.257231742143631,0.25732165575027466
was,0.22111038863658905,0.14651623368263245,0.14947694540023804,0.1889979988336563,0.22689001262187958,0.48213186860084534,0.181777685880661,0.206756129860878,0.18424993753433228,0.008974763564765453,0.29933857917785645,0.2916531562805176,0.1791197657585144,0.18412111699581146
overtaken,0.17214007675647736,0.19821295142173767,0.15214863419532776,0.11930864304304123,0.23479533195495605,0.3033505976200104,0.2010166198015213,0.24737350642681122,0.33175912499427795,0.0014128139009699225,0.3007647395133972,0.26192188262939453,0.17503173649311066,0.14449366927146912
by,0.2455483376979828,0.3321913778781891,0.17123854160308838,0.11470241099596024,0.20538176596164703,0.21169665455818176,0.13224995136260986,0.1589900702238083,0.2595236599445343,-0.010884488001465797,0.270847886800766,0.22654485702514648,0.13930484652519226,0.17966607213020325
freeview,0.17038284242153168,0.20627477765083313,0.4514492154121399,0.43692436814308167,0.3104778230190277,0.0659039244055748,0.31867551803588867,0.2617437243461609,0.2169511765241623,0.055508892983198166,0.12268007546663284,0.2251589149236679,0.1642000675201416,0.21317297220230103
in,0.30808621644973755,0.39989137649536133,0.1500016450881958,0.17989183962345123,0.1740635335445404,0.2818296551704407,0.20324937999248505,0.2261405885219574,0.23956921696662903,-0.037580832839012146,0.41416558623313904,0.3157482445240021,0.18070589005947113,0.20430970191955566
april,0.21502700448036194,0.12324710935354233,0.11602339148521423,0.20943476259708405,0.21541327238082886,0.2387424111366272,0.1687505543231964,0.18496617674827576,0.16255922615528107,-0.05799118056893349,0.13346488773822784,0.11906520277261734,0.15453046560287476,0.25704094767570496
2007,-0.15549811720848083,-0.1277657300233841,0.016212310642004013,-0.05067882314324379,-0.12731526792049408,-0.32785293459892273,-0.1390192210674286,-0.1339239478111267,-0.06358731538057327,-0.07339024543762207,-0.13878364861011505,-0.09450151771306992,-0.06708656996488571,-0.1664225310087204
.,0.3567904531955719,0.41511186957359314,0.1748691350221634,0.27196308970451355,0.2115515172481537,0.2481018751859665,0.19117935001850128,0.24075214564800262,0.23431839048862457,-0.003708066651597619,0.35404038429260254,0.2864297032356262,0.22672997415065765,0.4130953550338745
