,what,eponymous,variation,of,arithmetic,presents,a,decision,problem,not,evidenced,in,p,?
for,0.3017193675041199,0.1830080896615982,0.25241565704345703,0.4185989499092102,0.20194661617279053,0.33654582500457764,0.44038116931915283,0.2598762512207031,0.2661307752132416,0.39280617237091064,0.28628623485565186,0.4322226941585541,0.13376198709011078,0.264628142118454
example,0.3456268310546875,0.22178441286087036,0.37383943796157837,0.3570667505264282,0.3316824436187744,0.18986693024635315,0.40234753489494324,0.20591168105602264,0.3561607897281647,0.4156745672225952,0.2395225465297699,0.30483278632164,0.160737544298172,0.30374911427497864
",",0.3087472915649414,0.2480095624923706,0.2463468760251999,0.4946078956127167,0.22632817924022675,0.22769708931446075,0.427140474319458,0.2818170189857483,0.23938199877738953,0.3769696354866028,0.28092828392982483,0.5201468467712402,0.291064590215683,0.31091248989105225
the,0.42745697498321533,0.3006865978240967,0.28104788064956665,0.733189046382904,0.16548693180084229,0.3075920641422272,0.5829201340675354,0.2905151844024658,0.24928659200668335,0.4310511648654938,0.24880239367485046,0.6662389636039734,0.16481639444828033,0.22068053483963013
decision,0.32053670287132263,0.12171962112188339,0.16891780495643616,0.2331373691558838,0.1868358701467514,0.2101837694644928,0.24091263115406036,1.0,0.31341657042503357,0.31816837191581726,0.2610536217689514,0.2212151288986206,0.04619612172245979,0.2796577215194702
problem,0.42183366417884827,0.1782437413930893,0.2710123658180237,0.20464475452899933,0.3380037844181061,0.16016684472560883,0.2605542540550232,0.31341657042503357,1.0,0.3932628929615021,0.29956090450286865,0.16969570517539978,0.1706637293100357,0.3762950301170349
in,0.30808621644973755,0.2878515124320984,0.2113669216632843,0.5696388483047485,0.18081817030906677,0.23149815201759338,0.539380669593811,0.2212151288986206,0.16969570517539978,0.3403114080429077,0.19838939607143402,1.0,0.10853569954633713,0.20430970191955566
presburger,0.19967664778232574,0.13213633000850677,0.14736588299274445,0.2236313372850418,0.1685042530298233,0.2477814108133316,0.23272770643234253,0.16291619837284088,0.11703397333621979,0.14769208431243896,0.11893370747566223,0.278356671333313,0.15015171468257904,0.17462436854839325
arithmetic,0.27624577283859253,0.2249746471643448,0.2966538965702057,0.22986853122711182,0.9999999403953552,0.13362032175064087,0.24912910163402557,0.1868358701467514,0.3380037844181061,0.25780823826789856,0.11085893958806992,0.18081817030906677,0.22638100385665894,0.24343055486679077
has,0.20338068902492523,0.13051939010620117,0.19589351117610931,0.3909035325050354,0.17985396087169647,0.27612370252609253,0.4670248031616211,0.19688548147678375,0.19944548606872559,0.32239022850990295,0.2745741307735443,0.4173259735107422,0.07216716557741165,0.15994466841220856
been,0.2567804455757141,0.17889709770679474,0.21762967109680176,0.31685134768486023,0.1402350664138794,0.1808844953775406,0.3315402865409851,0.23335477709770203,0.29583504796028137,0.39571741223335266,0.3853335678577423,0.3515113592147827,0.06419767439365387,0.24354910850524902
shown,0.2601207196712494,0.20094560086727142,0.2179662138223648,0.24332952499389648,0.1198328509926796,0.34404242038726807,0.2581788897514343,0.13269370794296265,0.22640593349933624,0.31383776664733887,0.32798483967781067,0.2988935708999634,0.09382953494787216,0.2433658242225647
not,0.5449194312095642,0.20922228693962097,0.21270519495010376,0.3307090103626251,0.25780823826789856,0.23197905719280243,0.3791346549987793,0.31816837191581726,0.3932628929615021,0.9999999403953552,0.38288411498069763,0.3403114080429077,0.18450647592544556,0.41942933201789856
to,0.455847829580307,0.18461714684963226,0.224077507853508,0.41548454761505127,0.2076125293970108,0.2344801276922226,0.45503583550453186,0.35372841358184814,0.2502208352088928,0.5149973034858704,0.21956868469715118,0.45010748505592346,0.14269764721393585,0.29463258385658264
be,0.3929833769798279,0.17568416893482208,0.2556818425655365,0.33904364705085754,0.25647488236427307,0.21360084414482117,0.39883795380592346,0.3003653585910797,0.347878634929657,0.5788898468017578,0.28174930810928345,0.3481820821762085,0.12313798069953918,0.3324260413646698
in,0.30808621644973755,0.2878515124320984,0.2113669216632843,0.5696388483047485,0.18081817030906677,0.23149815201759338,0.539380669593811,0.2212151288986206,0.16969570517539978,0.3403114080429077,0.19838939607143402,1.0,0.10853569954633713,0.20430970191955566
p,0.18586504459381104,0.059494033455848694,0.1112852692604065,0.18174134194850922,0.22638100385665894,0.12761203944683075,0.15866722166538239,0.04619612172245979,0.1706637293100357,0.18450647592544556,0.09866427630186081,0.10853569954633713,1.0,0.20840544998645782
",",0.3087472915649414,0.2480095624923706,0.2463468760251999,0.4946078956127167,0.22632817924022675,0.22769708931446075,0.427140474319458,0.2818170189857483,0.23938199877738953,0.3769696354866028,0.28092828392982483,0.5201468467712402,0.291064590215683,0.31091248989105225
yet,0.44080492854118347,0.2503957748413086,0.2629413604736328,0.22536693513393402,0.2585698962211609,0.2012973576784134,0.3265615999698639,0.26837414503097534,0.4538140892982483,0.588850200176239,0.41399717330932617,0.2714422047138214,0.1380440890789032,0.4011770784854889
algorithms,0.25635042786598206,0.13473771512508392,0.29841676354408264,0.22317801415920258,0.6431280374526978,0.20362040400505066,0.21237695217132568,0.23061756789684296,0.40899839997291565,0.1642848253250122,0.1529291421175003,0.19189399480819702,0.18412981927394867,0.186949223279953
