,what,is,the,name,for,a,form,of,oxygen,in,which,electrons,are,paired,?
singlet,0.20141500234603882,0.24867701530456543,0.2022450864315033,0.14842896163463593,0.1634807139635086,0.328403115272522,0.13231177628040314,0.16668915748596191,0.21857549250125885,0.1821850836277008,0.23882648348808289,0.29589587450027466,0.17300118505954742,0.2760871946811676,0.22683241963386536
oxygen,0.16781960427761078,0.21825239062309265,0.20428593456745148,0.17779450118541718,0.22718772292137146,0.21662019193172455,0.22106200456619263,0.16848602890968323,0.9999999403953552,0.1672476977109909,0.3166238069534302,0.5168894529342651,0.24342744052410126,0.2404959499835968,0.16786395013332367
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.43268078565597534,0.658733606338501,0.3218395411968231,0.4854315221309662,0.21825239062309265,0.5394441485404968,0.4457404911518097,0.20416733622550964,0.5330929756164551,0.15144731104373932,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.44038116931915283,1.0,0.3088195323944092,0.5052502155303955,0.21662019193172455,0.539380669593811,0.56894451379776,0.2377878874540329,0.265255331993103,0.21790704131126404,0.23916715383529663
name,0.18623162806034088,0.3359788954257965,0.3171212375164032,1.0,0.25737348198890686,0.26421117782592773,0.2751023769378662,0.24075818061828613,0.17779450118541718,0.2459065467119217,0.2972666025161743,0.1075698733329773,0.17349179089069366,0.14450626075267792,0.15381577610969543
given,0.21883496642112732,0.249215230345726,0.37508252263069153,0.33893364667892456,0.44294488430023193,0.3335871398448944,0.20550790429115295,0.39388060569763184,0.2006402611732483,0.2528568208217621,0.3192405104637146,0.22002474963665009,0.20467253029346466,0.2379532903432846,0.2570464313030243
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.4451248347759247,0.45503583550453186,0.2772196829319,0.41548454761505127,0.24193501472473145,0.45010748505592346,0.5345056653022766,0.2753003239631653,0.3504326641559601,0.20848754048347473,0.29463258385658264
several,0.22446060180664062,0.20361857116222382,0.40559855103492737,0.18625035881996155,0.3891045153141022,0.29992109537124634,0.1610567718744278,0.3271615505218506,0.15323983132839203,0.39405709505081177,0.4863804280757904,0.1437772959470749,0.4241659343242645,0.21194520592689514,0.15595775842666626
higher-energy,0.2939240038394928,0.3058609366416931,0.369344025850296,0.15659861266613007,0.28151506185531616,0.284405916929245,0.2684268355369568,0.3805482089519501,0.4211692214012146,0.2836132049560547,0.3803933262825012,0.468269020318985,0.36398178339004517,0.16869406402111053,0.24226368963718414
species,0.14617158472537994,0.2673557698726654,0.2522439956665039,0.19735915958881378,0.18632523715496063,0.22986134886741638,0.24065403640270233,0.23307405412197113,0.29576364159584045,0.2179255336523056,0.2846525013446808,0.3034280240535736,0.3297041952610016,0.21855448186397552,0.1957087516784668
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,0.4185989499092102,0.5052502155303955,0.29600051045417786,1.0,0.16848602890968323,0.5696388483047485,0.5011631846427917,0.1921376883983612,0.39081433415412903,0.17767414450645447,0.1826142966747284
molecular,0.20577901601791382,0.2143259346485138,0.23136529326438904,0.11405878514051437,0.17295408248901367,0.2225467711687088,0.23858703672885895,0.28562790155410767,0.4132167398929596,0.23809398710727692,0.28664806485176086,0.48255565762519836,0.2298266738653183,0.2021661102771759,0.1327144205570221
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.2113150954246521,0.140855610370636,0.18840523064136505,0.1058930829167366,0.16054381430149078,0.2476140707731247,0.17052006721496582,0.17921511828899384,0.19850078225135803,0.10547653585672379,0.13575413823127747,0.23868927359580994
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,-0.0185689777135849,-0.09542696177959442,-0.05323360115289688,0.031230177730321884,-0.013777675107121468,0.04063820466399193,0.01447046548128128,-0.044377245008945465,0.030878376215696335,-0.028399748727679253,-0.015139972791075706,0.001977203879505396
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.4322226941585541,0.539380669593811,0.2815987169742584,0.5696388483047485,0.1672476977109909,1.0,0.4840516746044159,0.15858358144760132,0.3841303884983063,0.18087998032569885,0.20430970191955566
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2972666025161743,0.44095608592033386,0.56894451379776,0.4024239182472229,0.5011631846427917,0.3166238069534302,0.4840516746044159,1.0,0.3188974857330322,0.42922598123550415,0.36493587493896484,0.25814583897590637
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.18820150196552277,0.41144001483917236,0.2696802616119385,0.2039855718612671,0.42798417806625366,0.22770634293556213,0.3335905969142914,0.50777268409729,0.2503911554813385,0.5343062281608582,0.2596026062965393,0.29575422406196594
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.4739971458911896,0.5829201340675354,0.29286009073257446,0.733189046382904,0.20428593456745148,0.6662389636039734,0.6521818041801453,0.2109822928905487,0.40399202704429626,0.26406329870224,0.22068053483963013
electron,0.22967670857906342,0.2023618221282959,0.20653016865253448,0.1014040932059288,0.16706301271915436,0.24545662105083466,0.24271827936172485,0.21591268479824066,0.49423015117645264,0.16054019331932068,0.317292183637619,0.9217658638954163,0.18258248269557953,0.2558326721191406,0.18293288350105286
spins,0.2210051715373993,0.24568180739879608,0.26315373182296753,0.138534814119339,0.1884361207485199,0.34242647886276245,0.1633160561323166,0.20363713800907135,0.290741503238678,0.2062634825706482,0.33083420991897583,0.49124985933303833,0.22485734522342682,0.3112579584121704,0.12287293374538422
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.17349179089069366,0.3895993232727051,0.265255331993103,0.29983413219451904,0.39081433415412903,0.24342744052410126,0.3841303884983063,0.42922598123550415,0.25583213567733765,1.0,0.2678089439868927,0.24591213464736938
paired,0.18505491316318512,0.15144731104373932,0.26406329870224,0.14450626075267792,0.18897892534732819,0.21790704131126404,0.23370541632175446,0.17767414450645447,0.2404959499835968,0.18087998032569885,0.36493587493896484,0.296665757894516,0.2678089439868927,0.9999999403953552,0.08378737419843674
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.4726039469242096,0.50484299659729,0.28317511081695557,0.5352458953857422,0.2554275095462799,0.5591574311256409,0.45942068099975586,0.2193155288696289,0.3452940285205841,0.26044750213623047,0.4130953550338745
