,in,what,treatment,are,nonconservative,and,conservative,forces,described,?
the,0.6662389636039734,0.42745697498321533,0.2350214421749115,0.40399202704429626,0.21776974201202393,0.5171257257461548,0.19218477606773376,0.3134811818599701,0.2878154516220093,0.22068053483963013
connection,0.2436826080083847,0.24457211792469025,0.19334211945533752,0.260875940322876,0.16405044496059418,0.30564460158348083,0.15493029356002808,0.2090216428041458,0.1838635802268982,0.1714525669813156
between,0.41100412607192993,0.2462156116962433,0.09372644871473312,0.2766000032424927,0.18984262645244598,0.40645647048950195,0.16637268662452698,0.252635657787323,0.2376609444618225,0.12887074053287506
macroscopic,0.21586230397224426,0.2585065960884094,0.2351943403482437,0.28226616978645325,0.21262341737747192,0.21026022732257843,0.11763399094343185,0.27319493889808655,0.28799840807914734,0.1954335868358612
nonconservative,0.2186841368675232,0.25337398052215576,0.2195594310760498,0.2226540446281433,1.0,0.26837411522865295,0.9354134798049927,0.2189924269914627,0.23573662340641022,0.2374468743801117
forces,0.2565164566040039,0.2112482488155365,0.17827542126178741,0.22039441764354706,0.2189924269914627,0.26456665992736816,0.22328926622867584,1.0,0.14903825521469116,0.16984491050243378
and,0.4954058527946472,0.31309178471565247,0.2541726231575012,0.48576638102531433,0.26837411522865295,1.0,0.24419347941875458,0.26456665992736816,0.2681671977043152,0.20544172823429108
microscopic,0.19985510408878326,0.22313661873340607,0.26750534772872925,0.2774121165275574,0.2067190706729889,0.18491657078266144,0.10281608253717422,0.24666401743888855,0.32110795378685,0.18998190760612488
conservative,0.1964135617017746,0.1886831820011139,0.1729087382555008,0.1741485595703125,0.9354134798049927,0.24419347941875458,0.9999999403953552,0.22328926622867584,0.208308607339859,0.1597563922405243
forces,0.2565164566040039,0.2112482488155365,0.17827542126178741,0.22039441764354706,0.2189924269914627,0.26456665992736816,0.22328926622867584,1.0,0.14903825521469116,0.16984491050243378
is,0.5394441485404968,0.28837618231773376,0.20538249611854553,0.5330929756164551,0.23817770183086395,0.3859752118587494,0.2060939073562622,0.18792390823364258,0.2517563998699188,0.22961433231830597
described,0.28813880681991577,0.22590412199497223,0.2270420789718628,0.25001800060272217,0.23573662340641022,0.2681671977043152,0.208308607339859,0.14903825521469116,0.9999999403953552,0.1374269425868988
by,0.370934396982193,0.2455483376979828,0.13876107335090637,0.37842893600463867,0.20998865365982056,0.4289871156215668,0.1893496811389923,0.294624388217926,0.28709930181503296,0.17966607213020325
detailed,0.23479875922203064,0.34171777963638306,0.2478775531053543,0.22662648558616638,0.25278356671333313,0.24049179255962372,0.19788187742233276,0.12476783990859985,0.42421284317970276,0.22426927089691162
treatment,0.21588237583637238,0.27640530467033386,0.9999999403953552,0.21270906925201416,0.2195594310760498,0.2541726231575012,0.1729087382555008,0.17827542126178741,0.2270420789718628,0.20314443111419678
with,0.4080928862094879,0.2464839518070221,0.22086894512176514,0.38996943831443787,0.18100842833518982,0.5477725267410278,0.14026179909706116,0.18998397886753082,0.24371938407421112,0.2433311939239502
statistical,0.27423131465911865,0.2944276034832001,0.18274523317813873,0.21718060970306396,0.2135993242263794,0.19007062911987305,0.1665962189435959,0.15993203222751617,0.2607394754886627,0.1697750836610794
mechanics,0.19751228392124176,0.3135516941547394,0.20552672445774078,0.23025205731391907,0.25068119168281555,0.1544848382472992,0.17462056875228882,0.22473439574241638,0.20967698097229004,0.15634238719940186
.,0.5591574311256409,0.3567904531955719,0.27064111828804016,0.3452940285205841,0.3007045090198517,0.588965117931366,0.24244344234466553,0.21802116930484772,0.21733810007572174,0.4130953550338745
