,what,australian,channel,shows,first-run,doctor,who,episodes,?
the,0.42745697498321533,0.23527215421199799,0.2860044836997986,0.36348509788513184,0.38291221857070923,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.22068053483963013
abc,0.1317344456911087,0.25656649470329285,0.4020179808139801,0.3304527997970581,0.23845763504505157,0.157832071185112,0.14673753082752228,0.4064764380455017,0.19065172970294952
broadcasts,0.17804105579853058,0.1993005871772766,0.5043518543243408,0.3139079213142395,0.23499003052711487,0.13313034176826477,0.19912755489349365,0.35629352927207947,0.1364026516675949
the,0.42745697498321533,0.23527215421199799,0.2860044836997986,0.36348509788513184,0.38291221857070923,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.22068053483963013
modern,0.2655639946460724,0.18392880260944366,0.13494066894054413,0.19211836159229279,0.2726271450519562,0.12570640444755554,0.16937296092510223,0.0305334385484457,0.12475407868623734
series,0.17328087985515594,0.1630362570285797,0.3384625315666199,0.3294292390346527,0.3358475863933563,0.2712797522544861,0.21484537422657013,0.5597400069236755,0.1709602326154709
first,0.28086137771606445,0.2825000286102295,0.1888643205165863,0.17923472821712494,0.609368085861206,0.27244147658348083,0.39065709710121155,0.21580514311790466,0.18701928853988647
run,0.2294815480709076,0.13712692260742188,0.18467092514038086,0.1459360122680664,0.45989131927490234,0.1929945945739746,0.2372417002916336,0.23102617263793945,0.17904110252857208
on,0.34226128458976746,0.17655448615550995,0.2989991009235382,0.361020565032959,0.2847338914871216,0.1636410653591156,0.2340552806854248,0.25720518827438354,0.2714994251728058
abc1,0.1549001783132553,0.23330506682395935,0.2421577125787735,0.20561586320400238,0.29977932572364807,0.17026692628860474,0.210221529006958,0.31280645728111267,0.23792004585266113
",",0.3087472915649414,0.18606895208358765,0.18730267882347107,0.26986414194107056,0.3850622773170471,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.31091248989105225
with,0.2464839518070221,0.18764913082122803,0.17526158690452576,0.3140493929386139,0.30088135600090027,0.17277967929840088,0.3282766342163086,0.24692673981189728,0.2433311939239502
repeats,0.2841259837150574,0.08413994312286377,0.2563343644142151,0.35381782054901123,0.27958041429519653,0.14890803396701813,0.17133671045303345,0.31305578351020813,0.19185885787010193
