,what,television,specials,did,abc,acquire,the,rights,to,in,2000,?
since,0.29783400893211365,0.21545590460300446,0.20710545778274536,0.27613121271133423,0.20685888826847076,0.14972004294395447,0.4054957628250122,0.2863456606864929,0.3733763098716736,0.4325680434703827,-0.05223638564348221,0.2876587212085724
2000,-0.10562582314014435,0.2349197268486023,0.12467017024755478,0.028451859951019287,0.0834399089217186,0.05663071945309639,-0.015081177465617657,0.02201712504029274,-0.05413077399134636,-0.0435720756649971,1.0,-0.0824366956949234
",",0.3087472915649414,0.27995240688323975,0.26344001293182373,0.3015086054801941,0.2097204476594925,0.19705404341220856,0.4933079481124878,0.2595706284046173,0.44245919585227966,0.5201468467712402,-0.03465369716286659,0.31091248989105225
abc,0.1317344456911087,0.46871840953826904,0.3592981696128845,0.13353709876537323,1.0000001192092896,0.09076379239559174,0.2068762183189392,0.16774038970470428,0.1762417107820511,0.1697147786617279,0.0834399089217186,0.19065172970294952
has,0.20338068902492523,0.19236408174037933,0.17209482192993164,0.2124989777803421,0.23067910969257355,0.13288110494613647,0.4177538752555847,0.193097785115242,0.3619994819164276,0.4173259735107422,-0.0468919537961483,0.15994466841220856
also,0.42747777700424194,0.2801430821418762,0.35177597403526306,0.39334940910339355,0.2030053734779358,0.20261232554912567,0.6021018624305725,0.2657243609428406,0.5348826050758362,0.5073733329772949,-0.018866080790758133,0.21848613023757935
owned,0.12432919442653656,0.20238907635211945,0.202609121799469,0.20064307749271393,0.2405787706375122,0.32311391830444336,0.1999378502368927,0.24924103915691376,0.12258157879114151,0.22438469529151917,-0.04367321357131004,0.1288648396730423
the,0.42745697498321533,0.24569597840309143,0.2759421467781067,0.34736719727516174,0.2068762183189392,0.19284681975841522,1.0,0.2579100430011749,0.535392165184021,0.6662389636039734,-0.015081177465617657,0.22068053483963013
television,0.19838058948516846,1.0000001192092896,0.47610804438591003,0.17055591940879822,0.46871840953826904,0.1472471058368683,0.24569597840309143,0.18617643415927887,0.1933557242155075,0.2689782977104187,0.2349197268486023,0.16825827956199646
rights,0.2386135458946228,0.18617643415927887,0.17638227343559265,0.2525300085544586,0.16774038970470428,0.204771488904953,0.2579100430011749,0.9999999403953552,0.2570022940635681,0.17772755026817322,0.02201712504029274,0.21814769506454468
to,0.455847829580307,0.1933557242155075,0.2470153123140335,0.4452643394470215,0.1762417107820511,0.19960732758045197,0.535392165184021,0.2570022940635681,1.0,0.45010748505592346,-0.05413077399134636,0.29463258385658264
most,0.3219912350177765,0.15985378623008728,0.24972835183143616,0.2822507321834564,0.12975531816482544,0.20127062499523163,0.47635307908058167,0.17968110740184784,0.321603000164032,0.41416558623313904,-0.05183561146259308,0.2107497900724411
of,0.33290785551071167,0.21995750069618225,0.15874384343624115,0.2513895630836487,0.14607268571853638,0.19236667454242706,0.733189046382904,0.19425496459007263,0.41548454761505127,0.5696388483047485,0.010344067588448524,0.1826142966747284
