,what,do,the,strains,of,y.,pestis,suggest,abut,the,plague,?
these,0.4164220690727234,0.4402875602245331,0.49086877703666687,0.3780275881290436,0.42684608697891235,0.07766048610210419,0.2972303032875061,0.3819870054721832,0.1869886964559555,0.49086877703666687,0.24028947949409485,0.2571668326854706
clades,0.21586823463439941,0.22590969502925873,0.2675536870956421,0.3971828818321228,0.25594544410705566,0.06665175408124924,0.32047635316848755,0.36797353625297546,0.234562486410141,0.2675536870956421,0.14894214272499084,0.17848095297813416
(,0.2411840260028839,0.24216170608997345,0.33289089798927307,0.11020202189683914,0.35032153129577637,0.13315913081169128,0.165696382522583,0.21362820267677307,0.2026105523109436,0.33289089798927307,0.137485072016716,0.40561532974243164
which,0.5261979103088379,0.31153854727745056,0.6521818041801453,0.28654178977012634,0.5011631846427917,0.07363233715295792,0.3103539049625397,0.3172142803668976,0.28022298216819763,0.6521818041801453,0.25075629353523254,0.25814583897590637
are,0.29724663496017456,0.41111594438552856,0.40399202704429626,0.32726290822029114,0.39081433415412903,0.02955223061144352,0.2383180856704712,0.31504109501838684,0.22025717794895172,0.40399202704429626,0.15205079317092896,0.24591213464736938
thought,0.4469435214996338,0.2794938385486603,0.3509289622306824,0.24023497104644775,0.34673458337783813,-0.1321345418691635,0.25360268354415894,0.47354522347450256,0.2906830310821533,0.3509289622306824,0.2600853145122528,0.2600135803222656
to,0.455847829580307,0.38876664638519287,0.535392165184021,0.2623961269855499,0.41548454761505127,0.06021231412887573,0.20381589233875275,0.3512662351131439,0.27736738324165344,0.535392165184021,0.21845681965351105,0.29463258385658264
be,0.3929833769798279,0.36575672030448914,0.4248143136501312,0.2750367820262909,0.33904364705085754,0.13265995681285858,0.27711811661720276,0.3926500082015991,0.28396913409233093,0.4248143136501312,0.15983276069164276,0.3324260413646698
extinct,0.1671062558889389,0.17604398727416992,0.21509680151939392,0.23111775517463684,0.22219842672348022,0.008805355988442898,0.2809530794620514,0.22843903303146362,0.27552568912506104,0.21509680151939392,0.22937998175621033,0.13103057444095612
),0.26259949803352356,0.24460165202617645,0.3456730246543884,0.11832748353481293,0.3680361211299896,0.14017075300216675,0.15671733021736145,0.2209397256374359,0.23198054730892181,0.3456730246543884,0.1338484138250351,0.42300865054130554
were,0.22298263013362885,0.23274902999401093,0.3906462490558624,0.2279212325811386,0.34038281440734863,-0.10727162659168243,0.19339026510715485,0.2192090004682541,0.25077998638153076,0.3906462490558624,0.24258224666118622,0.17890112102031708
found,0.1796332150697708,0.19611693918704987,0.3452354073524475,0.2600105404853821,0.2982911467552185,-0.03475420922040939,0.22019493579864502,0.3292362689971924,0.2788000702857971,0.3452354073524475,0.22043973207473755,0.16790300607681274
to,0.455847829580307,0.38876664638519287,0.535392165184021,0.2623961269855499,0.41548454761505127,0.06021231412887573,0.20381589233875275,0.3512662351131439,0.27736738324165344,0.535392165184021,0.21845681965351105,0.29463258385658264
be,0.3929833769798279,0.36575672030448914,0.4248143136501312,0.2750367820262909,0.33904364705085754,0.13265995681285858,0.27711811661720276,0.3926500082015991,0.28396913409233093,0.4248143136501312,0.15983276069164276,0.3324260413646698
ancestral,0.17634287476539612,0.17321372032165527,0.274385929107666,0.24299973249435425,0.31762784719467163,-0.04984690994024277,0.25893470644950867,0.3208026587963104,0.27756115794181824,0.274385929107666,0.14537730813026428,0.11722901463508606
to,0.455847829580307,0.38876664638519287,0.535392165184021,0.2623961269855499,0.41548454761505127,0.06021231412887573,0.20381589233875275,0.3512662351131439,0.27736738324165344,0.535392165184021,0.21845681965351105,0.29463258385658264
modern,0.2655639946460724,0.1850697249174118,0.3283970355987549,0.1961035132408142,0.3482828736305237,-0.0545920804142952,0.12665799260139465,0.24244429171085358,0.1436365693807602,0.3283970355987549,0.14019879698753357,0.12475407868623734
isolates,0.22660017013549805,0.2181117683649063,0.2699366807937622,0.33813175559043884,0.24662165343761444,0.15528593957424164,0.1624472290277481,0.2646098732948303,0.2507098317146301,0.2699366807937622,0.11915840208530426,0.1288473755121231
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.23471179604530334,1.0,0.013823704794049263,0.19618989527225494,0.28071948885917664,0.2687622308731079,0.733189046382904,0.27455615997314453,0.1826142966747284
the,0.42745697498321533,0.30239659547805786,1.0,0.21299296617507935,0.733189046382904,-0.0005152968224138021,0.23376873135566711,0.2682655155658722,0.3234613239765167,1.0,0.2537761330604553,0.22068053483963013
modern,0.2655639946460724,0.1850697249174118,0.3283970355987549,0.1961035132408142,0.3482828736305237,-0.0545920804142952,0.12665799260139465,0.24244429171085358,0.1436365693807602,0.3283970355987549,0.14019879698753357,0.12475407868623734
