,what,is,the,total,make,up,of,fish,species,living,in,the,amazon,?
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.2843787372112274,0.3527044355869293,0.30488982796669006,0.4999135136604309,0.2246810346841812,0.23823657631874084,0.24753230810165405,0.4129433035850525,0.5514441132545471,0.17098593711853027,0.2673267424106598
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27667245268821716,0.268858402967453,0.3120773434638977,0.5696388483047485,0.21571144461631775,0.2179255336523056,0.3253810405731201,1.0,0.6662389636039734,0.12227833271026611,0.20430970191955566
five,0.18688078224658966,0.22980348765850067,0.41977158188819885,0.3657594323158264,0.1896439492702484,0.25893768668174744,0.3980514109134674,0.1978648602962494,0.16437067091464996,0.25232547521591187,0.3634254038333893,0.41977158188819885,0.07857491821050644,0.18342848122119904
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.29045331478118896,0.2912110388278961,0.32945773005485535,1.0,0.2105162888765335,0.23307405412197113,0.3499443829059601,0.5696388483047485,0.733189046382904,0.20143137872219086,0.1826142966747284
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.32222825288772583,0.37725141644477844,0.3293834626674652,0.42798417806625366,0.20393723249435425,0.23658406734466553,0.29973915219306946,0.3335905969142914,0.4860881567001343,0.23186959326267242,0.29575422406196594
the,0.42745697498321533,0.5823672413825989,1.0,0.27068960666656494,0.3146495521068573,0.38423117995262146,0.733189046382904,0.23185352981090546,0.2522439956665039,0.3127744197845459,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
bird,0.1698967069387436,0.23662157356739044,0.2014537751674652,0.1197763979434967,0.10137352347373962,0.16368810832500458,0.19909559190273285,0.33615317940711975,0.4155181050300598,0.11541283875703812,0.17826232314109802,0.2014537751674652,0.1772421896457672,0.16571767628192902
species,0.14617158472537994,0.2673557698726654,0.2522439956665039,0.11245447397232056,0.16408716142177582,0.1282709538936615,0.23307405412197113,0.39843615889549255,0.9999999403953552,0.3030374050140381,0.2179255336523056,0.2522439956665039,0.2994495630264282,0.1957087516784668
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27667245268821716,0.268858402967453,0.3120773434638977,0.5696388483047485,0.21571144461631775,0.2179255336523056,0.3253810405731201,1.0,0.6662389636039734,0.12227833271026611,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.27068960666656494,0.3146495521068573,0.38423117995262146,0.733189046382904,0.23185352981090546,0.2522439956665039,0.3127744197845459,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.33604270219802856,0.20147113502025604,0.23234829306602478,0.2586722671985626,0.2828933000564575,0.10220431536436081,0.22318719327449799,0.19708633422851562,0.3038199245929718,0.33604270219802856,0.22393567860126495,0.17579582333564758
live,0.20532001554965973,0.2694047689437866,0.2995128035545349,0.21879000961780548,0.2678859233856201,0.17031817138195038,0.27734068036079407,0.27081915736198425,0.2610782980918884,0.5108150839805603,0.3068392276763916,0.2995128035545349,0.23784711956977844,0.19481121003627777
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27667245268821716,0.268858402967453,0.3120773434638977,0.5696388483047485,0.21571144461631775,0.2179255336523056,0.3253810405731201,1.0,0.6662389636039734,0.12227833271026611,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.27068960666656494,0.3146495521068573,0.38423117995262146,0.733189046382904,0.23185352981090546,0.2522439956665039,0.3127744197845459,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
rainforests,0.226042240858078,0.27411723136901855,0.2820507287979126,0.16111935675144196,0.1583205908536911,0.19815145432949066,0.25672608613967896,0.28751087188720703,0.5327847003936768,0.32342448830604553,0.24447718262672424,0.2820507287979126,0.48722654581069946,0.17730745673179626
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.29045331478118896,0.2912110388278961,0.32945773005485535,1.0,0.2105162888765335,0.23307405412197113,0.3499443829059601,0.5696388483047485,0.733189046382904,0.20143137872219086,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.27068960666656494,0.3146495521068573,0.38423117995262146,0.733189046382904,0.23185352981090546,0.2522439956665039,0.3127744197845459,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
amazon,0.16355936229228973,0.15197539329528809,0.260541707277298,0.11719238758087158,0.16518940031528473,0.11360682547092438,0.20143137872219086,0.2521156966686249,0.2994495630264282,0.1754138022661209,0.12227833271026611,0.260541707277298,1.0000001192092896,0.18144656717777252
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25815486907958984,0.324553906917572,0.34193792939186096,0.4946078956127167,0.220574751496315,0.2223871648311615,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2520328164100647,0.4160483181476593,0.4032393991947174,0.5116966962814331,0.2571234405040741,0.23547904193401337,0.27568840980529785,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.20544172823429108
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.2843787372112274,0.3527044355869293,0.30488982796669006,0.4999135136604309,0.2246810346841812,0.23823657631874084,0.24753230810165405,0.4129433035850525,0.5514441132545471,0.17098593711853027,0.2673267424106598
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27667245268821716,0.268858402967453,0.3120773434638977,0.5696388483047485,0.21571144461631775,0.2179255336523056,0.3253810405731201,1.0,0.6662389636039734,0.12227833271026611,0.20430970191955566
five,0.18688078224658966,0.22980348765850067,0.41977158188819885,0.3657594323158264,0.1896439492702484,0.25893768668174744,0.3980514109134674,0.1978648602962494,0.16437067091464996,0.25232547521591187,0.3634254038333893,0.41977158188819885,0.07857491821050644,0.18342848122119904
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.29045331478118896,0.2912110388278961,0.32945773005485535,1.0,0.2105162888765335,0.23307405412197113,0.3499443829059601,0.5696388483047485,0.733189046382904,0.20143137872219086,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.27068960666656494,0.3146495521068573,0.38423117995262146,0.733189046382904,0.23185352981090546,0.2522439956665039,0.3127744197845459,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
fish,0.18598103523254395,0.20566876232624054,0.23185352981090546,0.14542333781719208,0.18482282757759094,0.1450214385986328,0.2105162888765335,0.9999999403953552,0.39843615889549255,0.29184529185295105,0.21571144461631775,0.23185352981090546,0.2521156966686249,0.1945318728685379
species,0.14617158472537994,0.2673557698726654,0.2522439956665039,0.11245447397232056,0.16408716142177582,0.1282709538936615,0.23307405412197113,0.39843615889549255,0.9999999403953552,0.3030374050140381,0.2179255336523056,0.2522439956665039,0.2994495630264282,0.1957087516784668
live,0.20532001554965973,0.2694047689437866,0.2995128035545349,0.21879000961780548,0.2678859233856201,0.17031817138195038,0.27734068036079407,0.27081915736198425,0.2610782980918884,0.5108150839805603,0.3068392276763916,0.2995128035545349,0.23784711956977844,0.19481121003627777
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27667245268821716,0.268858402967453,0.3120773434638977,0.5696388483047485,0.21571144461631775,0.2179255336523056,0.3253810405731201,1.0,0.6662389636039734,0.12227833271026611,0.20430970191955566
amazonian,0.1507374495267868,0.22115670144557953,0.290641725063324,0.15106366574764252,0.1417548656463623,0.1278308480978012,0.25810134410858154,0.3207447826862335,0.41624346375465393,0.2521594762802124,0.16806575655937195,0.290641725063324,0.7159956097602844,0.1447652280330658
rivers,0.14092835783958435,0.23340918123722076,0.25597620010375977,0.19904184341430664,0.17508016526699066,0.2104949653148651,0.2839193344116211,0.264761745929718,0.23075203597545624,0.2401227205991745,0.21755525469779968,0.25597620010375977,0.3420027494430542,0.15866327285766602
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2520328164100647,0.4160483181476593,0.4032393991947174,0.5116966962814331,0.2571234405040741,0.23547904193401337,0.27568840980529785,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.20544172823429108
streams,0.12328469753265381,0.2553871273994446,0.260405570268631,0.1785145401954651,0.2007489800453186,0.2066294103860855,0.24870352447032928,0.31270188093185425,0.32897305488586426,0.14496038854122162,0.22335310280323029,0.260405570268631,0.40825721621513367,0.1508319228887558
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2295650690793991,0.3547073304653168,0.351434588432312,0.5352458953857422,0.25675517320632935,0.25772613286972046,0.27785244584083557,0.5591574311256409,0.5934505462646484,0.262887567281723,0.4130953550338745
,what,is,the,total,make,up,of,fish,species,living,in,the,amazon,?
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.22792020440101624,0.497876912355423,0.40375280380249023,0.41548454761505127,0.22548449039459229,0.2193736732006073,0.2300543487071991,0.45010748505592346,0.535392165184021,0.17033490538597107,0.29463258385658264
date,0.20141606032848358,0.1887049674987793,0.25333094596862793,0.16367825865745544,0.17691437900066376,0.17187295854091644,0.19568462669849396,0.0454380102455616,0.13960672914981842,0.14506115019321442,0.21362407505512238,0.25333094596862793,0.08962918072938919,0.2698357403278351
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25815486907958984,0.324553906917572,0.34193792939186096,0.4946078956127167,0.220574751496315,0.2223871648311615,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.31091248989105225
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.17510145902633667,0.19904619455337524,0.26974549889564514,0.42558613419532776,0.1330411732196808,0.15864497423171997,0.24920441210269928,0.4374977946281433,0.457212895154953,0.1615314781665802,0.21978627145290375
least,0.3337163031101227,0.25724145770072937,0.3428877890110016,0.3401201367378235,0.3005813956260681,0.20793287456035614,0.32696738839149475,0.212055966258049,0.2839786112308502,0.23166587948799133,0.3232700824737549,0.3428877890110016,0.1569196581840515,0.28866854310035706
"40,000",0.1441991776227951,0.14252017438411713,0.21362866461277008,0.0802270770072937,0.0883435606956482,0.05121322348713875,0.20713761448860168,0.02889900840818882,0.01231361459940672,0.12115153670310974,0.24079853296279907,0.21362866461277008,0.02237701416015625,0.262452632188797
plant,0.23371253907680511,0.2497083991765976,0.28395459055900574,0.13649120926856995,0.2121713012456894,0.19687622785568237,0.26645857095718384,0.26994600892066956,0.47544243931770325,0.2268691211938858,0.2597269117832184,0.28395459055900574,0.24274323880672455,0.16613075137138367
