,who,designed,the,``,50,'',?
like,0.34740978479385376,0.24442915618419647,0.32912567257881165,0.043583642691373825,0.07243908941745758,0.002897517755627632,0.3268813192844391
the,0.3733934462070465,0.2559613883495331,1.0,0.029072100296616554,0.03602437674999237,0.041273195296525955,0.22068053483963013
lombardi,0.17496588826179504,0.13088172674179077,0.18416112661361694,-0.021232720464468002,0.06124844029545784,0.044365204870700836,0.12761563062667847
trophy,0.1846436858177185,0.1463049203157425,0.23165881633758545,-0.027883505448698997,0.016763124614953995,-0.04935453459620476,0.1832219511270523
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.09681109338998795,-0.025195008143782616,-0.037358131259679794,0.31091248989105225
the,0.3733934462070465,0.2559613883495331,1.0,0.029072100296616554,0.03602437674999237,0.041273195296525955,0.22068053483963013
``,0.02397952415049076,-0.05251215770840645,0.029072100296616554,1.0,0.05617367848753929,-0.09173435717821121,0.0685480609536171
50,0.0322180911898613,0.08676627278327942,0.03602437674999237,0.05617367848753929,0.9999999403953552,0.08711730688810349,0.030512850731611252
'',0.024401003494858742,0.017010018229484558,0.041273195296525955,-0.09173435717821121,0.08711730688810349,1.0,0.018684765323996544
will,0.24651563167572021,0.20539796352386475,0.3635469079017639,0.07008423656225204,0.07188837975263596,-0.00181001634337008,0.35046905279159546
be,0.3371641933917999,0.1915401816368103,0.4248143136501312,0.07670000940561295,0.015184788033366203,0.08835477381944656,0.3324260413646698
designed,0.21097040176391602,1.0,0.2559613883495331,-0.05251215770840645,0.08676627278327942,0.017010018229484558,0.11213942617177963
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,-0.030704375356435776,0.03871260583400726,-0.010275691747665405,0.17966607213020325
tiffany,0.2110571414232254,0.3174445927143097,0.15607501566410065,-0.20316669344902039,-0.01403140090405941,0.039966899901628494,0.17250743508338928
&,0.09244576841592789,0.15487702190876007,0.14992168545722961,-0.14380550384521484,-0.021890126168727875,-0.007392024155706167,0.12596383690834045
co,0.2243642956018448,0.11803358793258667,0.19341111183166504,-0.038208864629268646,-0.043050408363342285,-0.026299050077795982,0.1823645681142807
.,0.3541337847709656,0.24422594904899597,0.5934505462646484,0.05720457062125206,0.04325474053621292,-0.07181349396705627,0.4130953550338745
