,in,what,year,did,the,serial,format,change,for,the,doctor,who,series,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.1900636851787567,0.21678368747234344,0.3641999065876007,0.4739971458911896,1.0,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
serial,0.20157626271247864,0.1661187708377838,0.2029533088207245,0.1392841637134552,0.1900636851787567,0.9999999403953552,0.288966566324234,0.06329257786273956,0.1848485916852951,0.1900636851787567,0.2744404375553131,0.1957370638847351,0.35013672709465027,0.15233060717582703
format,0.2023913413286209,0.16273964941501617,0.24771857261657715,0.1477918177843094,0.21678368747234344,0.288966566324234,1.0,0.22217662632465363,0.3087678551673889,0.21678368747234344,0.05393149331212044,0.03323619067668915,0.21377333998680115,0.2222042977809906
changed,0.292167991399765,0.2667781710624695,0.23279936611652374,0.30653589963912964,0.351829469203949,0.14678947627544403,0.21036465466022491,0.5425176620483398,0.2722912132740021,0.351829469203949,0.12893733382225037,0.1328321397304535,0.11580726504325867,0.21123318374156952
for,0.4322226941585541,0.3017193675041199,0.29294124245643616,0.318512886762619,0.4739971458911896,0.1848485916852951,0.3087678551673889,0.28146812319755554,0.9999999403953552,0.4739971458911896,0.1556548923254013,0.37110671401023865,0.2715710699558258,0.264628142118454
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.1900636851787567,0.21678368747234344,0.3641999065876007,0.4739971458911896,1.0,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
2005,0.009931974112987518,0.0704459398984909,0.13351094722747803,0.11135691404342651,0.037273142486810684,0.10962321609258652,0.054129038006067276,-0.01601509191095829,0.04140647128224373,0.037273142486810684,0.07635467499494553,0.18423187732696533,0.04714697599411011,0.10709824413061142
revival,0.2631177604198456,0.17674529552459717,0.16210678219795227,0.12113826721906662,0.30452626943588257,0.10295852273702621,0.10114463418722153,0.2065899521112442,0.24443419277668,0.30452626943588257,0.13733609020709991,0.1408388912677765,0.22159305214881897,0.09967152029275894
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.23162682354450226,0.21768099069595337,0.2752361297607422,0.4464869201183319,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.24060699343681335,0.31091248989105225
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.4223487675189972,0.17408515512943268,0.1876007467508316,0.22604717314243317,0.39140474796295166,0.4223487675189972,0.17277967929840088,0.3282766342163086,0.17767351865768433,0.2433311939239502
each,0.30816060304641724,0.3353266417980194,0.286208838224411,0.20516681671142578,0.470844566822052,0.11782366037368774,0.22029957175254822,0.2937193810939789,0.3044290542602539,0.470844566822052,0.1160493865609169,0.27337536215782166,0.19914524257183075,0.21173812448978424
series,0.2914260923862457,0.17328087985515594,0.2600080966949463,0.15581852197647095,0.31376904249191284,0.35013672709465027,0.21377333998680115,0.12339159846305847,0.2715710699558258,0.31376904249191284,0.2712797522544861,0.21484537422657013,1.0000001192092896,0.1709602326154709
usually,0.28848564624786377,0.32521089911460876,0.16312944889068604,0.21421512961387634,0.36782920360565186,0.16552866995334625,0.22385169565677643,0.3174944519996643,0.34784460067749023,0.36782920360565186,0.13327519595623016,0.35319453477859497,0.1723145991563797,0.19435347616672516
consisting,0.2985212802886963,0.12705351412296295,0.14211995899677277,0.08322962373495102,0.33371514081954956,0.17406074702739716,0.18122802674770355,0.11358547955751419,0.25557345151901245,0.33371514081954956,-0.015276345424354076,0.12026083469390869,0.18509308993816376,0.006223649252206087
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.17792607843875885,0.1439143568277359,0.2569013833999634,0.4185989499092102,0.733189046382904,0.16895952820777893,0.2827862501144409,0.22268271446228027,0.1826142966747284
