,the,term,may,be,related,to,what,politician,from,switzerland,?
the,1.0,0.2740369141101837,0.2694292366504669,0.4248143136501312,0.26962998509407043,0.535392165184021,0.42745697498321533,0.14830683171749115,0.40150508284568787,0.25689372420310974,0.22068053483963013
nickname,0.20167101919651031,0.21429508924484253,0.10860495269298553,0.09202228486537933,0.028251690790057182,0.16497400403022766,0.09292520582675934,0.15503491461277008,0.19203057885169983,0.0921936109662056,0.11573968082666397
may,0.2694292366504669,0.21869896352291107,0.9999998807907104,0.45514434576034546,0.1937730610370636,0.391582727432251,0.25739946961402893,0.2033098191022873,0.23997589945793152,0.11589182913303375,0.2768254578113556
have,0.40389683842658997,0.24443839490413666,0.35194188356399536,0.5760743618011475,0.3106505870819092,0.4544740617275238,0.39808809757232666,0.09676600247621536,0.30702701210975647,0.15665104985237122,0.32991164922714233
been,0.3563927710056305,0.1964738517999649,0.2982436716556549,0.5304332375526428,0.24944938719272614,0.34945759177207947,0.2567804455757141,0.10884678363800049,0.27624839544296265,0.1787480264902115,0.24354910850524902
a,0.5829201340675354,0.3080509603023529,0.29255667328834534,0.39883795380592346,0.21209308505058289,0.45503583550453186,0.3320399522781372,0.1638137549161911,0.322764128446579,0.21310605108737946,0.23916715383529663
combined,0.3713363707065582,0.20986872911453247,0.14439256489276886,0.2778157889842987,0.18823446333408356,0.24629315733909607,0.21267308294773102,0.002488900674507022,0.20714597404003143,0.11786829680204391,0.17985320091247559
reference,0.26254498958587646,0.24674281477928162,0.1682818979024887,0.32520022988319397,0.2683504521846771,0.25784367322921753,0.27632904052734375,0.04206475615501404,0.1930583119392395,0.1357584297657013,0.2950310707092285
to,0.535392165184021,0.3310292959213257,0.391582727432251,0.4972836375236511,0.2702969014644623,1.0,0.455847829580307,0.11489300429821014,0.4069952368736267,0.18967147171497345,0.29463258385658264
the,1.0,0.2740369141101837,0.2694292366504669,0.4248143136501312,0.26962998509407043,0.535392165184021,0.42745697498321533,0.14830683171749115,0.40150508284568787,0.25689372420310974,0.22068053483963013
swiss,0.17452241480350494,0.09573644399642944,0.15219059586524963,0.11687753349542618,0.1066797748208046,0.0861743912100792,0.06743662059307098,0.2125541865825653,0.10785173624753952,0.6022576093673706,0.11023817211389542
politician,0.14830683171749115,0.20190079510211945,0.2033098191022873,0.059606749564409256,0.12078819423913956,0.11489300429821014,0.12760162353515625,0.9999999403953552,0.23628093302249908,0.15233008563518524,0.14215156435966492
besançon,0.3301619589328766,0.06801117211580276,0.14174209535121918,0.15742506086826324,0.051842331886291504,0.1626029759645462,0.15865877270698547,0.20151324570178986,0.18817123770713806,0.36134594678878784,0.1670161634683609
hugues,0.23052576184272766,0.08993072062730789,0.20097173750400543,0.08454086631536484,0.07773055136203766,0.16799312829971313,0.1411924511194229,0.23029500246047974,0.1608208864927292,0.22518736124038696,0.21094021201133728
(,0.33289089798927307,0.16755855083465576,0.35500821471214294,0.2349044382572174,0.2025381177663803,0.30882009863853455,0.2411840260028839,0.2711685597896576,0.25806233286857605,0.13547678291797638,0.40561532974243164
died,0.18710990250110626,0.09766913950443268,0.30583855509757996,0.12294631451368332,0.1696792095899582,0.15773509442806244,0.11138711869716644,0.4004482626914978,0.2637850046157837,0.22981616854667664,0.15254227817058563
1532,0.07150014489889145,0.010686863213777542,0.054751403629779816,-0.059750478714704514,0.019076980650424957,0.025489237159490585,0.02190728485584259,0.07054301351308823,0.012143497355282307,0.07862239331007004,0.013385014608502388
),0.3456730246543884,0.14937621355056763,0.3756577968597412,0.24578070640563965,0.17440077662467957,0.31236231327056885,0.26259949803352356,0.26733458042144775,0.2672361731529236,0.15277332067489624,0.42300865054130554
and,0.5171257257461548,0.22272127866744995,0.34598252177238464,0.41766801476478577,0.27869361639022827,0.48971283435821533,0.31309178471565247,0.1965257227420807,0.3601827025413513,0.20231366157531738,0.20544172823429108
the,1.0,0.2740369141101837,0.2694292366504669,0.4248143136501312,0.26962998509407043,0.535392165184021,0.42745697498321533,0.14830683171749115,0.40150508284568787,0.25689372420310974,0.22068053483963013
religiously,0.2632165253162384,0.19047494232654572,0.275422602891922,0.2744256854057312,0.191475048661232,0.30558449029922485,0.32692253589630127,0.20261402428150177,0.18563690781593323,0.14875735342502594,0.22381481528282166
conflicted,0.25352200865745544,0.1894739717245102,0.2657068967819214,0.23927441239356995,0.24285709857940674,0.22922003269195557,0.3548571765422821,0.17390824854373932,0.20757880806922913,0.09496769309043884,0.3349017798900604
nature,0.19596898555755615,0.17534147202968597,0.17522557079792023,0.2932605445384979,0.18312184512615204,0.2702313959598541,0.2566179633140564,0.0850783959031105,0.10150755941867828,0.11829034239053726,0.17397694289684296
of,0.733189046382904,0.26047757267951965,0.26447007060050964,0.33904364705085754,0.2691357135772705,0.41548454761505127,0.33290785551071167,0.17174553871154785,0.4249346852302551,0.22564564645290375,0.1826142966747284
