,from,which,countries,did,the,norse,originate,?
they,0.3321932256221771,0.5165667533874512,0.37210044264793396,0.4879390597343445,0.49925389885902405,0.22249701619148254,0.27319613099098206,0.2753053903579712
were,0.29991888999938965,0.2807837128639221,0.29480284452438354,0.4162326455116272,0.3906462490558624,0.2108520269393921,0.2154829204082489,0.17890112102031708
descended,0.25199803709983826,0.20004458725452423,0.1836135983467102,0.2501574754714966,0.2755005657672882,0.31384286284446716,0.4254307448863983,0.1283303201198578
from,1.0,0.38755592703819275,0.2355131208896637,0.20248863101005554,0.40150508284568787,0.18385997414588928,0.33798637986183167,0.19969791173934937
norse,0.18385997414588928,0.20959247648715973,0.189443439245224,0.1497269570827484,0.23731711506843567,0.9999999403953552,0.22948406636714935,0.14860166609287262
(,0.25806233286857605,0.2589828372001648,0.15407808125019073,0.18979617953300476,0.33289089798927307,0.1333014965057373,0.17196696996688843,0.40561532974243164
``,0.02677825279533863,0.05178012326359749,0.06715091317892075,-0.029888948425650597,0.029072100296616554,0.03214653208851814,0.0758875384926796,0.0685480609536171
norman,0.15190823376178741,0.1315736174583435,0.1380947381258011,0.1672605574131012,0.23459704220294952,0.33077749609947205,0.16138353943824768,0.12243545055389404
'',-0.011389154009521008,-0.03332270681858063,0.07233493775129318,0.01978493109345436,0.041273195296525955,0.06656920909881592,0.07492149621248245,0.018684765323996544
comes,0.31963786482810974,0.2863384485244751,0.2128947377204895,0.11348431557416916,0.32399529218673706,0.286032110452652,0.41054004430770874,0.15980161726474762
from,1.0,0.38755592703819275,0.2355131208896637,0.20248863101005554,0.40150508284568787,0.18385997414588928,0.33798637986183167,0.19969791173934937
``,0.02677825279533863,0.05178012326359749,0.06715091317892075,-0.029888948425650597,0.029072100296616554,0.03214653208851814,0.0758875384926796,0.0685480609536171
norseman,0.18341386318206787,0.1582569032907486,0.13515602052211761,0.18925875425338745,0.23074324429035187,0.6872712969779968,0.1237964853644371,0.15904587507247925
