,when,was,the,doctor,who,series,released,on,dvd,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.24578391015529633,0.5107308030128479,0.20035067200660706,0.22068053483963013
bbc,0.19045519828796387,0.19087861478328705,0.2735401690006256,0.32370132207870483,0.2086644321680069,0.31758952140808105,0.22034093737602234,0.2646632492542267,0.2992251515388489,0.20556949079036713
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.24060699343681335,0.2775750756263733,0.49057599902153015,0.19683784246444702,0.31091248989105225
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.2914260923862457,0.2659924626350403,0.46853652596473694,0.19921869039535522,0.20430970191955566
conjunction,0.27128469944000244,0.1123741865158081,0.25903576612472534,0.12738275527954102,0.055414553731679916,0.15633516013622284,0.16015781462192535,0.19033795595169067,0.17566007375717163,0.15015976130962372
with,0.5075214505195618,0.27411898970603943,0.4223487675189972,0.17277967929840088,0.3282766342163086,0.17767351865768433,0.2334105670452118,0.40749499201774597,0.18543657660484314,0.2433311939239502
animation,0.22972910106182098,0.2580201327800751,0.21901705861091614,0.13162527978420258,0.16731774806976318,0.3664447069168091,0.28252533078193665,0.1902080774307251,0.36549147963523865,0.16489346325397491
studio,0.1795954704284668,0.27334341406822205,0.24831420183181763,0.17974753677845,0.16487343609333038,0.24898307025432587,0.5591506958007812,0.2619023621082306,0.3177616596221924,0.1974150836467743
cosgrove,0.2421758621931076,0.2974914312362671,0.2571113705635071,0.26200345158576965,0.3235829174518585,0.3392089307308197,0.3164968192577362,0.22184672951698303,0.20543575286865234,0.29951146245002747
hall,0.21217741072177887,0.2961261570453644,0.28526565432548523,0.11379833519458771,0.21594181656837463,0.17920401692390442,0.16936960816383362,0.1725565642118454,0.10626299679279327,0.13520537316799164
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.24060699343681335,0.2775750756263733,0.49057599902153015,0.19683784246444702,0.31091248989105225
