,how,many,people,did,the,islamic,state,control,the,territory,of,as,of,march,2015,?
as,0.33782753348350525,0.4070141911506653,0.15704652667045593,0.3596470057964325,0.48381632566452026,0.20407888293266296,0.26851922273635864,0.18926969170570374,0.48381632566452026,0.24870193004608154,0.3886612355709076,1.0,0.3886612355709076,0.2616936266422272,0.04859122261404991,0.27043893933296204
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.2513895630836487,0.733189046382904,0.25656506419181824,0.34253445267677307,0.2817542552947998,0.733189046382904,0.27564212679862976,1.0,0.3886612355709076,1.0,0.20692677795886993,0.21138253808021545,0.1826142966747284
march,0.16374856233596802,0.13846592605113983,0.20541587471961975,0.27992504835128784,0.2680487632751465,0.1645895540714264,0.1581684947013855,0.12965714931488037,0.2680487632751465,0.16978819668293,0.20692677795886993,0.2616936266422272,0.20692677795886993,1.0000001192092896,0.06148998439311981,0.2802562415599823
2015,-0.161673903465271,-0.05971702188253403,-0.02776244468986988,0.02002497762441635,0.1466771513223648,0.1787932962179184,0.05269348993897438,0.09977668523788452,0.1466771513223648,0.21626421809196472,0.21138253808021545,0.04859122261404991,0.21138253808021545,0.06148998439311981,1.0,-0.029954981058835983
[,0.03530287742614746,0.1508627086877823,0.10792411118745804,0.030549485236406326,0.07130392640829086,0.11346529424190521,0.057902660220861435,0.09450507909059525,0.07130392640829086,-0.04673679545521736,0.010817250236868858,0.018050309270620346,0.010817250236868858,0.08246593177318573,-0.08098004013299942,0.011015460826456547
update,0.2694169878959656,0.18542030453681946,0.16584110260009766,0.21572637557983398,0.20815779268741608,0.14287462830543518,0.1861194670200348,0.17955563962459564,0.20815779268741608,0.12160445749759674,0.12521608173847198,0.17943543195724487,0.12521608173847198,0.19368992745876312,-0.11234573274850845,0.38474005460739136
],0.06738625466823578,-0.016180947422981262,-0.03171391412615776,0.024806415662169456,-0.04779602214694023,-0.07366786897182465,-0.030086500570178032,0.10369160026311874,-0.04779602214694023,-0.05365472286939621,-0.035044461488723755,-0.03319411352276802,-0.035044461488723755,-0.07768154889345169,0.06813231855630875,-0.0022520492784678936
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.3015086054801941,0.4933079481124878,0.20175659656524658,0.29481780529022217,0.20811550319194794,0.4933079481124878,0.2454550564289093,0.4946078956127167,0.48816442489624023,0.4946078956127167,0.4256272315979004,0.06568983197212219,0.31091248989105225
it,0.36714982986450195,0.39615920186042786,0.3940119743347168,0.2993364930152893,0.6251175999641418,0.1365245133638382,0.32295069098472595,0.2016621232032776,0.6251175999641418,0.30008572340011597,0.38761502504348755,0.4461488723754883,0.38761502504348755,0.253664493560791,0.01952941343188286,0.25732165575027466
had,0.2549138069152832,0.40130746364593506,0.2759630084037781,0.540525496006012,0.3875846862792969,0.1608518362045288,0.14948096871376038,0.2237638384103775,0.3875846862792969,0.1965164989233017,0.37755560874938965,0.3393979072570801,0.37755560874938965,0.22425010800361633,0.0605347566306591,0.20728366076946259
control,0.27268826961517334,0.2421460747718811,0.21000461280345917,0.22942528128623962,0.32841500639915466,0.11910463124513626,0.2245023548603058,1.0,0.32841500639915466,0.28864094614982605,0.2817542552947998,0.18926969170570374,0.2817542552947998,0.12965714931488037,0.09977668523788452,0.1620711386203766
over,0.31446483731269836,0.47131630778312683,0.2671499252319336,0.2535076439380646,0.39856547117233276,0.17131300270557404,0.20602752268314362,0.3525603711605072,0.39856547117233276,0.24858751893043518,0.36136594414711,0.3506779670715332,0.36136594414711,0.20232215523719788,0.10066346824169159,0.25742942094802856
territory,0.12335657328367233,0.1730227917432785,0.25671276450157166,0.14672954380512238,0.3000710904598236,0.17959250509738922,0.4180832803249359,0.28864094614982605,0.3000710904598236,1.0,0.27564212679862976,0.24870193004608154,0.27564212679862976,0.16978819668293,0.21626421809196472,0.09435105323791504
occupied,0.07381170988082886,0.15824605524539948,0.1679556965827942,0.21438418328762054,0.3288927674293518,0.18338227272033691,0.2336610108613968,0.2773069739341736,0.3288927674293518,0.48590371012687683,0.3310187757015228,0.21092674136161804,0.3310187757015228,0.13255037367343903,0.27494683861732483,0.11679025739431381
by,0.34370526671409607,0.3409687578678131,0.20350977778434753,0.18574509024620056,0.4408751428127289,0.1815912425518036,0.2263980358839035,0.2360290139913559,0.4408751428127289,0.26449328660964966,0.3646814823150635,0.3815547823905945,0.3646814823150635,0.20701591670513153,0.09096921235322952,0.17966607213020325
ten,0.26821833848953247,0.340677946805954,0.1477644145488739,0.22550487518310547,0.3256247341632843,0.09043265134096146,0.12633362412452698,0.13466136157512665,0.3256247341632843,0.1489420086145401,0.2743614614009857,0.24323910474777222,0.2743614614009857,0.15560410916805267,0.04500707611441612,0.14471080899238586
million,0.21114659309387207,0.3520967364311218,0.2591722309589386,0.1815238744020462,0.277012437582016,0.1022094264626503,0.10842166095972061,0.11894476413726807,0.277012437582016,0.15764550864696503,0.21686489880084991,0.19242988526821136,0.21686489880084991,0.17882370948791504,0.0888330489397049,0.23092924058437347
