,what,percentage,of,leukocytes,do,neutrophils,represent,?
neutrophils,0.15195876359939575,0.20250117778778076,0.207316592335701,0.7465676665306091,0.24231654405593872,0.9999999403953552,0.18619021773338318,0.1422376185655594
are,0.29724663496017456,0.31028249859809875,0.39081433415412903,0.37580686807632446,0.41111594438552856,0.32790884375572205,0.3746086657047272,0.24591213464736938
normally,0.30112072825431824,0.2614091634750366,0.25552743673324585,0.27620550990104675,0.3550597131252289,0.27598267793655396,0.278056263923645,0.20675471425056458
found,0.1796332150697708,0.09908276796340942,0.2982911467552185,0.20403091609477997,0.19611693918704987,0.21941187977790833,0.2021806240081787,0.16790300607681274
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.22115154564380646,0.23402775824069977,0.19761201739311218,0.29122525453567505,0.20430970191955566
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.23712603747844696,0.30239659547805786,0.20497199892997742,0.3288072943687439,0.22068053483963013
bloodstream,0.2420068383216858,0.21371203660964966,0.24839849770069122,0.6124018430709839,0.2610265910625458,0.5650522708892822,0.14484229683876038,0.24914337694644928
and,0.31309178471565247,0.24926191568374634,0.5116966962814331,0.24507655203342438,0.276123583316803,0.22170935571193695,0.2796897888183594,0.20544172823429108
are,0.29724663496017456,0.31028249859809875,0.39081433415412903,0.37580686807632446,0.41111594438552856,0.32790884375572205,0.3746086657047272,0.24591213464736938
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.23712603747844696,0.30239659547805786,0.20497199892997742,0.3288072943687439,0.22068053483963013
most,0.3219912350177765,0.31981152296066284,0.4178851246833801,0.24668316543102264,0.31522849202156067,0.21191340684890747,0.3027898669242859,0.2107497900724411
abundant,0.20062927901744843,0.2972469925880432,0.24499425292015076,0.29962530732154846,0.21504324674606323,0.43947339057922363,0.26249179244041443,0.13836130499839783
type,0.2722663879394531,0.22894100844860077,0.18112817406654358,0.27034083008766174,0.18961571156978607,0.2368636578321457,0.14916397631168365,0.17536182701587677
of,0.33290785551071167,0.24724560976028442,1.0,0.27625513076782227,0.26150479912757874,0.207316592335701,0.40416419506073,0.1826142966747284
phagocyte,0.2344105839729309,0.16993123292922974,0.20342735946178436,0.8480067849159241,0.28170162439346313,0.7216452956199646,0.20247304439544678,0.22538402676582336
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.23115651309490204,0.3283645510673523,0.2170010507106781,0.26053929328918457,0.31091248989105225
normally,0.30112072825431824,0.2614091634750366,0.25552743673324585,0.27620550990104675,0.3550597131252289,0.27598267793655396,0.278056263923645,0.20675471425056458
representing,0.1524650901556015,0.23740321397781372,0.42015817761421204,0.22046034038066864,0.13747663795948029,0.15598110854625702,0.8309920430183411,0.10637413710355759
50,-0.04124141484498978,0.02164030633866787,0.006577443331480026,0.023301636800169945,0.07151089608669281,0.024433918297290802,0.08362378925085068,0.030512850731611252
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.28147172927856445,0.18865665793418884,0.20609202980995178,0.14571437239646912,0.21441808342933655
to,0.455847829580307,0.25744274258613586,0.41548454761505127,0.2178812474012375,0.38876664638519287,0.21281901001930237,0.2675820589065552,0.29463258385658264
60,0.07328611612319946,0.043895795941352844,0.05524682253599167,0.014436405152082443,-0.03852665424346924,0.004181060940027237,-0.09095428884029388,0.06999651342630386
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.28147172927856445,0.18865665793418884,0.20609202980995178,0.14571437239646912,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.27625513076782227,0.26150479912757874,0.207316592335701,0.40416419506073,0.1826142966747284
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.23712603747844696,0.30239659547805786,0.20497199892997742,0.3288072943687439,0.22068053483963013
total,0.19850242137908936,0.46965354681015015,0.29045331478118896,0.21150508522987366,0.148124098777771,0.14590154588222504,0.19538389146327972,0.14396025240421295
circulating,0.19640029966831207,0.21887242794036865,0.24180035293102264,0.36083322763442993,0.18816952407360077,0.33569061756134033,0.18727631866931915,0.13994100689888
leukocytes,0.19061218202114105,0.24328763782978058,0.27625513076782227,1.0,0.24038971960544586,0.7465676665306091,0.22257857024669647,0.18717224895954132
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.24883030354976654,0.3613996207714081,0.24983173608779907,0.22431740164756775,0.4130953550338745
