,what,is,the,largest,type,of,misconduct,being,reviewed,by,the,media,?
misconduct,0.2703917920589447,0.21593445539474487,0.21778301894664764,0.01416527945548296,0.15879200398921967,0.2208290994167328,1.0,0.3282725512981415,0.33550459146499634,0.22410224378108978,0.21778301894664764,0.22116053104400635,0.21460698544979095
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.17839421331882477,0.15232881903648376,0.3646814823150635,0.22410224378108978,0.4690866470336914,0.2476116120815277,1.0000001192092896,0.4408751428127289,0.2604961395263672,0.17966607213020325
teachers,0.2526462972164154,0.15701442956924438,0.22025763988494873,0.13972705602645874,0.09933348745107651,0.27737662196159363,0.1812027394771576,0.1817714124917984,0.22116722166538239,0.20573484897613525,0.22025763988494873,0.12266868352890015,0.19522249698638916
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.1804078221321106,0.4946078956127167,0.22722238302230835,0.34499165415763855,0.3196750581264496,0.3680937886238098,0.4933079481124878,0.23135341703891754,0.31091248989105225
especially,0.3590192496776581,0.32683345675468445,0.39420849084854126,0.22877244651317596,0.2649726867675781,0.37220633029937744,0.27235183119773865,0.39724093675613403,0.3002529740333557,0.2502188980579376,0.39420849084854126,0.14442592859268188,0.19751401245594025
sexual,0.2455441951751709,0.16110041737556458,0.21929338574409485,0.033488769084215164,0.09870646148920059,0.23417127132415771,0.3294919729232788,0.2877308428287506,0.260919988155365,0.16141100227832794,0.21929338574409485,0.18742580711841583,0.1814439743757248
misconduct,0.2703917920589447,0.21593445539474487,0.21778301894664764,0.01416527945548296,0.15879200398921967,0.2208290994167328,1.0,0.3282725512981415,0.33550459146499634,0.22410224378108978,0.21778301894664764,0.22116053104400635,0.21460698544979095
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.1804078221321106,0.4946078956127167,0.22722238302230835,0.34499165415763855,0.3196750581264496,0.3680937886238098,0.4933079481124878,0.23135341703891754,0.31091248989105225
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.24081888794898987,0.1795734018087387,0.3909035325050354,0.16586272418498993,0.41100069880485535,0.2350677251815796,0.3254803419113159,0.4177538752555847,0.22855450212955475,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.18371596932411194,0.19062602519989014,0.31685134768486023,0.268328458070755,0.5641041994094849,0.35324627161026,0.39107078313827515,0.3563927710056305,0.24889016151428223,0.24354910850524902
getting,0.3483720123767853,0.25932952761650085,0.2930673360824585,0.07487354427576065,0.14568562805652618,0.24251262843608856,0.271832138299942,0.5139461159706116,0.23249123990535736,0.2666386067867279,0.2930673360824585,0.15027718245983124,0.28468504548072815
increased,0.1599731743335724,0.1395888477563858,0.3188653886318207,0.27489614486694336,0.17842847108840942,0.3371390700340271,0.25487270951271057,0.2295062243938446,0.20219603180885315,0.23756875097751617,0.3188653886318207,0.12724338471889496,0.09587585180997849
scrutiny,0.4017239212989807,0.19558823108673096,0.30078384280204773,0.09834719449281693,0.14547772705554962,0.2483227252960205,0.4491962790489197,0.3601532578468323,0.4687400162220001,0.21862328052520752,0.30078384280204773,0.2883865535259247,0.3489108085632324
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.20374812185764313,0.1559610366821289,0.4249346852302551,0.11790338903665543,0.32622846961021423,0.1971064954996109,0.3373257517814636,0.40150508284568787,0.14971545338630676,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21819381415843964,0.733189046382904,0.21778301894664764,0.419739305973053,0.26531270146369934,0.4408751428127289,1.0,0.19221965968608856,0.22068053483963013
media,0.18292108178138733,0.1800607591867447,0.19221965968608856,0.10700750350952148,0.1736299693584442,0.19700391590595245,0.22116053104400635,0.17175757884979248,0.23620115220546722,0.2604961395263672,0.19221965968608856,0.9999999403953552,0.1571006178855896
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.16898801922798157,0.5116966962814331,0.20206230878829956,0.4286794066429138,0.23998750746250153,0.4289871156215668,0.5171257257461548,0.28782835602760315,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21819381415843964,0.733189046382904,0.21778301894664764,0.419739305973053,0.26531270146369934,0.4408751428127289,1.0,0.19221965968608856,0.22068053483963013
courts,0.22651629149913788,0.19366668164730072,0.2453746348619461,0.12680889666080475,0.09638626873493195,0.24972429871559143,0.28839144110679626,0.19168101251125336,0.2992176413536072,0.19574788212776184,0.2453746348619461,0.24363788962364197,0.17759139835834503
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.23195341229438782,0.5352458953857422,0.23437368869781494,0.35574623942375183,0.3032137155532837,0.3936232924461365,0.5934505462646484,0.2313707321882248,0.4130953550338745
