,which,nfl,team,represented,the,afc,at,super,bowl,50,?
the,0.6521818041801453,0.15305201709270477,0.22564226388931274,0.3256146013736725,1.0,0.25863510370254517,0.457212895154953,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
american,0.16603466868400574,0.22112266719341278,0.11424583196640015,0.16961324214935303,0.24562937021255493,0.18992678821086884,0.16126874089241028,0.13530968129634857,0.16529959440231323,-0.01108962669968605,0.18877598643302917
football,0.18762435019016266,0.5028042793273926,0.5201307535171509,0.17662504315376282,0.18794101476669312,0.5084695816040039,0.20598703622817993,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.14957410097122192
conference,0.178037628531456,0.2704237997531891,0.27145183086395264,0.14794223010540009,0.25393402576446533,0.3807511031627655,0.20550666749477386,0.20312196016311646,0.283403605222702,0.0753558799624443,0.11172781884670258
(,0.2589828372001648,0.18641139566898346,0.1808312088251114,0.22401557862758636,0.33289089798927307,0.27387434244155884,0.23315078020095825,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.40561532974243164
afc,0.17550261318683624,0.46848565340042114,0.40331706404685974,0.18500185012817383,0.25863510370254517,1.0,0.23057031631469727,0.37206512689590454,0.41199249029159546,0.07724300771951675,0.2026895433664322
),0.2758678197860718,0.17973150312900543,0.18319997191429138,0.20974697172641754,0.3456730246543884,0.25836482644081116,0.23338089883327484,0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.42300865054130554
champion,0.13563957810401917,0.3432503640651703,0.41956013441085815,0.1918582022190094,0.23575055599212646,0.40495696663856506,0.17657233774662018,0.3463263213634491,0.34389644861221313,0.0722193643450737,0.14080514013767242
denver,0.12987183034420013,0.39768490195274353,0.18347741663455963,0.17362052202224731,0.2052404284477234,0.27175816893577576,0.18947194516658783,0.24589714407920837,0.2861449718475342,0.03614028915762901,0.1520889848470688
broncos,0.22873279452323914,0.5295679569244385,0.32797038555145264,0.20406709611415863,0.25985947251319885,0.4436691403388977,0.23374907672405243,0.36141330003738403,0.4351775348186493,0.055216576904058456,0.18377114832401276
