,when,did,the,european,anti-fraud,office,investigate,john,dalli,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.23319172859191895,0.2264607697725296,0.28433957695961,0.22014382481575012,0.22177861630916595,0.13359221816062927,0.20430970191955566
2012,0.30712300539016724,0.16113266348838806,0.46885523200035095,0.15757355093955994,0.17222924530506134,0.16083166003227234,0.1085268184542656,0.15729869902133942,0.12747065722942352,0.18042556941509247
it,0.4775012135505676,0.2993364930152893,0.6251175999641418,0.16905969381332397,0.2308773249387741,0.19947345554828644,0.20290020108222961,0.19319641590118408,0.1273103505373001,0.25732165575027466
investigated,0.2795272469520569,0.22864805161952972,0.258423388004303,0.1430080235004425,0.3855554163455963,0.1942109316587448,0.9214562177658081,0.189562126994133,0.20094650983810425,0.12763407826423645
the,0.5091903209686279,0.34736719727516174,1.0,0.3423081040382385,0.21686379611492157,0.27314993739128113,0.25379443168640137,0.2230520099401474,0.17219945788383484,0.22068053483963013
maltese,0.11394883692264557,0.1343405395746231,0.22440384328365326,0.29473045468330383,0.22102995216846466,0.14480306208133698,0.1837461292743683,0.18298473954200745,0.33170822262763977,0.1909988969564438
commissioner,0.20733073353767395,0.19308091700077057,0.25271227955818176,0.2403787225484848,0.2894293963909149,0.38021931052207947,0.2807903289794922,0.30173084139823914,0.16914002597332,0.1209191158413887
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.2838500738143921,0.21813684701919556,0.25028741359710693,0.24203266203403473,0.22649751603603363,0.06483491510152817,0.264628142118454
health,0.24215827882289886,0.21597589552402496,0.2340974360704422,0.16392961144447327,0.3076789081096649,0.25037890672683716,0.21823029220104218,0.21846871078014374,0.10894182324409485,0.16094304621219635
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.19684812426567078,0.30077293515205383,0.25194036960601807,0.21912555396556854,0.23961079120635986,0.24619080126285553,0.31091248989105225
john,0.20069552958011627,0.18785913288593292,0.2230520099401474,0.15537840127944946,0.23921999335289001,0.12139701843261719,0.20306524634361267,1.0000001192092896,0.21376870572566986,0.13162356615066528
dalli,0.13266323506832123,0.08611682057380676,0.17219945788383484,0.19721925258636475,0.20447485148906708,0.07107693701982498,0.181598961353302,0.21376870572566986,1.0000001192092896,0.06961563229560852
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.19684812426567078,0.30077293515205383,0.25194036960601807,0.21912555396556854,0.23961079120635986,0.24619080126285553,0.31091248989105225
who,0.48282691836357117,0.34038686752319336,0.3733934462070465,0.2314588874578476,0.2810613811016083,0.2092086672782898,0.26686617732048035,0.30388808250427246,0.23998874425888062,0.26220351457595825
quickly,0.4994966387748718,0.25123196840286255,0.30366459488868713,0.06272229552268982,0.21742668747901917,0.10158461332321167,0.27776235342025757,0.112141452729702,0.12132678925991058,0.18131443858146667
resigned,0.2483987659215927,0.32495298981666565,0.2411459982395172,0.1429048627614975,0.2963230609893799,0.38526859879493713,0.251495897769928,0.28272590041160583,0.1359746754169464,0.1498192995786667
