,what,do,clinical,pharmacists,specialize,in,?
those,0.44466671347618103,0.43052518367767334,0.24705852568149567,0.31570079922676086,0.3616076707839966,0.3419301211833954,0.3328189253807068
pharmacists,0.28274545073509216,0.328380823135376,0.4310356378555298,1.0,0.3870302438735962,0.22358480095863342,0.1797308325767517
are,0.29724663496017456,0.41111594438552856,0.21668857336044312,0.33935052156448364,0.41601863503456116,0.3841303884983063,0.24591213464736938
often,0.3849453330039978,0.30438441038131714,0.3049476742744446,0.3131290078163147,0.36821818351745605,0.3380797803401947,0.23748154938220978
referred,0.16724665462970734,0.17293387651443481,0.1956685483455658,0.17186053097248077,0.17195925116539001,0.24766652286052704,0.06677805632352829
to,0.455847829580307,0.38876664638519287,0.2722678482532501,0.24341562390327454,0.2870662212371826,0.45010748505592346,0.29463258385658264
as,0.31749409437179565,0.38329678773880005,0.20056334137916565,0.21945327520370483,0.25144076347351074,0.3887844979763031,0.27043893933296204
clinical,0.2278289943933487,0.15797601640224457,1.0,0.4310356378555298,0.4077194929122925,0.25644800066947937,0.1678651124238968
pharmacists,0.28274545073509216,0.328380823135376,0.4310356378555298,1.0,0.3870302438735962,0.22358480095863342,0.1797308325767517
and,0.31309178471565247,0.276123583316803,0.2551795542240143,0.26810887455940247,0.31057655811309814,0.4954058527946472,0.20544172823429108
they,0.4431931674480438,0.4667694866657257,0.23320111632347107,0.40619930624961853,0.37536489963531494,0.4330179989337921,0.2753053903579712
often,0.3849453330039978,0.30438441038131714,0.3049476742744446,0.3131290078163147,0.36821818351745605,0.3380797803401947,0.23748154938220978
specialize,0.23856307566165924,0.37974801659584045,0.4077194929122925,0.3870302438735962,1.0,0.2662787437438965,0.20298869907855988
in,0.30808621644973755,0.23402775824069977,0.25644800066947937,0.22358480095863342,0.2662787437438965,1.0,0.20430970191955566
various,0.26045072078704834,0.22750963270664215,0.2763773798942566,0.24204625189304352,0.37748223543167114,0.266343355178833,0.12823495268821716
disciplines,0.242584228515625,0.21075916290283203,0.3521338403224945,0.30725914239883423,0.39296358823776245,0.23949874937534332,0.09589282423257828
of,0.33290785551071167,0.26150479912757874,0.2760547399520874,0.20506609976291656,0.2265554517507553,0.5696388483047485,0.1826142966747284
pharmacy,0.21638189256191254,0.21983878314495087,0.4141220450401306,0.7877770662307739,0.3401595652103424,0.22082467377185822,0.1355620175600052
.,0.3567904531955719,0.3613996207714081,0.21580979228019714,0.27446362376213074,0.2047598510980606,0.5591574311256409,0.4130953550338745
