,how,many,bus,companies,provide,service,to,the,city,of,newcastle,?
there,0.3328511416912079,0.4993700683116913,0.19871748983860016,0.2301347255706787,0.3496873676776886,0.1705930233001709,0.40669289231300354,0.47025805711746216,0.27553731203079224,0.44397735595703125,0.1536160409450531,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.18755505979061127,0.24720293283462524,0.3588597774505615,0.14771409332752228,0.3504326641559601,0.40399202704429626,0.19493703544139862,0.39081433415412903,0.1428472399711609,0.24591213464736938
3,0.12271612882614136,0.026462629437446594,-0.09159986674785614,0.0120569271966815,0.10361452400684357,0.010070491582155228,0.09797177463769913,0.06283142417669296,-0.03916012495756149,0.046857766807079315,0.02655678614974022,0.005975271109491587
main,0.1668178290128708,0.27179279923439026,0.14439865946769714,0.17744605243206024,0.2590281069278717,0.10409513860940933,0.26116618514060974,0.38631999492645264,0.20839166641235352,0.3177044689655304,0.1423768699169159,0.1665669083595276
bus,0.14968723058700562,0.18821316957473755,1.0,0.22032463550567627,0.22678685188293457,0.2521921992301941,0.15267731249332428,0.19768238067626953,0.24379955232143402,0.15900543332099915,0.11108064651489258,0.10113320499658585
companies,0.1746106892824173,0.3244176208972931,0.22032463550567627,1.0000001192092896,0.27349045872688293,0.23701658844947815,0.2619103491306305,0.26917189359664917,0.2752535045146942,0.22608543932437897,0.22051265835762024,0.14365637302398682
providing,0.2606280744075775,0.3077678680419922,0.2204839140176773,0.3134536147117615,0.7495388984680176,0.33601075410842896,0.3326144516468048,0.29839932918548584,0.08934315294027328,0.24403119087219238,0.19025731086730957,0.1936793476343155
services,0.18439824879169464,0.28198590874671936,0.3049203157424927,0.3630056381225586,0.41313081979751587,0.7696225047111511,0.27867045998573303,0.2381475418806076,0.18645629286766052,0.23787347972393036,0.25399428606033325,0.1328447163105011
in,0.2601168751716614,0.41474202275276184,0.19241473078727722,0.2321794629096985,0.1910654902458191,0.1740635335445404,0.45010748505592346,0.6662389636039734,0.3911624252796173,0.5696388483047485,0.19270820915699005,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.19768238067626953,0.26917189359664917,0.26373472809791565,0.22661015391349792,0.535392165184021,1.0,0.35769423842430115,0.733189046382904,0.2253497689962387,0.22068053483963013
city,0.12024712562561035,0.21416836977005005,0.24379955232143402,0.2752535045146942,0.10605575889348984,0.15438464283943176,0.20300441980361938,0.35769423842430115,1.0,0.32503411173820496,0.32860881090164185,0.13423943519592285
;,0.07230665534734726,0.11763367056846619,0.007589700166136026,0.1192006841301918,0.015684617683291435,0.04945044219493866,0.0979827418923378,0.09152708947658539,0.07572981715202332,0.054534342139959335,0.10598292201757431,0.10349778085947037
arriva,0.13020136952400208,0.15417808294296265,0.32110467553138733,0.31279754638671875,0.18285809457302094,0.31796684861183167,0.23870564997196198,0.25570452213287354,0.2683905363082886,0.2060827761888504,0.2949264347553253,0.08111312240362167
north,0.12114071100950241,0.20274685323238373,0.24582991003990173,0.1660468727350235,0.1608530431985855,0.1418873816728592,0.2743184268474579,0.36298373341560364,0.3820379972457886,0.3604778051376343,0.28581127524375916,0.11829731613397598
east,0.1773146688938141,0.20167402923107147,0.23202075064182281,0.16992692649364471,0.1710943728685379,0.22174906730651855,0.24717837572097778,0.3383176326751709,0.3674589693546295,0.314786434173584,0.2158811092376709,0.10070597380399704
",",0.22659391164779663,0.40610817074775696,0.17964951694011688,0.28041911125183105,0.20966707170009613,0.2389259785413742,0.44245919585227966,0.4933079481124878,0.35839709639549255,0.4946078956127167,0.251589834690094,0.31091248989105225
go,0.2829282581806183,0.2443365454673767,0.24954189360141754,0.12309154123067856,0.24669122695922852,0.1384972631931305,0.384844571352005,0.29801803827285767,0.17470259964466095,0.21881330013275146,0.12105146795511246,0.25942572951316833
north,0.12114071100950241,0.20274685323238373,0.24582991003990173,0.1660468727350235,0.1608530431985855,0.1418873816728592,0.2743184268474579,0.36298373341560364,0.3820379972457886,0.3604778051376343,0.28581127524375916,0.11829731613397598
east,0.1773146688938141,0.20167402923107147,0.23202075064182281,0.16992692649364471,0.1710943728685379,0.22174906730651855,0.24717837572097778,0.3383176326751709,0.3674589693546295,0.314786434173584,0.2158811092376709,0.10070597380399704
and,0.33647966384887695,0.5296266674995422,0.24086548388004303,0.2527635991573334,0.32960009574890137,0.24532052874565125,0.48971283435821533,0.5171257257461548,0.2827445864677429,0.5116966962814331,0.20204751193523407,0.20544172823429108
stagecoach,0.14864954352378845,0.18245212733745575,0.4013574421405792,0.33255162835121155,0.1782848984003067,0.2890622317790985,0.20968391001224518,0.2185416966676712,0.2963971793651581,0.22201502323150635,0.4461725056171417,0.1317628175020218
north,0.12114071100950241,0.20274685323238373,0.24582991003990173,0.1660468727350235,0.1608530431985855,0.1418873816728592,0.2743184268474579,0.36298373341560364,0.3820379972457886,0.3604778051376343,0.28581127524375916,0.11829731613397598
east,0.1773146688938141,0.20167402923107147,0.23202075064182281,0.16992692649364471,0.1710943728685379,0.22174906730651855,0.24717837572097778,0.3383176326751709,0.3674589693546295,0.314786434173584,0.2158811092376709,0.10070597380399704
.,0.3287222981452942,0.3974229395389557,0.2277638167142868,0.20400826632976532,0.23842981457710266,0.2115515172481537,0.4645031690597534,0.5934505462646484,0.29856356978416443,0.5352458953857422,0.2714749276638031,0.4130953550338745
