,what,additional,benefits,are,there,to,surrounding,community,of,expansion,?
the,0.42745697498321533,0.2539002597332001,0.20434671640396118,0.40399202704429626,0.47025805711746216,0.535392165184021,0.37289485335350037,0.2601400911808014,0.733189046382904,0.31353142857551575,0.22068053483963013
institution,0.22293052077293396,0.16529099643230438,0.2718445658683777,0.11783474683761597,0.17043673992156982,0.20479217171669006,0.16242799162864685,0.2287004142999649,0.3115397095680237,0.1585628241300583,0.18802334368228912
asserts,0.2919406294822693,0.20404334366321564,0.2516087591648102,0.2419477254152298,0.21364527940750122,0.2540214955806732,0.2201240211725235,0.17239582538604736,0.2932989299297333,0.2683640420436859,0.2607457637786865
that,0.6297725439071655,0.2874574661254883,0.3614796996116638,0.45265161991119385,0.6006520986557007,0.5436353087425232,0.27859219908714294,0.2687637507915497,0.41498205065727234,0.31901687383651733,0.32716336846351624
such,0.23989605903625488,0.34260714054107666,0.32986003160476685,0.4654397666454315,0.40646296739578247,0.2871878743171692,0.24394574761390686,0.18409378826618195,0.3209529519081116,0.2061477154493332,0.17851735651493073
expansion,0.2671823799610138,0.2318814992904663,0.2561245560646057,0.1472935825586319,0.2411421686410904,0.2769574522972107,0.24232104420661926,0.21193750202655792,0.24185356497764587,1.0,0.18286365270614624
will,0.3510494530200958,0.3228026330471039,0.34084218740463257,0.39387544989585876,0.3024239242076874,0.5091033577919006,0.21574246883392334,0.21235665678977966,0.2473582625389099,0.28208988904953003,0.35046905279159546
benefit,0.3018529415130615,0.2569061517715454,0.8205881714820862,0.27772945165634155,0.2715318202972412,0.29776766896247864,0.21279007196426392,0.34580427408218384,0.20703035593032837,0.27490854263305664,0.31136202812194824
not,0.5449194312095642,0.2873985469341278,0.34545135498046875,0.46186959743499756,0.43214359879493713,0.5149973034858704,0.265680730342865,0.2510877549648285,0.3307090103626251,0.2214721441268921,0.41942933201789856
only,0.41415658593177795,0.3253368139266968,0.2888135612010956,0.4533037543296814,0.5042840242385864,0.5096819996833801,0.25092509388923645,0.265451043844223,0.49632513523101807,0.24305738508701324,0.2767370045185089
the,0.42745697498321533,0.2539002597332001,0.20434671640396118,0.40399202704429626,0.47025805711746216,0.535392165184021,0.37289485335350037,0.2601400911808014,0.733189046382904,0.31353142857551575,0.22068053483963013
school,0.18774057924747467,0.12644702196121216,0.07742411643266678,0.17021894454956055,0.2183125615119934,0.24496325850486755,0.09911973774433136,0.20976486802101135,0.2391800880432129,0.11715540289878845,0.15091250836849213
",",0.3087472915649414,0.30316734313964844,0.19544656574726105,0.4062570035457611,0.4587128460407257,0.44245919585227966,0.26042264699935913,0.2761111557483673,0.4946078956127167,0.15777990221977234,0.31091248989105225
but,0.5029441118240356,0.29693281650543213,0.30474743247032166,0.47990062832832336,0.5899304151535034,0.5542377829551697,0.3186245262622833,0.26093319058418274,0.39942997694015503,0.23974350094795227,0.27921953797340393
surrounding,0.2419222742319107,0.14500781893730164,0.22095657885074615,0.3398481607437134,0.34648260474205017,0.29437771439552307,1.0,0.2445729374885559,0.36802753806114197,0.24232104420661926,0.05288729816675186
community,0.29032719135284424,0.1301075518131256,0.27127715945243835,0.2440178245306015,0.2993071973323822,0.2863751947879791,0.2445729374885559,0.9999998807907104,0.2367410808801651,0.21193750202655792,0.2380419820547104
",",0.3087472915649414,0.30316734313964844,0.19544656574726105,0.4062570035457611,0.4587128460407257,0.44245919585227966,0.26042264699935913,0.2761111557483673,0.4946078956127167,0.15777990221977234,0.31091248989105225
pointing,0.3673347234725952,0.20104126632213593,0.22244581580162048,0.29712048172950745,0.2785892188549042,0.31448274850845337,0.25888848304748535,0.18908999860286713,0.25666725635528564,0.2561456263065338,0.284930557012558
to,0.455847829580307,0.29850050806999207,0.29057374596595764,0.3504326641559601,0.40669289231300354,1.0,0.29437771439552307,0.2863751947879791,0.41548454761505127,0.2769574522972107,0.29463258385658264
such,0.23989605903625488,0.34260714054107666,0.32986003160476685,0.4654397666454315,0.40646296739578247,0.2871878743171692,0.24394574761390686,0.18409378826618195,0.3209529519081116,0.2061477154493332,0.17851735651493073
features,0.20126673579216003,0.38246041536331177,0.2818753123283386,0.30492109060287476,0.27297475934028625,0.2523941099643707,0.2568982243537903,0.15342287719249725,0.2464914619922638,0.1830582320690155,0.23497378826141357
as,0.31749409437179565,0.3253166675567627,0.268344521522522,0.3826591968536377,0.33535557985305786,0.42092081904411316,0.2259271889925003,0.22733435034751892,0.3886612355709076,0.21941451728343964,0.27043893933296204
the,0.42745697498321533,0.2539002597332001,0.20434671640396118,0.40399202704429626,0.47025805711746216,0.535392165184021,0.37289485335350037,0.2601400911808014,0.733189046382904,0.31353142857551575,0.22068053483963013
enhanced,0.17255665361881256,0.32902905344963074,0.3215758502483368,0.14602236449718475,0.11375231295824051,0.21100686490535736,0.22396467626094818,0.1916286200284958,0.25994354486465454,0.29144996404647827,0.13735352456569672
transit,0.2244526743888855,0.12007968127727509,0.18062151968479156,0.1661861091852188,0.16218481957912445,0.18933601677417755,0.19458742439746857,0.18463395535945892,0.2233203798532486,0.23571397364139557,0.186569482088089
infrastructure,0.23299327492713928,0.26370400190353394,0.3753701150417328,0.22093160450458527,0.27052605152130127,0.28079214692115784,0.3103160262107849,0.3226284980773926,0.27721908688545227,0.3408443331718445,0.15828795731067657
",",0.3087472915649414,0.30316734313964844,0.19544656574726105,0.4062570035457611,0.4587128460407257,0.44245919585227966,0.26042264699935913,0.2761111557483673,0.4946078956127167,0.15777990221977234,0.31091248989105225
possible,0.3281886577606201,0.2705448567867279,0.3078763782978058,0.3083013594150543,0.42263469099998474,0.4506641626358032,0.30099937319755554,0.1380334347486496,0.3314395844936371,0.23838043212890625,0.3059970438480377
shuttles,0.21146883070468903,0.18887385725975037,0.14706000685691833,0.2315080761909485,0.24139854311943054,0.22067151963710785,0.15848113596439362,0.16606378555297852,0.19592104852199554,0.254430890083313,0.16865941882133484
open,0.2022915631532669,0.15968352556228638,0.20176872611045837,0.253268837928772,0.2727743089199066,0.2593059837818146,0.2579246461391449,0.23113109171390533,0.17970167100429535,0.16940145194530487,0.20715104043483734
to,0.455847829580307,0.29850050806999207,0.29057374596595764,0.3504326641559601,0.40669289231300354,1.0,0.29437771439552307,0.2863751947879791,0.41548454761505127,0.2769574522972107,0.29463258385658264
the,0.42745697498321533,0.2539002597332001,0.20434671640396118,0.40399202704429626,0.47025805711746216,0.535392165184021,0.37289485335350037,0.2601400911808014,0.733189046382904,0.31353142857551575,0.22068053483963013
public,0.1729622185230255,0.12074439227581024,0.26220834255218506,0.18111367523670197,0.21001549065113068,0.2672370672225952,0.2057352215051651,0.2720140516757965,0.2391265481710434,0.18410922586917877,0.19872993230819702
",",0.3087472915649414,0.30316734313964844,0.19544656574726105,0.4062570035457611,0.4587128460407257,0.44245919585227966,0.26042264699935913,0.2761111557483673,0.4946078956127167,0.15777990221977234,0.31091248989105225
