,why,did,harvard,end,its,early,admission,program,?
harvard,0.2075653374195099,0.12897181510925293,1.0,0.2297365367412567,0.18569302558898926,0.21132619678974152,0.31619688868522644,0.2390788048505783,0.11685016006231308
college,0.148677259683609,0.2254478633403778,0.46371275186538696,0.13986478745937347,0.1625933051109314,0.19495421648025513,0.42084380984306335,0.22076371312141418,0.11076676845550537
ended,0.1237068697810173,0.33372020721435547,0.13376657664775848,0.4509032666683197,0.207168310880661,0.41420987248420715,0.21936854720115662,0.1490919589996338,0.15429291129112244
its,0.2255094349384308,0.19922670722007751,0.18569302558898926,0.19770386815071106,1.0,0.18085439503192902,0.24598808586597443,0.22245895862579346,0.15103481709957123
early,0.21547465026378632,0.32047218084335327,0.21132619678974152,0.30789390206336975,0.18085439503192902,1.0000001192092896,0.164757639169693,0.18109819293022156,0.15272949635982513
admissions,0.2519836723804474,0.2906315326690674,0.3150351643562317,0.22377005219459534,0.23922905325889587,0.18263080716133118,0.8736568689346313,0.33545055985450745,0.2463146448135376
program,0.20480559766292572,0.18915289640426636,0.2390788048505783,0.1371297538280487,0.22245895862579346,0.18109819293022156,0.34782129526138306,1.0,0.1440187245607376
in,0.23227278888225555,0.2593238651752472,0.26072487235069275,0.28539085388183594,0.3793783485889435,0.34672921895980835,0.2778421938419342,0.1994907110929489,0.20430970191955566
2007,-0.19701725244522095,-0.2447822093963623,-0.06458470225334167,-0.10882548242807388,-0.17574620246887207,-0.1751134842634201,-0.16369052231311798,-0.07581492513418198,-0.1664225310087204
as,0.3103298544883728,0.3596470057964325,0.19990062713623047,0.23417671024799347,0.31874480843544006,0.2809016704559326,0.24469693005084991,0.19883424043655396,0.27043893933296204
the,0.30742117762565613,0.34736719727516174,0.24496200680732727,0.39658910036087036,0.559237003326416,0.34442198276519775,0.2620483338832855,0.22986935079097748,0.22068053483963013
program,0.20480559766292572,0.18915289640426636,0.2390788048505783,0.1371297538280487,0.22245895862579346,0.18109819293022156,0.34782129526138306,1.0,0.1440187245607376
