,where,did,the,normans,and,byzantines,sign,the,peace,treaty,?
meanwhile,0.23194949328899384,0.26109495759010315,0.2615615129470825,0.20147889852523804,0.3294285833835602,0.2594306170940399,0.10932951420545578,0.2615615129470825,0.16593074798583984,0.10157308727502823,0.16201108694076538
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.207779198884964,0.6633074283599854,0.24934756755828857,0.21768593788146973,0.4933079481124878,0.267503559589386,0.21270246803760529,0.31091248989105225
they,0.43078136444091797,0.4879390597343445,0.49925389885902405,0.2897695004940033,0.5073080658912659,0.27923500537872314,0.19748777151107788,0.49925389885902405,0.19651298224925995,0.17344391345977783,0.2753053903579712
occupied,0.23910054564476013,0.21438418328762054,0.3288927674293518,0.315337210893631,0.26742085814476013,0.2430921196937561,0.11155885457992554,0.3288927674293518,0.20369821786880493,0.31403225660324097,0.11679025739431381
petrela,0.12321111559867859,0.1401643306016922,0.1985194981098175,0.18280591070652008,0.19082866609096527,0.26976871490478516,0.08855301886796951,0.1985194981098175,0.16695517301559448,0.2272666096687317,0.12583987414836884
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.207779198884964,0.6633074283599854,0.24934756755828857,0.21768593788146973,0.4933079481124878,0.267503559589386,0.21270246803760529,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,1.0,0.2781367897987366,0.5171257257461548,0.23397722840309143,0.22875791788101196,1.0,0.2625678777694702,0.2690109610557556,0.22068053483963013
citadel,0.1794964224100113,0.16594411432743073,0.2966357171535492,0.3459833860397339,0.211139515042305,0.31728696823120117,0.11708173155784607,0.2966357171535492,0.20922203361988068,0.1925078183412552,0.11120149493217468
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.2173461765050888,0.5116966962814331,0.2067587524652481,0.201818585395813,0.733189046382904,0.23538054525852203,0.2602092921733856,0.1826142966747284
mili,0.15465721487998962,0.1336619108915329,0.22540421783924103,0.25648513436317444,0.22780264914035797,0.26392412185668945,0.14430885016918182,0.22540421783924103,0.2417035847902298,0.10987304896116257,0.08593247085809708
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.19791625440120697,0.3571503460407257,0.11466879397630692,0.1301579624414444,0.457212895154953,0.1481049656867981,0.14094549417495728,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,1.0,0.2781367897987366,0.5171257257461548,0.23397722840309143,0.22875791788101196,1.0,0.2625678777694702,0.2690109610557556,0.22068053483963013
