,when,did,the,spanish,and,portuguese,colonies,gain,their,independance,.
britain,0.21153636276721954,0.23567047715187073,0.29784059524536133,0.20248930156230927,0.3187123239040375,0.14148248732089996,0.41908612847328186,0.2143508344888687,0.25415584444999695,0.2728460431098938,0.25750598311424255
made,0.2936893105506897,0.3068731725215912,0.3885267674922943,0.13064630329608917,0.34954607486724854,0.14085614681243896,0.19132980704307556,0.1798858493566513,0.2909255027770996,0.14737609028816223,0.4032190144062042
compensating,0.30554917454719543,0.2504393756389618,0.27013567090034485,0.1725883036851883,0.3128965198993683,0.033655304461717606,0.25492674112319946,0.31727245450019836,0.34285828471183777,0.2631610333919525,0.25207099318504333
gains,0.26617005467414856,0.1851852983236313,0.2700354754924774,0.15298335254192352,0.2961255609989166,0.13167816400527954,0.20928268134593964,0.6821528673171997,0.28923335671424866,0.34068021178245544,0.24902430176734924
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.15696977078914642,0.4954058527946472,0.1487773358821869,0.28602269291877747,0.23473112285137177,0.34976133704185486,0.2905707061290741,0.5591574311256409
india,0.17761456966400146,0.17981284856796265,0.3108653426170349,0.18577000498771667,0.2782815098762512,0.27092742919921875,0.3143315613269806,0.13591429591178894,0.1598251461982727,0.2460205852985382,0.29068249464035034
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2153884321451187,0.6633074283599854,0.23039448261260986,0.23384660482406616,0.2041122019290924,0.3045167922973633,0.2784444987773895,0.6812511086463928
australia,0.1958855390548706,0.1948947310447693,0.26828548312187195,0.1361210197210312,0.2804507613182068,0.14854203164577484,0.24576611816883087,0.174093097448349,0.19066186249256134,0.1890934407711029,0.2899940609931946
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2153884321451187,0.6633074283599854,0.23039448261260986,0.23384660482406616,0.2041122019290924,0.3045167922973633,0.2784444987773895,0.6812511086463928
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.27494850754737854,1.0,0.20911315083503723,0.311396062374115,0.2497105896472931,0.45114588737487793,0.21221992373466492,0.588965117931366
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.15696977078914642,0.4954058527946472,0.1487773358821869,0.28602269291877747,0.23473112285137177,0.34976133704185486,0.2905707061290741,0.5591574311256409
constructing,0.21394501626491547,0.20241762697696686,0.2565261423587799,0.1314580738544464,0.24212141335010529,0.16444054245948792,0.2003055214881897,0.16951152682304382,0.20682679116725922,0.20660193264484406,0.23431140184402466
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.12465652078390121,0.2838519215583801,0.12368892878293991,0.13473175466060638,0.1725332885980606,0.19624626636505127,0.2237100601196289,0.3581749200820923
informal,0.17122343182563782,0.2074475884437561,0.24695700407028198,0.13499748706817627,0.24550151824951172,0.166408509016037,0.09735547006130219,0.23554307222366333,0.24634191393852234,0.2392437756061554,0.19334393739700317
economic,0.16004443168640137,0.14787930250167847,0.282455176115036,0.13026534020900726,0.2707010805606842,0.17375674843788147,0.24694593250751495,0.20957574248313904,0.22516539692878723,0.2813589572906494,0.22435031831264496
empire,0.18422111868858337,0.18850058317184448,0.32532164454460144,0.23340731859207153,0.27479609847068787,0.23550373315811157,0.3529135286808014,0.3177148699760437,0.2050197720527649,0.28307825326919556,0.2811720371246338
through,0.34666842222213745,0.14190755784511566,0.44071322679519653,0.1252845674753189,0.3666759729385376,0.11266631633043289,0.1520441323518753,0.21851688623428345,0.3113696575164795,0.1271846443414688,0.3174465596675873
