,what,type,of,organization,would,need,large,quantities,of,pure,oxygen,?
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.24483844637870789,0.29505011439323425,0.38045671582221985,0.3375214636325836,0.43554601073265076,0.3209529519081116,0.18764404952526093,0.23563316464424133,0.17851735651493073
tankers,0.1320449709892273,0.17397913336753845,0.21013392508029938,0.22084881365299225,0.22147619724273682,0.20534160733222961,0.29888424277305603,0.34595468640327454,0.21013392508029938,0.14252223074436188,0.27597907185554504,0.13368850946426392
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.1841304749250412,0.32024338841438293,0.46199482679367065,0.3467932939529419,0.411860853433609,0.39081433415412903,0.18473069369792938,0.24342744052410126,0.24591213464736938
used,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.210716113448143,0.35597336292266846,0.4084407389163971,0.3057393729686737,0.37669020891189575,0.3075267970561981,0.30671048164367676,0.21276918053627014,0.22430120408535004
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.26166829466819763,0.5965728163719177,0.42094892263412476,0.3150999844074249,0.26089707016944885,0.41548454761505127,0.2610398232936859,0.24193501472473145,0.29463258385658264
refill,0.2507293224334717,0.22522540390491486,0.20923054218292236,0.17688937485218048,0.2980839014053345,0.4559584856033325,0.21336433291435242,0.43584081530570984,0.20923054218292236,0.28399524092674255,0.4652719795703888,0.23340508341789246
bulk,0.19509074091911316,0.18839877843856812,0.2895064651966095,0.11516343802213669,0.2058783918619156,0.16773506999015808,0.36547139286994934,0.429667204618454,0.2895064651966095,0.23422174155712128,0.26075050234794617,0.14538165926933289
liquid,0.24017377197742462,0.2245183289051056,0.2296105921268463,0.13915501534938812,0.2702006995677948,0.3001181185245514,0.258829265832901,0.36040186882019043,0.2296105921268463,0.3662025034427643,0.4322830140590668,0.18412289023399353
oxygen,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.1736876517534256,0.206369087100029,0.3459301292896271,0.2165781706571579,0.30358952283859253,0.16848602890968323,0.3194023668766022,0.9999999403953552,0.16786395013332367
storage,0.18395499885082245,0.1850651651620865,0.24337847530841827,0.22025392949581146,0.1856556534767151,0.35299837589263916,0.3329944610595703,0.30651140213012695,0.24337847530841827,0.15472617745399475,0.23631079494953156,0.15578968822956085
containers,0.13950669765472412,0.254569411277771,0.2870939075946808,0.11925727874040604,0.21861161291599274,0.3128749132156372,0.30769938230514526,0.4099956452846527,0.2870939075946808,0.24465036392211914,0.30804064869880676,0.16381913423538208
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1819751113653183,0.32586824893951416,0.25983062386512756,0.2263888567686081,0.24184036254882812,0.4946078956127167,0.2349223643541336,0.21812842786312103,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.3044796586036682,0.3854503035545349,0.3459008038043976,0.46308431029319763,0.37817665934562683,0.5011631846427917,0.28911954164505005,0.3166238069534302,0.25814583897590637
stand,0.1968817561864853,0.08687157183885574,0.2038130760192871,0.09966863691806793,0.25175660848617554,0.29286590218544006,0.23924419283866882,0.13717125356197357,0.2038130760192871,0.17210857570171356,0.10383535921573639,0.14369045197963715
outside,0.3224688768386841,0.1506529003381729,0.2973117530345917,0.2120402604341507,0.2742229402065277,0.22998592257499695,0.3054707646369934,0.22054238617420197,0.2973117530345917,0.11796776205301285,0.1460166871547699,0.14839068055152893
hospitals,0.17187856137752533,0.13479159772396088,0.2402491718530655,0.23158518970012665,0.19973772764205933,0.30408012866973877,0.21601858735084534,0.2542754113674164,0.2402491718530655,0.11674748361110687,0.25061485171318054,0.10646984726190567
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.21951423585414886,0.34921059012413025,0.3223188817501068,0.3404269814491272,0.30532482266426086,0.5116966962814331,0.2798963785171509,0.22261030972003937,0.20544172823429108
other,0.341873437166214,0.2522227168083191,0.38583824038505554,0.23159298300743103,0.37565508484840393,0.40425336360931396,0.353826105594635,0.384904146194458,0.38583824038505554,0.21210645139217377,0.2354368269443512,0.24682199954986572
institutions,0.22018329799175262,0.15365764498710632,0.3371490240097046,0.47145935893058777,0.222817525267601,0.2535788118839264,0.24056917428970337,0.30848467350006104,0.3371490240097046,0.1285364180803299,0.14065095782279968,0.19119486212730408
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.20152391493320465,0.38372042775154114,0.3471839725971222,0.26124298572540283,0.27835097908973694,0.41827285289764404,0.22160521149635315,0.200663760304451,0.2433311939239502
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2565373480319977,0.398599237203598,0.30329999327659607,0.3740714490413666,0.2281755805015564,0.5052502155303955,0.2732713520526886,0.21662019193172455,0.23916715383529663
need,0.39420950412750244,0.24363647401332855,0.24285943806171417,0.2058672159910202,0.5093578696250916,0.9999999403953552,0.22944572567939758,0.3037993311882019,0.24285943806171417,0.23424282670021057,0.3459301292896271,0.40413710474967957
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.2952536344528198,0.39877474308013916,0.3668079972267151,0.22967137396335602,0.2853712737560272,0.4185989499092102,0.28783664107322693,0.22718772292137146,0.264628142118454
large,0.2017821967601776,0.27216973900794983,0.3569655418395996,0.16976642608642578,0.27663370966911316,0.22944572567939758,1.0000001192092896,0.3687227964401245,0.3569655418395996,0.1512729823589325,0.2165781706571579,0.1355665624141693
volumes,0.1425984501838684,0.06249719485640526,0.2531711161136627,0.10988979041576385,0.12675167620182037,0.11761436611413956,0.14462141692638397,0.2879669964313507,0.2531711161136627,0.1745520681142807,0.20087477564811707,0.11960393190383911
of,0.33290785551071167,0.18112817406654358,1.0,0.25438958406448364,0.3353942930698395,0.24285943806171417,0.3569655418395996,0.29088422656059265,1.0,0.2222386747598648,0.16848602890968323,0.1826142966747284
