,where,did,the,highwaymen,take,luther,?
they,0.43078136444091797,0.4879390597343445,0.49925389885902405,0.2735811173915863,0.3386363983154297,0.16441592574119568,0.2753053903579712
escorted,0.20186205208301544,0.25230491161346436,0.29260820150375366,0.3062899112701416,0.2630279064178467,0.12990805506706238,0.07809867709875107
luther,0.15538732707500458,0.23667675256729126,0.1759674996137619,0.24854600429534912,0.1334201842546463,1.0,0.1732746809720993
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.21544493734836578,0.4075521230697632,0.18029534816741943,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,1.0,0.22948665916919708,0.31620436906814575,0.1759674996137619,0.22068053483963013
security,0.18964523077011108,0.1400815099477768,0.2683938145637512,0.19176940619945526,0.17264610528945923,0.17041698098182678,0.13810279965400696
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.21199721097946167,0.29282352328300476,0.1719115972518921,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,1.0,0.22948665916919708,0.31620436906814575,0.1759674996137619,0.22068053483963013
wartburg,0.285017192363739,0.18038849532604218,0.3285069465637207,0.2267967015504837,0.20408141613006592,0.4354442358016968,0.1284676045179367
castle,0.19829235970973969,0.1407857984304428,0.21430203318595886,0.21394234895706177,0.16493624448776245,0.2115333378314972,0.0871945396065712
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.15189547836780548,0.27566230297088623,0.13834704458713531,0.21978627145290375
eisenach,0.17941521108150482,0.20441971719264984,0.29097414016723633,0.1901334971189499,0.20147813856601715,0.3257403075695038,0.18217165768146515
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2846931517124176,0.3045158088207245,0.24907569587230682,0.4130953550338745
