,what,is,the,last,name,of,the,player,who,scored,a,2-yard,touchdown,in,the,fourth,quarter,?
then,0.4072686731815338,0.24618037045001984,0.4297412931919098,0.30229422450065613,0.2490658462047577,0.2937326431274414,0.4297412931919098,0.16617587208747864,0.29952746629714966,0.21766911447048187,0.3970017731189728,0.1966812014579773,0.22619915008544922,0.36253848671913147,0.4297412931919098,0.18949101865291595,0.20768693089485168,0.2884598970413208
anderson,0.16783855855464935,0.1421903371810913,0.22428388893604279,0.1635744869709015,0.0775291696190834,0.21403512358665466,0.22428388893604279,0.18322673439979553,0.27154824137687683,0.2191399335861206,0.2118762582540512,0.24970698356628418,0.2538115382194519,0.21521469950675964,0.22428388893604279,0.12739473581314087,0.13373100757598877,0.1857001930475235
scored,0.12092071026563644,0.18883074820041656,0.22936925292015076,0.25652825832366943,0.09747118502855301,0.19369669258594513,0.22936925292015076,0.4243762493133545,0.2029072493314743,1.0000001192092896,0.2069414108991623,0.19597764313220978,0.49355390667915344,0.22821880877017975,0.22936925292015076,0.2849004566669464,0.28893834352493286,0.14548702538013458
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.2517152428627014,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.2081262320280075,0.2340552806854248,0.23573710024356842,0.3848365545272827,0.1985194832086563,0.16085277497768402,0.46853652596473694,0.5107308030128479,0.2738758623600006,0.21235644817352295,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2864423990249634,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.2591003477573395,0.36608949303627014,0.2069414108991623,1.0,0.2548084557056427,0.22309942543506622,0.539380669593811,0.5829201340675354,0.3032437562942505,0.26766106486320496,0.23916715383529663
2-yard,0.21026496589183807,0.19913862645626068,0.2685171961784363,0.1723356395959854,0.15591184794902802,0.2009725719690323,0.2685171961784363,0.1538345366716385,0.26910650730133057,0.19597764313220978,0.2548084557056427,1.0,0.33119675517082214,0.25500354170799255,0.2685171961784363,0.1922232210636139,0.22216662764549255,0.09816810488700867
touchdown,0.1587013155221939,0.15842995047569275,0.1805710643529892,0.2233768254518509,0.10804206877946854,0.15340197086334229,0.1805710643529892,0.3506159484386444,0.13768897950649261,0.49355390667915344,0.22309942543506622,0.33119675517082214,0.9999999403953552,0.14772959053516388,0.1805710643529892,0.2577759325504303,0.34771355986595154,0.12741123139858246
run,0.2294815480709076,0.20717166364192963,0.27883726358413696,0.204249769449234,0.12229572981595993,0.2272813767194748,0.27883726358413696,0.15994369983673096,0.2372417002916336,0.2406097650527954,0.2607046067714691,0.24551057815551758,0.2337142378091812,0.26368704438209534,0.27883726358413696,0.1322060078382492,0.14740826189517975,0.17904110252857208
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.25967320799827576,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.22685286402702332,0.41279885172843933,0.23723433911800385,0.3739250600337982,0.25405678153038025,0.21398694813251495,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.24505728483200073,0.20544172823429108
manning,0.20007498562335968,0.15379270911216736,0.27058160305023193,0.1576220989227295,0.08606230467557907,0.20024974644184113,0.27058160305023193,0.3113711178302765,0.33436715602874756,0.32255229353904724,0.2509649395942688,0.3245471715927124,0.50454181432724,0.22345924377441406,0.27058160305023193,0.2344820201396942,0.2765781581401825,0.15856626629829407
