,what,was,the,title,of,the,first,choral,hymnal,?
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.2028372436761856,0.38706058263778687,0.4571082592010498,0.3826274573802948,0.27879905700683594,0.2640853822231293,0.2089974731206894
supplied,0.148319274187088,0.18652108311653137,0.3064648509025574,0.21094907820224762,0.22998054325580597,0.3064648509025574,0.2102045714855194,0.09247774630784988,0.1432083547115326,0.08668285608291626
four,0.18057085573673248,0.2866098880767822,0.40344667434692383,0.14912764728069305,0.36293646693229675,0.40344667434692383,0.3285832405090332,0.18846344947814941,0.23738454282283783,0.14532537758350372
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18969319760799408,1.0,0.733189046382904,0.3536086082458496,0.2536206841468811,0.3003794848918915,0.1826142966747284
eight,0.15383057296276093,0.2945409417152405,0.34254369139671326,0.14687658846378326,0.3220755457878113,0.34254369139671326,0.35473009943962097,0.19217117130756378,0.20511777698993683,0.11634626984596252
songs,0.2281436324119568,0.2077534794807434,0.21576808393001556,0.20489397644996643,0.19366078078746796,0.21576808393001556,0.22611618041992188,0.388981431722641,0.37365594506263733,0.18278652429580688
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18969319760799408,1.0,0.733189046382904,0.3536086082458496,0.2536206841468811,0.3003794848918915,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.27465343475341797,0.733189046382904,1.0,0.49448907375335693,0.23280717432498932,0.27393218874931335,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.2900196313858032,0.3536086082458496,0.49448907375335693,1.0,0.17904742062091827,0.25188982486724854,0.18701928853988647
lutheran,0.195865198969841,0.2620541453361511,0.20315466821193695,0.13284745812416077,0.2628459632396698,0.20315466821193695,0.1814015507698059,0.3990519344806671,0.33152660727500916,0.1752520203590393
hymnal,0.19135619699954987,0.2962062954902649,0.27393218874931335,0.13427843153476715,0.3003794848918915,0.27393218874931335,0.25188982486724854,0.5506678819656372,1.0,0.14759886264801025
achtliederbuch,0.23100066184997559,0.3268906772136688,0.3414166569709778,0.3119660019874573,0.3710545599460602,0.3414166569709778,0.2632450759410858,0.4072988033294678,0.4083912968635559,0.26709797978401184
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2202284336090088,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.2659761607646942,0.32863128185272217,0.31091248989105225
18,-0.09284763038158417,-0.1265212595462799,-0.07796193659305573,-0.004767812322825193,-0.09725122153759003,-0.07796193659305573,-0.08631300181150436,-0.06077810376882553,-0.1237269788980484,-0.04919438064098358
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18969319760799408,1.0,0.733189046382904,0.3536086082458496,0.2536206841468811,0.3003794848918915,0.1826142966747284
26,0.052160754799842834,0.15403041243553162,0.11227777600288391,-0.02445431798696518,0.0640103667974472,0.11227777600288391,0.13524679839611053,0.08278792351484299,0.10750655084848404,-0.05200668424367905
