,where,does,the,livestock,of,the,country,normally,dominate,?
livestock,0.24361899495124817,0.21859219670295715,0.23593823611736298,1.0,0.22532570362091064,0.23593823611736298,0.18771882355213165,0.24320855736732483,0.1661563515663147,0.18863795697689056
predominates,0.2623724043369293,0.2636171877384186,0.352252721786499,0.17731034755706787,0.3118489384651184,0.352252721786499,0.25626304745674133,0.25362008810043335,0.5742860436439514,0.06779252737760544
in,0.5344807505607605,0.214483380317688,0.6662389636039734,0.25368136167526245,0.5696388483047485,0.6662389636039734,0.3040012717247009,0.27602890133857727,0.19479310512542725,0.20430970191955566
the,0.5003893971443176,0.35928019881248474,1.0,0.23593823611736298,0.733189046382904,1.0,0.30432501435279846,0.3523634970188141,0.3102695643901825,0.22068053483963013
semi-arid,0.2962735891342163,0.17185772955417633,0.2718944251537323,0.24072754383087158,0.2093130201101303,0.2718944251537323,0.21624813973903656,0.2139495462179184,0.27737313508987427,0.20927584171295166
savanna,0.24838580191135406,0.16028106212615967,0.25403106212615967,0.3996697664260864,0.22103050351142883,0.25403106212615967,0.26682040095329285,0.14182403683662415,0.22272299230098724,0.13222691416740417
to,0.47735077142715454,0.4391997456550598,0.535392165184021,0.2487335056066513,0.41548454761505127,0.535392165184021,0.31281599402427673,0.3993734121322632,0.276837021112442,0.29463258385658264
the,0.5003893971443176,0.35928019881248474,1.0,0.23593823611736298,0.733189046382904,1.0,0.30432501435279846,0.3523634970188141,0.3102695643901825,0.22068053483963013
north,0.23586879670619965,0.11500263214111328,0.36298373341560364,0.2311551868915558,0.3604778051376343,0.36298373341560364,0.2221440225839615,0.13646537065505981,0.2152748852968216,0.11829731613397598
and,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.25556084513664246,0.5116966962814331,0.5171257257461548,0.30884742736816406,0.3715205192565918,0.29325994849205017,0.20544172823429108
east,0.28155818581581116,0.1668700873851776,0.3383176326751709,0.21490660309791565,0.314786434173584,0.3383176326751709,0.2239755243062973,0.12625138461589813,0.2210044115781784,0.10070597380399704
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.26503217220306396,0.5352458953857422,0.5934505462646484,0.26130348443984985,0.33750930428504944,0.1592528522014618,0.4130953550338745
