,what,consist,of,one,ore,more,annual,conferences,?
bishops,0.18840548396110535,0.15231722593307495,0.305105060338974,0.186436265707016,0.09359576553106308,0.18251481652259827,0.1553855985403061,0.35402414202690125,0.15664468705654144
thus,0.30745524168014526,0.27984508872032166,0.3487406373023987,0.3385889530181885,0.1938476264476776,0.35285449028015137,0.12144751101732254,0.22443488240242004,0.18769288063049316
elected,0.16005432605743408,0.058385640382766724,0.2767166793346405,0.1864463835954666,0.10788081586360931,0.14518560469150543,0.17374800145626068,0.19880756735801697,0.1966295689344406
serve,0.23061832785606384,0.2650131583213806,0.2656401991844177,0.2658191919326782,0.08105272799730301,0.2864739000797272,0.15212349593639374,0.12048216164112091,0.19925682246685028
episcopal,0.2335733026266098,0.12070714682340622,0.29307931661605835,0.14644643664360046,0.17909696698188782,0.12541626393795013,0.13294227421283722,0.2185768485069275,0.22619661688804626
areas,0.23739881813526154,0.2778996229171753,0.2803763747215271,0.2672261595726013,0.2118479311466217,0.33441853523254395,0.17999352514743805,0.2605148255825043,0.1273590475320816
",",0.3087472915649414,0.23239316046237946,0.4946078956127167,0.3696635365486145,0.20332880318164825,0.3696524500846863,0.1683935970067978,0.2478943020105362,0.31091248989105225
which,0.5261979103088379,0.33890172839164734,0.5011631846427917,0.510688066482544,0.292072594165802,0.4639437198638916,0.30685511231422424,0.23433993756771088,0.25814583897590637
consist,0.15849626064300537,1.0000001192092896,0.34433460235595703,0.33097636699676514,0.21036458015441895,0.26165705919265747,0.1515224426984787,0.23423485457897186,0.04707268625497818
of,0.33290785551071167,0.34433460235595703,1.0,0.4999135136604309,0.21709293127059937,0.30478984117507935,0.29535046219825745,0.22132393717765808,0.1826142966747284
one,0.376489520072937,0.33097636699676514,0.4999135136604309,1.0000001192092896,0.18569199740886688,0.42017561197280884,0.1718951016664505,0.20194336771965027,0.2673267424106598
or,0.33867141604423523,0.34852567315101624,0.3792596757411957,0.4022330939769745,0.23103854060173035,0.41612157225608826,0.24306827783584595,0.19112013280391693,0.32389625906944275
more,0.3484537899494171,0.26165705919265747,0.30478984117507935,0.42017561197280884,0.2270100861787796,1.0,0.18683560192584991,0.18764916062355042,0.27894994616508484
annual,0.14798973500728607,0.1515224426984787,0.29535046219825745,0.1718951016664505,0.08913223445415497,0.18683560192584991,1.0000001192092896,0.2808605134487152,0.1083487942814827
conferences,0.18170012533664703,0.23423485457897186,0.22132393717765808,0.20194336771965027,0.03839496895670891,0.18764916062355042,0.2808605134487152,0.9999999403953552,0.14015959203243256
.,0.3567904531955719,0.15803883969783783,0.5352458953857422,0.4123194217681885,0.2184143364429474,0.4070230722427368,0.17968490719795227,0.2162696272134781,0.4130953550338745
