,where,did,von,lettow,surrender,at,?
he,0.3705328106880188,0.3292143940925598,0.1780691146850586,0.2958960235118866,0.2742740213871002,0.3280475437641144,0.2089974731206894
eventually,0.4520733952522278,0.36719876527786255,0.19390742480754852,0.2696813642978668,0.33089545369148254,0.2721650004386902,0.13642115890979767
surrendered,0.16057999432086945,0.25101137161254883,0.2056235373020172,0.3577122390270233,0.9142539501190186,0.20254595577716827,0.09069284051656723
in,0.5344807505607605,0.2593238651752472,0.20116294920444489,0.2686558663845062,0.25480160117149353,0.4374977946281433,0.20430970191955566
northern,0.2461140751838684,0.14611519873142242,0.07806066423654556,0.19590209424495697,0.19656924903392792,0.22357766330242157,0.13149388134479523
rhodesia,0.1889813244342804,0.18632923066616058,0.1504175364971161,0.24687135219573975,0.2487679123878479,0.21342861652374268,0.1348971724510193
(,0.1970011591911316,0.18979617953300476,0.2220507264137268,0.25400903820991516,0.15911799669265747,0.23315078020095825,0.40561532974243164
today,0.27820688486099243,0.30291810631752014,0.17903627455234528,0.1801319122314453,0.0852758139371872,0.20083099603652954,0.17338968813419342
zambia,0.1690288484096527,0.09464079886674881,0.05396963655948639,0.26430800557136536,0.18335604667663574,0.1325276792049408,0.16246294975280762
),0.20711064338684082,0.18584993481636047,0.19353726506233215,0.2534365653991699,0.1672409027814865,0.23338089883327484,0.42300865054130554
fourteen,0.1820865273475647,0.22530043125152588,0.08760322630405426,0.2530706226825714,0.21820826828479767,0.33682066202163696,0.10843432694673538
days,0.17151492834091187,0.2182302623987198,0.06084281578660011,0.19720320403575897,0.19020256400108337,0.2978195548057556,0.2198754847049713
after,0.31753596663475037,0.30330467224121094,0.13980841636657715,0.2804291844367981,0.3047172725200653,0.3622083067893982,0.16608688235282898
the,0.5003893971443176,0.34736719727516174,0.21817399561405182,0.26322633028030396,0.27931663393974304,0.457212895154953,0.22068053483963013
armistice,0.17125163972377777,0.23232430219650269,0.1923280507326126,0.3398217260837555,0.5550228357315063,0.24283790588378906,0.19832712411880493
was,0.20731619000434875,0.41399896144866943,0.2042967826128006,0.3041098713874817,0.27840402722358704,0.36707764863967896,0.18412111699581146
signed,0.18993167579174042,0.23087851703166962,0.08706077188253403,0.2879177927970886,0.2916402816772461,0.1363757848739624,0.14003296196460724
in,0.5344807505607605,0.2593238651752472,0.20116294920444489,0.2686558663845062,0.25480160117149353,0.4374977946281433,0.20430970191955566
1918,0.01558401994407177,0.014363286085426807,0.1130465716123581,0.20142975449562073,0.14162199199199677,0.05553566664457321,0.24529904127120972
.,0.41390106081962585,0.35288307070732117,0.20990465581417084,0.3449256420135498,0.2190479040145874,0.4549728035926819,0.4130953550338745
