,what,was,the,digitization,project,called,?
the,0.42745697498321533,0.48711544275283813,1.0,0.30199649930000305,0.2027820199728012,0.489897221326828,0.22068053483963013
second,0.19948028028011322,0.3858029544353485,0.4620301127433777,0.15462838113307953,0.13665205240249634,0.3223951756954193,0.17239587008953094
step,0.28945717215538025,0.16876640915870667,0.20505109429359436,0.27717798948287964,0.19968630373477936,0.20646372437477112,0.23299238085746765
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30801132321357727,0.17578177154064178,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.30199649930000305,0.2027820199728012,0.489897221326828,0.22068053483963013
factory,0.13602052628993988,0.28738224506378174,0.2101404368877411,0.1561477929353714,0.2039182335138321,0.23812398314476013,0.13535508513450623
project,0.27033838629722595,0.17915812134742737,0.2027820199728012,0.3439951539039612,1.0,0.13923276960849762,0.30569031834602356
is,0.28837618231773376,0.5810302495956421,0.5823672413825989,0.20953750610351562,0.1924840211868286,0.430266410112381,0.22961433231830597
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24331095814704895,0.28750085830688477,0.2987143397331238,0.29463258385658264
catalog,0.16572877764701843,0.14377693831920624,0.19848686456680298,0.44057077169418335,0.20861482620239258,0.13214150071144104,0.19544024765491486
everything,0.5900073051452637,0.22486594319343567,0.33579888939857483,0.23397213220596313,0.25515055656433105,0.19889529049396515,0.37031570076942444
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.250759094953537,0.23938670754432678,0.300344854593277,0.4130953550338745
,what,was,the,digitization,project,called,?
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.2855679392814636,0.29938963055610657,0.41604554653167725,0.32716336846351624
project,0.27033838629722595,0.17915812134742737,0.2027820199728012,0.3439951539039612,1.0,0.13923276960849762,0.30569031834602356
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.19426476955413818,0.17915812134742737,0.33927658200263977,0.18412111699581146
entitled,0.3050041198730469,0.2241649031639099,0.2671615183353424,0.191789448261261,0.235792875289917,0.2645147740840912,0.2216128408908844
the,0.42745697498321533,0.48711544275283813,1.0,0.30199649930000305,0.2027820199728012,0.489897221326828,0.22068053483963013
factory,0.13602052628993988,0.28738224506378174,0.2101404368877411,0.1561477929353714,0.2039182335138321,0.23812398314476013,0.13535508513450623
project,0.27033838629722595,0.17915812134742737,0.2027820199728012,0.3439951539039612,1.0,0.13923276960849762,0.30569031834602356
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24331095814704895,0.28750085830688477,0.2987143397331238,0.29463258385658264
reference,0.27632904052734375,0.21164053678512573,0.26254498958587646,0.3172302544116974,0.24501700699329376,0.21912555396556854,0.2950310707092285
andy,0.17442026734352112,0.19617865979671478,0.194142147898674,0.09687696397304535,0.18846000730991364,0.07973145693540573,0.13130870461463928
warhol,0.14651548862457275,0.3322647213935852,0.2180214524269104,0.2407088428735733,0.20731474459171295,0.23193399608135223,0.1486213207244873
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20847226679325104,0.23249590396881104,0.3251761794090271,0.20544172823429108
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24331095814704895,0.28750085830688477,0.2987143397331238,0.29463258385658264
create,0.2962724268436432,0.17767828702926636,0.25265660881996155,0.2319842278957367,0.3159535825252533,0.27890631556510925,0.300167441368103
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.24688468873500824,0.2328382134437561,0.4868806302547455,0.23916715383529663
factory,0.13602052628993988,0.28738224506378174,0.2101404368877411,0.1561477929353714,0.2039182335138321,0.23812398314476013,0.13535508513450623
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.24331095814704895,0.28750085830688477,0.2987143397331238,0.29463258385658264
completely,0.3990919888019562,0.26666659116744995,0.342624306678772,0.1936349868774414,0.19281649589538574,0.2135731726884842,0.17155995965003967
digitize,0.25825127959251404,0.16149498522281647,0.28076472878456116,0.7654792666435242,0.31658121943473816,0.18703964352607727,0.27175650000572205
the,0.42745697498321533,0.48711544275283813,1.0,0.30199649930000305,0.2027820199728012,0.489897221326828,0.22068053483963013
collection,0.215459942817688,0.1743653565645218,0.25281965732574463,0.40640148520469666,0.3083817660808563,0.2715458571910858,0.20069393515586853
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.250759094953537,0.23938670754432678,0.300344854593277,0.4130953550338745
