,in,march,2015,",",how,many,owned-and-operated,stations,did,abc,have,?
as,0.3887844979763031,0.2616936266422272,0.04859122261404991,0.48816442489624023,0.33782753348350525,0.4070141911506653,0.2464020699262619,0.23359498381614685,0.3596470057964325,0.2286096066236496,0.37788212299346924,0.27043893933296204
of,0.5696388483047485,0.20692677795886993,0.21138253808021545,0.4946078956127167,0.2480744868516922,0.37253960967063904,0.27541932463645935,0.20414425432682037,0.2513895630836487,0.14607268571853638,0.3802283704280853,0.1826142966747284
march,0.29730337858200073,1.0000001192092896,0.06148998439311981,0.4256272315979004,0.16374856233596802,0.13846592605113983,0.25317567586898804,0.13916397094726562,0.27992504835128784,0.15645621716976166,0.13333256542682648,0.2802562415599823
2015,0.0891268327832222,0.06148998439311981,1.0,0.06568983197212219,-0.161673903465271,-0.05971702188253403,0.0646086260676384,-0.05039229243993759,0.02002497762441635,-0.04918218031525612,-0.09074253588914871,-0.029954981058835983
[,0.12324675917625427,0.08246593177318573,-0.08098004013299942,0.08049847930669785,0.03530287742614746,0.1508627086877823,0.12801773846149445,0.3714297115802765,0.030549485236406326,0.15241694450378418,0.010582555085420609,0.011015460826456547
update,0.22495365142822266,0.19368992745876312,-0.11234573274850845,0.22589418292045593,0.2694169878959656,0.18542030453681946,0.22770315408706665,0.22324223816394806,0.21572637557983398,0.2516208291053772,0.26298636198043823,0.38474005460739136
],-0.1088862195611,-0.07768154889345169,0.06813231855630875,-0.10209845006465912,0.06738625466823578,-0.016180947422981262,0.10097071528434753,-0.048841603100299835,0.024806415662169456,0.12378712743520737,0.006664168555289507,-0.0022520492784678936
",",0.5201468467712402,0.4256272315979004,0.06568983197212219,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.32616978883743286,0.26337406039237976,0.3015086054801941,0.2097204476594925,0.3541618287563324,0.31091248989105225
abc,0.1697147786617279,0.15645621716976166,-0.04918218031525612,0.2097204476594925,0.19232043623924255,0.18267793953418732,0.31080347299575806,0.23858611285686493,0.13353709876537323,1.0000001192092896,0.1884228140115738,0.19065172970294952
has,0.4173259735107422,0.15738847851753235,-0.041663043200969696,0.3734780251979828,0.26820555329322815,0.4266262650489807,0.24421635270118713,0.2237684279680252,0.2124989777803421,0.23067910969257355,0.6353569626808167,0.15994466841220856
eight,0.3002670109272003,0.1399281769990921,0.025228945538401604,0.28017938137054443,0.222213014960289,0.348200261592865,0.2391359508037567,0.2167072892189026,0.19307805597782135,0.2205275595188141,0.31264185905456543,0.11634626984596252
