,what,was,the,seat,of,former,party,leader,david,mcletchie,?
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.1597914844751358,0.4185989499092102,0.23718710243701935,0.22076621651649475,0.1646857112646103,0.20388762652873993,0.19816970825195312,0.264628142118454
the,0.42745697498321533,0.48711544275283813,1.0,0.24530775845050812,0.733189046382904,0.2251449078321457,0.23779736459255219,0.27799519896507263,0.2237231284379959,0.25644728541374207,0.22068053483963013
conservatives,0.18994614481925964,0.20093517005443573,0.19514378905296326,0.22103402018547058,0.16622577607631683,0.13770157098770142,0.5208461284637451,0.36264654994010925,0.20472575724124908,0.22188986837863922,0.17010615766048431
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.18137462437152863,0.4946078956127167,0.2738454341888428,0.21963930130004883,0.23893310129642487,0.2523728609085083,0.3382730484008789,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.24530775845050812,0.733189046382904,0.2251449078321457,0.23779736459255219,0.27799519896507263,0.2237231284379959,0.25644728541374207,0.22068053483963013
main,0.2344268560409546,0.21035033464431763,0.38631999492645264,0.07990214228630066,0.3177044689655304,0.12014217674732208,0.096624456346035,0.10686860978603363,0.1445133537054062,0.1581733077764511,0.1665669083595276
disappointment,0.411554217338562,0.23605778813362122,0.2568087577819824,0.0949031338095665,0.2506951689720154,0.24403692781925201,0.24784132838249207,0.19468626379966736,0.213889479637146,0.3288393020629883,0.24271000921726227
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2532924711704254,0.4069072902202606,0.2544213533401489,0.25508102774620056,0.3073844909667969,0.2655363976955414,0.2988237738609314,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,1.0,0.24530775845050812,0.733189046382904,0.2251449078321457,0.23779736459255219,0.27799519896507263,0.2237231284379959,0.25644728541374207,0.22068053483963013
loss,0.21803489327430725,0.13580112159252167,0.27898719906806946,0.12786276638507843,0.26357072591781616,0.08543256670236588,0.14033323526382446,0.14281368255615234,0.07544605433940887,0.1364487111568451,0.1312553584575653
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2283020317554474,1.0,0.30415382981300354,0.23662418127059937,0.24122127890586853,0.191870778799057,0.21305835247039795,0.1826142966747284
edinburgh,0.10800135135650635,0.25017035007476807,0.2266589254140854,0.11725714802742004,0.263994961977005,0.13360360264778137,0.17697806656360626,0.08849015086889267,0.21984949707984924,0.28611844778060913,0.09266204386949539
pentlands,0.22518350183963776,0.34210023283958435,0.3182450830936432,0.309831827878952,0.3609439432621002,0.26515138149261475,0.21610218286514282,0.21110212802886963,0.17701034247875214,0.2937546670436859,0.2526983320713043
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.18137462437152863,0.4946078956127167,0.2738454341888428,0.21963930130004883,0.23893310129642487,0.2523728609085083,0.3382730484008789,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.24530775845050812,0.733189046382904,0.2251449078321457,0.23779736459255219,0.27799519896507263,0.2237231284379959,0.25644728541374207,0.22068053483963013
seat,0.1103479340672493,0.2532924711704254,0.24530775845050812,1.0,0.2283020317554474,0.19010277092456818,0.26313984394073486,0.23532935976982117,0.16269533336162567,0.19979286193847656,0.06630133837461472
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2283020317554474,1.0,0.30415382981300354,0.23662418127059937,0.24122127890586853,0.191870778799057,0.21305835247039795,0.1826142966747284
former,0.13598288595676422,0.2544213533401489,0.2251449078321457,0.19010277092456818,0.30415382981300354,1.0,0.24437592923641205,0.2927979826927185,0.1907336413860321,0.2697518467903137,0.10570605844259262
party,0.2398013323545456,0.25508102774620056,0.23779736459255219,0.26313984394073486,0.23662418127059937,0.24437592923641205,0.9999999403953552,0.47142326831817627,0.14783276617527008,0.21147233247756958,0.19031576812267303
leader,0.15734966099262238,0.3073844909667969,0.27799519896507263,0.23532935976982117,0.24122127890586853,0.2927979826927185,0.47142326831817627,1.0,0.18988355994224548,0.20133239030838013,0.09527933597564697
david,0.1299152821302414,0.2655363976955414,0.2237231284379959,0.16269533336162567,0.191870778799057,0.1907336413860321,0.14783276617527008,0.18988355994224548,1.0,0.3882441818714142,0.04158485680818558
mcletchie,0.2296173870563507,0.2988237738609314,0.25644728541374207,0.19979286193847656,0.21305835247039795,0.2697518467903137,0.21147233247756958,0.20133239030838013,0.3882441818714142,1.0,0.19540517032146454
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.18137462437152863,0.4946078956127167,0.2738454341888428,0.21963930130004883,0.23893310129642487,0.2523728609085083,0.3382730484008789,0.31091248989105225
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.14240662753582,0.41548454761505127,0.12857267260551453,0.1893671154975891,0.2050279974937439,0.10776355117559433,0.20804093778133392,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.24530775845050812,0.733189046382904,0.2251449078321457,0.23779736459255219,0.27799519896507263,0.2237231284379959,0.25644728541374207,0.22068053483963013
snp,0.16751348972320557,0.213423952460289,0.283728688955307,0.2610621154308319,0.26387298107147217,0.21284911036491394,0.4044208228588104,0.2781114876270294,0.18601951003074646,0.3339977562427521,0.14808869361877441
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.20119667053222656,0.5352458953857422,0.20895031094551086,0.23341989517211914,0.21285216510295868,0.22794033586978912,0.30985623598098755,0.4130953550338745
