,what,was,the,basis,mentioned,for,the,develpment,of,the,general,theory,of,relativity,?
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.3589327335357666,0.32340842485427856,0.5082864165306091,0.6274310946464539,0.3749582767486572,0.45148900151252747,0.6274310946464539,0.24112297594547272,0.2884212136268616,0.45148900151252747,0.3005935549736023,0.3155723512172699
principle,0.3569014072418213,0.14412526786327362,0.24017377197742462,0.42088398337364197,0.22010554373264313,0.19208170473575592,0.24017377197742462,0.3399231731891632,0.2430231273174286,0.24017377197742462,0.2211521416902542,0.5460558533668518,0.2430231273174286,0.45735886693000793,0.2002675086259842
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.282950758934021,0.2778978943824768,0.4185989499092102,0.733189046382904,0.3308884799480438,1.0,0.733189046382904,0.28352999687194824,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
equivalence,0.24512086808681488,0.12734103202819824,0.28947168588638306,0.3225856423377991,0.20390984416007996,0.29532313346862793,0.28947168588638306,0.23299768567085266,0.32932543754577637,0.28947168588638306,0.2703731954097748,0.3550485372543335,0.32932543754577637,0.4778953492641449,0.20289474725723267
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2420235276222229,0.2583683729171753,0.3863949179649353,0.48711544275283813,0.2743776738643646,0.4069072902202606,0.48711544275283813,0.2445744127035141,0.18278326094150543,0.4069072902202606,0.2026238590478897,0.18412111699581146
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.31674715876579285,0.36352697014808655,0.384836345911026,0.5514441132545471,0.2761003375053406,0.4999135136604309,0.5514441132545471,0.18572571873664856,0.27095937728881836,0.4999135136604309,0.22131678462028503,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.282950758934021,0.2778978943824768,0.4185989499092102,0.733189046382904,0.3308884799480438,1.0,0.733189046382904,0.28352999687194824,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2758672833442688,0.3624042272567749,0.4739971458911896,1.0,0.38983097672462463,0.733189046382904,1.0,0.28634732961654663,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
foundational,0.20548680424690247,0.1749541461467743,0.2316216677427292,0.3591945767402649,0.17603404819965363,0.30264341831207275,0.2316216677427292,0.33291956782341003,0.31792545318603516,0.2316216677427292,0.23880434036254883,0.36198097467422485,0.31792545318603516,0.31402522325515747,0.16650104522705078
underpinnings,0.30671292543411255,0.16098465025424957,0.2843906283378601,0.31327271461486816,0.17722460627555847,0.3071877360343933,0.2843906283378601,0.36049196124076843,0.22874204814434052,0.2843906283378601,0.092289038002491,0.32011735439300537,0.22874204814434052,0.3816087543964386,0.31435248255729675
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.34436357021331787,0.25718954205513,0.9999999403953552,0.4739971458911896,0.3490453362464905,0.4185989499092102,0.4739971458911896,0.23497237265110016,0.20500218868255615,0.4185989499092102,0.1981007605791092,0.264628142118454
the,0.42745697498321533,0.48711544275283813,1.0,0.2758672833442688,0.3624042272567749,0.4739971458911896,1.0,0.38983097672462463,0.733189046382904,1.0,0.28634732961654663,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
development,0.19014155864715576,0.2344081997871399,0.3362044394016266,0.30752062797546387,0.1802213042974472,0.28623178601264954,0.3362044394016266,0.8093878626823425,0.28700894117355347,0.3362044394016266,0.1740150898694992,0.360708087682724,0.28700894117355347,0.2599903643131256,0.1211358830332756
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.282950758934021,0.2778978943824768,0.4185989499092102,0.733189046382904,0.3308884799480438,1.0,0.733189046382904,0.28352999687194824,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2758672833442688,0.3624042272567749,0.4739971458911896,1.0,0.38983097672462463,0.733189046382904,1.0,0.28634732961654663,0.2277156263589859,0.733189046382904,0.20282858610153198,0.22068053483963013
general,0.24928055703639984,0.2445744127035141,0.28634732961654663,0.2061474770307541,0.18816405534744263,0.23497237265110016,0.28634732961654663,0.20582878589630127,0.28352999687194824,0.28634732961654663,1.0000001192092896,0.23614253103733063,0.28352999687194824,0.2732059359550476,0.1972234547138214
theory,0.297923743724823,0.18278326094150543,0.2277156263589859,0.356967955827713,0.13280215859413147,0.20500218868255615,0.2277156263589859,0.29196926951408386,0.23506702482700348,0.2277156263589859,0.23614253103733063,0.9999999403953552,0.23506702482700348,0.5565682053565979,0.1387292891740799
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.282950758934021,0.2778978943824768,0.4185989499092102,0.733189046382904,0.3308884799480438,1.0,0.733189046382904,0.28352999687194824,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
relativity,0.2980750799179077,0.2026238590478897,0.20282858610153198,0.335216224193573,0.18567457795143127,0.1981007605791092,0.20282858610153198,0.25568661093711853,0.22042350471019745,0.20282858610153198,0.2732059359550476,0.5565682053565979,0.22042350471019745,1.0000001192092896,0.26250147819519043
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2657107412815094,0.2792564034461975,0.4726039469242096,0.5934505462646484,0.36887380480766296,0.5352458953857422,0.5934505462646484,0.2929490804672241,0.18047811090946198,0.5352458953857422,0.19048427045345306,0.4130953550338745
