,what,size,are,adult,ctenophora,?
adults,0.2567427158355713,0.1631942093372345,0.34450337290763855,0.7006191611289978,0.30858519673347473,0.22581297159194946
of,0.33290785551071167,0.27599775791168213,0.39081433415412903,0.2112857699394226,0.241486594080925,0.1826142966747284
various,0.26045072078704834,0.23557345569133759,0.45140719413757324,0.2116110771894455,0.23282331228256226,0.12823495268821716
species,0.14617158472537994,0.31022804975509644,0.3297041952610016,0.28930580615997314,0.5797459483146667,0.1957087516784668
range,0.19613829255104065,0.24869811534881592,0.31786245107650757,0.18313854932785034,0.20419591665267944,0.1204894632101059
from,0.2737620174884796,0.1817614883184433,0.2674213647842407,0.16863365471363068,0.1317715346813202,0.19969791173934937
a,0.3320399522781372,0.24953703582286835,0.265255331993103,0.2270583063364029,0.24843408167362213,0.23916715383529663
few,0.2780759632587433,0.1839359849691391,0.43078693747520447,0.21805202960968018,0.15607698261737823,0.2334265559911728
millimeters,0.24447742104530334,0.37294256687164307,0.30345025658607483,0.2949677109718323,0.3889515697956085,0.17141805589199066
to,0.455847829580307,0.26289698481559753,0.3504326641559601,0.2005145102739334,0.12408250570297241,0.29463258385658264
1.5,-0.03446419537067413,0.02535977214574814,0.01531984843313694,-0.0021149050444364548,0.019947923719882965,0.007378216367214918
m,0.23871465027332306,0.1456597000360489,0.22155292332172394,0.08483043313026428,0.16486461460590363,0.2618667185306549
(,0.2411840260028839,0.20613399147987366,0.23263892531394958,0.17060619592666626,0.21480697393417358,0.40561532974243164
4,-0.04324747622013092,-0.031033450737595558,-0.08760347217321396,-0.06222134828567505,0.036873672157526016,0.010515431873500347
ft,0.20828482508659363,0.3164472281932831,0.16373850405216217,0.22508323192596436,0.28300538659095764,0.17776548862457275
11,0.0032819851767271757,-0.033150140196084976,0.06551206856966019,0.20855268836021423,0.19618386030197144,-0.04295448586344719
in,0.30808621644973755,0.21714140474796295,0.3841303884983063,0.2174263745546341,0.1502838283777237,0.20430970191955566
),0.26259949803352356,0.1989639550447464,0.2373749315738678,0.18441654741764069,0.20206139981746674,0.42300865054130554
in,0.30808621644973755,0.21714140474796295,0.3841303884983063,0.2174263745546341,0.1502838283777237,0.20430970191955566
size,0.2566739320755005,1.0000001192092896,0.25654396414756775,0.2161603420972824,0.2714160978794098,0.13693112134933472
.,0.3567904531955719,0.30260366201400757,0.3452940285205841,0.2983810603618622,0.24174925684928894,0.4130953550338745
