,what,does,umc,stand,for,?
the,0.42745697498321533,0.35928019881248474,0.21262750029563904,0.2531624138355255,0.4739971458911896,0.22068053483963013
united,0.20036718249320984,0.1650896966457367,0.1928277611732483,0.18211250007152557,0.30487096309661865,0.17266890406608582
methodist,0.17637217044830322,0.13836076855659485,0.2650960683822632,0.10672982037067413,0.1716444343328476,0.1436992734670639
church,0.1944202184677124,0.16385334730148315,0.20494024455547333,0.16061753034591675,0.15542230010032654,0.18081501126289368
(,0.2411840260028839,0.2728188931941986,0.2078039050102234,0.15827840566635132,0.3357032239437103,0.40561532974243164
umc,0.2557855546474457,0.1938968300819397,1.0,0.19321733713150024,0.20637543499469757,0.2609967589378357
),0.26259949803352356,0.2575884759426117,0.21987228095531464,0.14393578469753265,0.3639558255672455,0.42300865054130554
is,0.28837618231773376,0.4403602182865143,0.21909049153327942,0.2768389880657196,0.43268078565597534,0.22961433231830597
a,0.3320399522781372,0.38201746344566345,0.19728222489356995,0.26977941393852234,0.44038116931915283,0.23916715383529663
mainline,0.16564925014972687,0.12788617610931396,0.22576044499874115,0.18716028332710266,0.21914124488830566,0.18302324414253235
protestant,0.23531195521354675,0.1460028886795044,0.22981512546539307,0.10784941166639328,0.11954054981470108,0.14798137545585632
methodist,0.17637217044830322,0.13836076855659485,0.2650960683822632,0.10672982037067413,0.1716444343328476,0.1436992734670639
denomination,0.24481600522994995,0.16432692110538483,0.3519315719604492,0.1047855019569397,0.20484371483325958,0.2643771171569824
.,0.3567904531955719,0.3022993505001068,0.23154163360595703,0.2296130359172821,0.4726039469242096,0.4130953550338745
