,in,what,years,did,spain,and,portugal,join,the,european,union,?
since,0.4325680434703827,0.29783400893211365,0.3892640173435211,0.27613121271133423,0.2610621750354767,0.3515571057796478,0.23081305623054504,0.17022328078746796,0.4054957628250122,0.27516499161720276,0.2166493833065033,0.2876587212085724
its,0.3793783485889435,0.30393704771995544,0.17322497069835663,0.19922670722007751,0.18923208117485046,0.3841775357723236,0.16399414837360382,0.14497780799865723,0.559237003326416,0.1742284595966339,0.22658714652061462,0.15103481709957123
establishment,0.329694002866745,0.1702135056257248,0.21952593326568604,0.20103003084659576,0.22279658913612366,0.20570623874664307,0.1948532909154892,0.1773158609867096,0.344906210899353,0.18790550529956818,0.190766379237175,0.1661023646593094
",",0.5201468467712402,0.3087472915649414,0.2589467465877533,0.3015086054801941,0.24137483537197113,0.6633074283599854,0.23925766348838806,0.23633374273777008,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.31091248989105225
more,0.32563260197639465,0.3484537899494171,0.29188093543052673,0.2803135812282562,0.16131238639354706,0.39880692958831787,0.11460848152637482,0.208576500415802,0.39758381247520447,0.1796877533197403,0.17267271876335144,0.27894994616508484
member,0.20856694877147675,0.09932345896959305,0.2272787243127823,0.16698363423347473,0.13705797493457794,0.28606608510017395,0.06775534898042679,0.3446156680583954,0.2806392312049866,0.24138560891151428,0.23030449450016022,0.06826172769069672
states,0.3977442979812622,0.21526020765304565,0.28678232431411743,0.21754568815231323,0.28006961941719055,0.2974761426448822,0.24867688119411469,0.23870575428009033,0.3463578522205353,0.25554242730140686,0.30693942308425903,0.16272737085819244
have,0.36843645572662354,0.39808809757232666,0.31441381573677063,0.3783526122570038,0.17915651202201843,0.4711785912513733,0.14606662094593048,0.2664616107940674,0.40389683842658997,0.19048169255256653,0.16471676528453827,0.32991164922714233
joined,0.29866936802864075,0.11022865772247314,0.23469741642475128,0.2579648792743683,0.1322038620710373,0.31977471709251404,0.14094290137290955,0.6689744591712952,0.2943263649940491,0.14483051002025604,0.23093125224113464,0.06566751003265381
through,0.38533157110214233,0.23167094588279724,0.22591422498226166,0.14190755784511566,0.17230919003486633,0.3666759729385376,0.13879011571407318,0.25494009256362915,0.44071322679519653,0.18028515577316284,0.1379835307598114,0.16913433372974396
a,0.539380669593811,0.3320399522781372,0.23773819208145142,0.2552328109741211,0.20019643008708954,0.3739250600337982,0.16744402050971985,0.19408884644508362,0.5829201340675354,0.2254103124141693,0.18140026926994324,0.23916715383529663
