,what,political,leaning,does,the,cato,institute,have,?
will,0.3510494530200958,0.11581849306821823,0.2674724757671356,0.583926260471344,0.3635469079017639,0.08064836263656616,0.08407677710056305,0.4443284869194031,0.35046905279159546
wilkinson,0.19103412330150604,0.14206543564796448,0.1278684139251709,0.11490417271852493,0.21124061942100525,0.21482402086257935,0.2545761168003082,0.18314479291439056,0.16808927059173584
of,0.33290785551071167,0.27319738268852234,0.22808271646499634,0.3119818866252899,0.733189046382904,0.21409691870212555,0.2977932393550873,0.3802283704280853,0.1826142966747284
the,0.42745697498321533,0.20477235317230225,0.28090304136276245,0.35928019881248474,1.0,0.22267882525920868,0.24399729073047638,0.40389683842658997,0.22068053483963013
libertarian,0.23568636178970337,0.5605304837226868,0.23195603489875793,0.1897524744272232,0.19194893538951874,0.29739999771118164,0.2185143232345581,0.2232857346534729,0.2275393307209015
cato,0.2109040766954422,0.22715751826763153,0.17647862434387207,0.10841429233551025,0.22267882525920868,0.9999999403953552,0.09673590213060379,0.12843871116638184,0.13783609867095947
institute,0.17608846724033356,0.17969894409179688,0.13829787075519562,0.12312955409288406,0.24399729073047638,0.09673590213060379,1.0,0.13914279639720917,0.115291528403759
states,0.21526020765304565,0.2472352534532547,0.15116195380687714,0.18093830347061157,0.3463578522205353,0.19536210596561432,0.21733267605304718,0.20162390172481537,0.16272737085819244
that,0.6297725439071655,0.2016311138868332,0.33872854709625244,0.4764937460422516,0.5473989248275757,0.18478240072727203,0.16938656568527222,0.6182622313499451,0.32716336846351624
``,0.008517155423760414,0.13712286949157715,0.04102393612265587,0.06539655476808548,0.029072100296616554,0.11044497042894363,-0.13274848461151123,0.1022237241268158,0.0685480609536171
the,0.42745697498321533,0.20477235317230225,0.28090304136276245,0.35928019881248474,1.0,0.22267882525920868,0.24399729073047638,0.40389683842658997,0.22068053483963013
weight,0.20223349332809448,0.13688766956329346,0.2790479362010956,0.21913670003414154,0.19469641149044037,0.091903455555439,0.09964508563280106,0.28145483136177063,0.18111222982406616
of,0.33290785551071167,0.27319738268852234,0.22808271646499634,0.3119818866252899,0.733189046382904,0.21409691870212555,0.2977932393550873,0.3802283704280853,0.1826142966747284
the,0.42745697498321533,0.20477235317230225,0.28090304136276245,0.35928019881248474,1.0,0.22267882525920868,0.24399729073047638,0.40389683842658997,0.22068053483963013
evidence,0.33425694704055786,0.16422414779663086,0.22355465590953827,0.2606262266635895,0.25031140446662903,0.11262575536966324,0.21321095526218414,0.39647525548934937,0.24151235818862915
shows,0.30282244086265564,0.16396157443523407,0.2385738641023636,0.3030276298522949,0.36348509788513184,0.09974347800016403,0.16511909663677216,0.33071407675743103,0.2040930688381195
