,what,did,the,reforms,cause,?
the,0.42745697498321533,0.34736719727516174,1.0,0.27898797392845154,0.2551237642765045,0.22068053483963013
reforms,0.18993237614631653,0.227556511759758,0.27898797392845154,1.0000001192092896,0.1562177985906601,0.09706777334213257
provoked,0.21818923950195312,0.29504361748695374,0.24450267851352692,0.21290430426597595,0.38170722126960754,0.20225588977336884
disturbances,0.2838555574417114,0.1939975470304489,0.2706867754459381,0.2585209012031555,0.4121357500553131,0.11455879360437393
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.17705677449703217,0.2546827793121338,0.31091248989105225
including,0.18328791856765747,0.26678287982940674,0.3738902807235718,0.21541202068328857,0.19511286914348602,0.1633303165435791
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.20852211117744446,0.2715701162815094,0.23916715383529663
revolt,0.21133480966091156,0.1584831327199936,0.26279088854789734,0.3676600456237793,0.12674635648727417,0.13996845483779907
by,0.2455483376979828,0.18574509024620056,0.4408751428127289,0.19335509836673737,0.20837076008319855,0.17966607213020325
the,0.42745697498321533,0.34736719727516174,1.0,0.27898797392845154,0.2551237642765045,0.22068053483963013
augustinian,0.20099180936813354,0.14031444489955902,0.2714621424674988,0.3129239082336426,0.13962122797966003,0.19610492885112762
friars,0.19789285957813263,0.2217908501625061,0.2876269817352295,0.22147126495838165,0.10908634960651398,0.11377087235450745
against,0.24561616778373718,0.22514554858207703,0.3090755045413971,0.29535290598869324,0.24560177326202393,0.18095137178897858
their,0.35142919421195984,0.38078752160072327,0.516537070274353,0.18561123311519623,0.2818659543991089,0.1898253709077835
prior,0.2537507116794586,0.2797660529613495,0.33782097697257996,0.22190630435943604,0.17958685755729675,0.16978254914283752
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.17705677449703217,0.2546827793121338,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.27898797392845154,0.2551237642765045,0.22068053483963013
smashing,0.22869591414928436,0.22725248336791992,0.2740744948387146,0.09495747089385986,0.19882045686244965,0.15601906180381775
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.28131547570228577,0.25979894399642944,0.1826142966747284
statues,0.10677443444728851,0.18255962431430817,0.23103664815425873,0.2218618392944336,0.15245626866817474,0.08013036102056503
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2764894664287567,0.2858448028564453,0.20544172823429108
images,0.23456238210201263,0.17420677840709686,0.22232814133167267,0.1907682716846466,0.16384048759937286,0.22502069175243378
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.21114581823349,0.24822883307933807,0.20430970191955566
churches,0.17877253890037537,0.21651899814605713,0.2626241147518158,0.40542981028556824,0.1644214689731598,0.19824735820293427
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.17705677449703217,0.2546827793121338,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2764894664287567,0.2858448028564453,0.20544172823429108
denunciations,0.3025420308113098,0.27202215790748596,0.29426854848861694,0.3301354944705963,0.13325998187065125,0.28315261006355286
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.28131547570228577,0.25979894399642944,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.27898797392845154,0.2551237642765045,0.22068053483963013
magistracy,0.15125048160552979,0.20275895297527313,0.2097521275281906,0.23185323178768158,0.05499124899506569,0.10738279670476913
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2161082923412323,0.267557293176651,0.4130953550338745
