,what,did,luther,say,the,common,people,knew,nothing,about,?
``,0.008517155423760414,-0.029888948425650597,-0.013964727520942688,0.062410302460193634,0.029072100296616554,0.13911877572536469,0.08962737023830414,0.04290632903575897,0.07303418219089508,0.008102871477603912,0.0685480609536171
merciful,0.22585226595401764,0.22551032900810242,0.2002297043800354,0.31663087010383606,0.2387368381023407,0.2235725075006485,0.24584917724132538,0.23040461540222168,0.2394629418849945,0.12379664182662964,0.192195862531662
god,0.3127830922603607,0.2420882135629654,0.2238161414861679,0.3750264644622803,0.24689088761806488,0.14376837015151978,0.22474899888038635,0.2640025317668915,0.29186949133872986,0.21474918723106384,0.23396754264831543
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.35129812359809875,0.4933079481124878,0.2497023195028305,0.36644625663757324,0.2508722245693207,0.29340270161628723,0.3877100944519043,0.31091248989105225
what,0.9999998807907104,0.4259131848812103,0.2134782373905182,0.5386801958084106,0.42745697498321533,0.19989867508411407,0.32444337010383606,0.40829193592071533,0.5522216558456421,0.47976887226104736,0.5051238536834717
misery,0.2854509949684143,0.18965654075145721,0.22209417819976807,0.2338012456893921,0.22325332462787628,0.1562337875366211,0.21648766100406647,0.23048828542232513,0.25382909178733826,0.2736329138278961,0.24438795447349548
i,0.4411132335662842,0.32301032543182373,0.232476145029068,0.4448245167732239,0.26687872409820557,0.15278932452201843,0.23986725509166718,0.3262631595134735,0.4383908808231354,0.2983403205871582,0.4695145785808563
have,0.39808809757232666,0.3783526122570038,0.12011514604091644,0.517315149307251,0.40389683842658997,0.3370055556297302,0.3380994498729706,0.38730549812316895,0.3973430097103119,0.3940475583076477,0.32991164922714233
seen,0.3087027072906494,0.23731118440628052,0.11634977906942368,0.3301646113395691,0.3442007005214691,0.24664051830768585,0.21240337193012238,0.2856346368789673,0.278737872838974,0.2540546953678131,0.2567344307899475
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.35129812359809875,0.4933079481124878,0.2497023195028305,0.36644625663757324,0.2508722245693207,0.29340270161628723,0.3877100944519043,0.31091248989105225
'',0.08143015950918198,0.01978493109345436,-0.04572787508368492,0.09060607105493546,0.041273195296525955,-0.003978588618338108,0.0037952337879687548,-0.000456303299870342,6.787096208427101e-05,0.007750829216092825,0.018684765323996544
