,how,many,seats,must,a,political,party,have,to,be,represented,on,the,parliamentary,bureau,?
under,0.23006081581115723,0.21268652379512787,0.08547434210777283,0.19046618044376373,0.18317826092243195,0.13468164205551147,0.19590245187282562,0.2579502761363983,0.27177539467811584,0.23514987528324127,0.16097238659858704,0.3075410723686218,0.3348022699356079,0.17270737886428833,0.21602098643779755,0.18233340978622437
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.2713140547275543,0.5829201340675354,0.20477235317230225,0.23779736459255219,0.40389683842658997,0.535392165184021,0.4248143136501312,0.3256146013736725,0.5107308030128479,1.0,0.2708897888660431,0.26302388310432434,0.22068053483963013
standing,0.21271410584449768,0.22681090235710144,0.2872908115386963,0.2785762548446655,0.3191242814064026,0.20546004176139832,0.19626599550247192,0.26985710859298706,0.2908179461956024,0.27520814538002014,0.24369169771671295,0.25366199016571045,0.32312217354774475,0.1821698695421219,0.09472741931676865,0.11972658336162567
orders,0.17077182233333588,0.20433394610881805,0.15786170959472656,0.25024840235710144,0.1862567514181137,0.17343950271606445,0.1898544877767563,0.18352602422237396,0.27432385087013245,0.18620936572551727,0.14623694121837616,0.1397208422422409,0.26927345991134644,0.21493276953697205,0.13360588252544403,0.18005457520484924
of,0.2480744868516922,0.37253960967063904,0.22482673823833466,0.24322323501110077,0.5052502155303955,0.27319738268852234,0.23662418127059937,0.3802283704280853,0.41548454761505127,0.33904364705085754,0.3891753554344177,0.3966929316520691,0.733189046382904,0.33805084228515625,0.23669974505901337,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.2713140547275543,0.5829201340675354,0.20477235317230225,0.23779736459255219,0.40389683842658997,0.535392165184021,0.4248143136501312,0.3256146013736725,0.5107308030128479,1.0,0.2708897888660431,0.26302388310432434,0.22068053483963013
parliament,0.13635116815567017,0.15748974680900574,0.45153921842575073,0.18632540106773376,0.22951169312000275,0.40806224942207336,0.47402411699295044,0.16643136739730835,0.20290622115135193,0.1534755527973175,0.3085746169090271,0.2047569900751114,0.26521381735801697,0.8464457392692566,0.21398843824863434,0.1586504578590393
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.2713140547275543,0.5829201340675354,0.20477235317230225,0.23779736459255219,0.40389683842658997,0.535392165184021,0.4248143136501312,0.3256146013736725,0.5107308030128479,1.0,0.2708897888660431,0.26302388310432434,0.22068053483963013
bureau,0.18994398415088654,0.167403906583786,0.17953835427761078,0.15927809476852417,0.2171967327594757,0.1861303746700287,0.1572587788105011,0.15365763008594513,0.22318093478679657,0.1420774906873703,0.12350128591060638,0.17734235525131226,0.26302388310432434,0.23601530492305756,1.0000001192092896,0.12716132402420044
consists,0.14797210693359375,0.18753206729888916,0.1744348257780075,0.218284010887146,0.3022095263004303,0.0717131718993187,0.10792664438486099,0.279518187046051,0.18391861021518707,0.2368895560503006,0.32676464319229126,0.23520493507385254,0.3362659811973572,0.26422318816185,0.1043267622590065,-0.004641483072191477
of,0.2480744868516922,0.37253960967063904,0.22482673823833466,0.24322323501110077,0.5052502155303955,0.27319738268852234,0.23662418127059937,0.3802283704280853,0.41548454761505127,0.33904364705085754,0.3891753554344177,0.3966929316520691,0.733189046382904,0.33805084228515625,0.23669974505901337,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.2713140547275543,0.5829201340675354,0.20477235317230225,0.23779736459255219,0.40389683842658997,0.535392165184021,0.4248143136501312,0.3256146013736725,0.5107308030128479,1.0,0.2708897888660431,0.26302388310432434,0.22068053483963013
presiding,0.13930433988571167,0.140048548579216,0.302945077419281,0.19155794382095337,0.18864497542381287,0.3332619071006775,0.3706567585468292,0.11857116967439651,0.2064446657896042,0.18798689544200897,0.2870005667209625,0.17006568610668182,0.3267684876918793,0.4496363401412964,0.2829722464084625,0.177648663520813
officer,0.1377885937690735,0.12142262607812881,0.08360984921455383,0.1568949669599533,0.241327702999115,0.2394391894340515,0.24176836013793945,0.11107056587934494,0.2198503315448761,0.15076467394828796,0.12656112015247345,0.18298856914043427,0.25777485966682434,0.22257617115974426,0.34859034419059753,0.119948610663414
and,0.33647966384887695,0.5296266674995422,0.2413434535264969,0.33253467082977295,0.3739250600337982,0.33013346791267395,0.20650289952754974,0.4711785912513733,0.48971283435821533,0.41766801476478577,0.2506123185157776,0.4077630043029785,0.5171257257461548,0.30461975932121277,0.20569582283496857,0.20544172823429108
one,0.3213292360305786,0.4223630726337433,0.20994427800178528,0.27498316764831543,0.4910551905632019,0.24292153120040894,0.22651320695877075,0.4507926106452942,0.4025384783744812,0.4154875874519348,0.3276631534099579,0.3601475656032562,0.5514441132545471,0.1377386599779129,0.10693182796239853,0.2673267424106598
representative,0.1407785415649414,0.10610289871692657,0.32876190543174744,0.15814442932605743,0.260164737701416,0.31401124596595764,0.3854091763496399,0.12824414670467377,0.1958741992712021,0.13065563142299652,0.5992078185081482,0.16875168681144714,0.23411999642848969,0.4478324353694916,0.24664296209812164,0.13044437766075134
from,0.22939439117908478,0.33099696040153503,0.1905638575553894,0.20263603329658508,0.322764128446579,0.20812924206256866,0.2064429521560669,0.30702701210975647,0.4069952368736267,0.3107333183288574,0.27583742141723633,0.36926645040512085,0.40150508284568787,0.17162030935287476,0.1365959793329239,0.19969791173934937
