,what,is,tuition,for,2012,-,13,year,at,harvard,?
for,0.3017193675041199,0.43268078565597534,0.3458143174648285,0.9999999403953552,0.22560004889965057,0.28420013189315796,-0.016487080603837967,0.29294124245643616,0.34237727522850037,0.14800849556922913,0.264628142118454
the,0.42745697498321533,0.5823672413825989,0.22994613647460938,0.4739971458911896,0.46885523200035095,0.3207225501537323,-0.007407139986753464,0.3609684407711029,0.457212895154953,0.24496200680732727,0.22068053483963013
2012–13,0.05813507363200188,0.0929717868566513,-0.06418926268815994,-0.06530836224555969,0.22279293835163116,0.11092552542686462,0.03973938152194023,-0.06202098727226257,0.015058739110827446,0.08622898161411285,0.04792358726263046
school,0.18774057924747467,0.19488026201725006,0.4018059968948364,0.18618352711200714,0.22623711824417114,0.1602003127336502,0.08201728761196136,0.2321801781654358,0.3177914023399353,0.42520302534103394,0.15091250836849213
year,0.15184831619262695,0.2402215600013733,0.29884806275367737,0.29294124245643616,0.24374690651893616,0.22633466124534607,0.044694337993860245,1.0,0.3146436810493469,0.12264450639486313,0.18315006792545319
annual,0.14798973500728607,0.20538382232189178,0.3641524314880371,0.28860941529273987,0.15589237213134766,0.09916672110557556,-0.06079155206680298,0.37299844622612,0.27374956011772156,0.19021044671535492,0.1083487942814827
tuition,0.2307644784450531,0.20473599433898926,1.0000001192092896,0.3458143174648285,0.15287505090236664,0.1681508719921112,-0.04638303071260452,0.29884806275367737,0.2809189260005951,0.33391231298446655,0.2023361474275589
was,0.22111038863658905,0.5810302495956421,0.20323017239570618,0.3863949179649353,0.2899843454360962,0.21728090941905975,0.020193999633193016,0.3209837079048157,0.36707764863967896,0.2415156066417694,0.18412111699581146
$,0.24858909845352173,0.14577937126159668,0.43971872329711914,0.22711659967899323,0.200901597738266,0.12436302751302719,0.0470556765794754,0.30956965684890747,0.19577117264270782,0.19535687565803528,0.2786129117012024
"38,000",0.0315820537507534,0.09497345983982086,0.03521222248673439,0.08821367472410202,0.09378618001937866,0.17866413295269012,0.013644983060657978,0.08811506628990173,0.15652437508106232,0.23042045533657074,0.09688519686460495
",",0.3087472915649414,0.4691906273365021,0.2515327036380768,0.4464869201183319,0.42079734802246094,0.42609795928001404,0.028695285320281982,0.28560417890548706,0.38314947485923767,0.2719281017780304,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.21156993508338928,0.39140474796295166,0.27785399556159973,0.26225757598876953,-0.04229801148176193,0.3220449686050415,0.29126521944999695,0.11114109307527542,0.2433311939239502
a,0.3320399522781372,0.658733606338501,0.27240288257598877,0.44038116931915283,0.3774794936180115,0.3695357143878937,0.01653565652668476,0.29350247979164124,0.3095070421695709,0.24754071235656738,0.23916715383529663
total,0.19850242137908936,0.18159881234169006,0.23267926275730133,0.18924455344676971,0.2982551157474518,0.10898197442293167,0.01750127784907818,0.19080977141857147,0.17510145902633667,0.1318056881427765,0.14396025240421295
cost,0.210266575217247,0.21065181493759155,0.4304608702659607,0.2728281319141388,0.2068737894296646,0.09449945390224457,-0.09441401809453964,0.23495396971702576,0.26695817708969116,0.12882669270038605,0.17823095619678497
of,0.33290785551071167,0.4854315221309662,0.28940895199775696,0.4185989499092102,0.4422316551208496,0.2919245660305023,0.019282439723610878,0.2578314542770386,0.42558613419532776,0.25842633843421936,0.1826142966747284
attendance,0.13257066905498505,0.15755556523799896,0.36142757534980774,0.23555876314640045,0.17443324625492096,0.1543213278055191,-0.007389778271317482,0.3373371362686157,0.333088755607605,0.14343711733818054,0.16877901554107666
of,0.33290785551071167,0.4854315221309662,0.28940895199775696,0.4185989499092102,0.4422316551208496,0.2919245660305023,0.019282439723610878,0.2578314542770386,0.42558613419532776,0.25842633843421936,0.1826142966747284
$,0.24858909845352173,0.14577937126159668,0.43971872329711914,0.22711659967899323,0.200901597738266,0.12436302751302719,0.0470556765794754,0.30956965684890747,0.19577117264270782,0.19535687565803528,0.2786129117012024
"57,000",0.043694108724594116,0.06631792336702347,-0.007869895547628403,0.05677793174982071,0.029346328228712082,0.06691529601812363,-0.09953770041465759,-0.03120560757815838,-0.027657054364681244,-0.06491844356060028,0.14487920701503754
.,0.3567904531955719,0.4569662809371948,0.2443438172340393,0.4726039469242096,0.37805238366127014,0.4330557584762573,0.041442494839429855,0.32538118958473206,0.4549728035926819,0.254516065120697,0.4130953550338745
