,who,is,the,vice-chair,of,the,ipcc,?
before,0.31244513392448425,0.25183290243148804,0.45900648832321167,0.18734583258628845,0.3282964527606964,0.45900648832321167,0.15341489017009735,0.2507109045982361
this,0.3345087468624115,0.480927973985672,0.6274310946464539,0.13456261157989502,0.45148900151252747,0.6274310946464539,0.2609120011329651,0.3155723512172699
election,0.24774396419525146,0.16769170761108398,0.22873377799987793,0.3132646977901459,0.23051156103610992,0.22873377799987793,0.25631093978881836,0.23105260729789734
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.26912370324134827,0.4946078956127167,0.4933079481124878,0.15590040385723114,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,1.0,0.23485249280929565,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
ipcc,0.21932992339134216,0.15563958883285522,0.24925659596920013,0.2365192025899887,0.20174051821231842,0.24925659596920013,1.0000001192092896,0.22295254468917847
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.30089208483695984,0.4069072902202606,0.48711544275283813,0.16744299232959747,0.18412111699581146
led,0.2450801581144333,0.14361225068569183,0.3267505168914795,0.1959972232580185,0.32918456196784973,0.3267505168914795,0.2534172236919403,0.09273858368396759
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.2583894729614258,0.3646814823150635,0.4408751428127289,0.18031758069992065,0.17966607213020325
his,0.44966956973075867,0.24372583627700806,0.4394008219242096,0.32180681824684143,0.38364991545677185,0.4394008219242096,0.17504876852035522,0.18075084686279297
vice-chair,0.2958478033542633,0.17561374604701996,0.23485249280929565,1.0000001192092896,0.22533968091011047,0.23485249280929565,0.2365192025899887,0.14705583453178406
ismail,0.18563663959503174,0.2442174255847931,0.2209443747997284,0.2676519751548767,0.21218781173229218,0.2209443747997284,0.18016979098320007,0.09844514727592468
el,0.11726998537778854,0.16377437114715576,0.22364778816699982,0.22850628197193146,0.17381444573402405,0.22364778816699982,0.1873530000448227,0.16662782430648804
gizouli,0.357440322637558,0.32554399967193604,0.3475729525089264,0.33448174595832825,0.3302648663520813,0.3475729525089264,0.29974597692489624,0.23032115399837494
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.26912370324134827,0.4946078956127167,0.4933079481124878,0.15590040385723114,0.31091248989105225
who,0.9999998807907104,0.24293622374534607,0.3733934462070465,0.2958478033542633,0.2827862501144409,0.3733934462070465,0.21932992339134216,0.26220351457595825
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.30089208483695984,0.4069072902202606,0.48711544275283813,0.16744299232959747,0.18412111699581146
designated,0.08669188618659973,0.20732922852039337,0.23178240656852722,0.16826948523521423,0.22357919812202454,0.23178240656852722,0.10937461256980896,0.1318070888519287
acting,0.23510612547397614,0.1378737837076187,0.26443079113960266,0.23764817416667938,0.25130656361579895,0.26443079113960266,0.1154598593711853,0.15597198903560638
chair,0.204286128282547,0.14992809295654297,0.1899619996547699,0.7847399711608887,0.20146237313747406,0.1899619996547699,0.2737242877483368,0.12348068505525589
after,0.32549580931663513,0.2835143506526947,0.4565047025680542,0.2476336508989334,0.3867455720901489,0.4565047025680542,0.07751352339982986,0.16608688235282898
the,0.3733934462070465,0.5823672413825989,1.0,0.23485249280929565,0.733189046382904,1.0,0.24925659596920013,0.22068053483963013
resignation,0.1657826155424118,0.1909775584936142,0.22580647468566895,0.28722983598709106,0.2197260707616806,0.22580647468566895,0.20068320631980896,0.16713038086891174
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.22533968091011047,1.0,0.733189046382904,0.20174051821231842,0.1826142966747284
rajendra,0.20101453363895416,0.19326630234718323,0.2506994307041168,0.257493793964386,0.24134209752082825,0.2506994307041168,0.2465311735868454,0.14685603976249695
k.,0.14496901631355286,0.12449722737073898,-0.04743805527687073,0.09602159261703491,-0.024758286774158478,-0.04743805527687073,0.18108750879764557,0.4099535048007965
pachauri,0.3242393434047699,0.2153884768486023,0.2887033224105835,0.32642263174057007,0.26019054651260376,0.2887033224105835,0.25978317856788635,0.2064822018146515
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.2307574599981308,0.5696388483047485,0.6662389636039734,0.1257958561182022,0.20430970191955566
february,0.2668350636959076,0.26240548491477966,0.26483774185180664,0.22617818415164948,0.20366249978542328,0.26483774185180664,0.1285850554704666,0.29594847559928894
2015,0.0437915064394474,0.04366588220000267,0.1466771513223648,0.11216071993112564,0.21138253808021545,0.1466771513223648,-0.0086481012403965,-0.029954981058835983
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.24371206760406494,0.5352458953857422,0.5934505462646484,0.20098818838596344,0.4130953550338745
