,what,abc,series,originated,as,short,segment,on,love,",",american,style,?
he,0.3114890456199646,0.22597992420196533,0.24320517480373383,0.16904385387897491,0.33787044882774353,0.209392249584198,0.13656319677829742,0.32403138279914856,0.25503915548324585,0.40251094102859497,0.20811866223812103,0.19511350989341736,0.2089974731206894
helped,0.1926339715719223,0.0955943837761879,0.17904339730739594,0.18899524211883545,0.18649764358997345,0.09583819657564163,0.0755845382809639,0.21279196441173553,0.1469561755657196,0.2661169171333313,0.21694104373455048,0.12707556784152985,0.16572049260139465
bring,0.3273051679134369,0.14269956946372986,0.21132852137088776,0.15951871871948242,0.2474443018436432,0.1244559958577156,0.15302057564258575,0.21795320510864258,0.2620101869106293,0.2407366931438446,0.17819389700889587,0.1778687834739685,0.250621497631073
about,0.47976887226104736,0.18492475152015686,0.19678106904029846,0.18540549278259277,0.2989700436592102,0.27152472734451294,0.2034991979598999,0.322975218296051,0.2514466643333435,0.3877100944519043,0.20650030672550201,0.19150160253047943,0.302409827709198
ideas,0.42330971360206604,0.09318821132183075,0.1710817962884903,0.20990154147148132,0.20803202688694,0.165006622672081,0.11637662351131439,0.193235844373703,0.22563114762306213,0.26492518186569214,0.2018522173166275,0.2276732176542282,0.2857283353805542
for,0.3017193675041199,0.22510288655757904,0.2715710699558258,0.20871511101722717,0.44774648547172546,0.2793668806552887,0.12929615378379822,0.36199691891670227,0.21999943256378174,0.4464869201183319,0.2306184321641922,0.24460577964782715,0.264628142118454
many,0.36131182312965393,0.18267793953418732,0.2703429162502289,0.2987937927246094,0.4070141911506653,0.26838254928588867,0.15501120686531067,0.32520127296447754,0.1878507137298584,0.40610817074775696,0.22814549505710602,0.24291467666625977,0.2124512493610382
series,0.17328087985515594,0.38518208265304565,1.0000001192092896,0.1492731273174286,0.2641415596008301,0.166741281747818,0.3001610040664673,0.23828625679016113,0.19286216795444489,0.24060699343681335,0.2417159527540207,0.20548778772354126,0.1709602326154709
including,0.18328791856765747,0.1471431404352188,0.2768470048904419,0.20858921110630035,0.3863891661167145,0.18126368522644043,0.15451648831367493,0.324923574924469,0.13880610466003418,0.4127510190010071,0.23705288767814636,0.20575007796287537,0.1633303165435791
happy,0.2849810719490051,0.1251838207244873,0.11589711904525757,0.07115205377340317,0.18973709642887115,0.16318067908287048,0.13829490542411804,0.2075764685869217,0.36846327781677246,0.2587965726852417,0.19398586452007294,0.15465126931667328,0.27375271916389465
days,0.2191895991563797,0.174025297164917,0.2004431188106537,0.13853225111961365,0.1631270796060562,0.21210217475891113,0.09827090799808502,0.3459240794181824,0.20758400857448578,0.34504905343055725,0.1852516084909439,0.13277961313724518,0.2198754847049713
(,0.2411840260028839,0.183883935213089,0.21145714819431305,0.17331138253211975,0.32029855251312256,0.21569035947322845,0.15112224221229553,0.28656116127967834,0.1569405049085617,0.6363511681556702,0.3044136166572571,0.1627875566482544,0.40561532974243164
which,0.5261979103088379,0.1991286277770996,0.2484029233455658,0.3230568468570709,0.41006597876548767,0.3371328115463257,0.3681495785713196,0.4245251417160034,0.21517449617385864,0.3658004403114319,0.16603466868400574,0.25577741861343384,0.25814583897590637
