,what,are,plastoglobuli,made,of,?
plastoglobuli,0.21423041820526123,0.39545711874961853,0.9999999403953552,0.2604501247406006,0.3235050141811371,0.205425426363945
(,0.2411840260028839,0.23263892531394958,0.23828886449337006,0.20796485245227814,0.35032153129577637,0.40561532974243164
singular,0.2832280993461609,0.31954002380371094,0.34887731075286865,0.19991998374462128,0.25296831130981445,0.17302146553993225
plastoglobulus,0.21077363193035126,0.32217612862586975,0.9273571968078613,0.24167722463607788,0.32066255807876587,0.1813764125108719
",",0.3087472915649414,0.4062570035457611,0.2822408080101013,0.32507219910621643,0.4946078956127167,0.31091248989105225
sometimes,0.34229418635368347,0.47411349415779114,0.2670368552207947,0.24380655586719513,0.296434611082077,0.1751544177532196
spelled,0.15883488953113556,0.13192860782146454,0.15817604959011078,0.1479843705892563,0.1807994693517685,0.13924984633922577
plastoglobule,0.21103323996067047,0.3753983974456787,0.9682641625404358,0.2580604553222656,0.31730327010154724,0.21403087675571442
(,0.2411840260028839,0.23263892531394958,0.23828886449337006,0.20796485245227814,0.35032153129577637,0.40561532974243164
s,0.3634900748729706,0.18007658421993256,0.1408490687608719,0.24103191494941711,0.42263656854629517,0.25130221247673035
),0.26259949803352356,0.2373749315738678,0.22788865864276886,0.22539687156677246,0.3680361211299896,0.42300865054130554
),0.26259949803352356,0.2373749315738678,0.22788865864276886,0.22539687156677246,0.3680361211299896,0.42300865054130554
",",0.3087472915649414,0.4062570035457611,0.2822408080101013,0.32507219910621643,0.4946078956127167,0.31091248989105225
are,0.29724663496017456,1.0,0.39545711874961853,0.2941095530986786,0.39081433415412903,0.24591213464736938
spherical,0.1481882929801941,0.24994061887264252,0.4400584399700165,0.22267930209636688,0.2514652609825134,0.0753602683544159
bubbles,0.1626332700252533,0.22877022624015808,0.36224478483200073,0.21891333162784576,0.18503032624721527,0.1478032022714615
of,0.33290785551071167,0.39081433415412903,0.3235050141811371,0.33167365193367004,1.0,0.1826142966747284
lipids,0.16069070994853973,0.4149616062641144,0.6103792786598206,0.22222931683063507,0.2722941040992737,0.2055819183588028
and,0.31309178471565247,0.48576638102531433,0.2619543969631195,0.34954607486724854,0.5116966962814331,0.20544172823429108
proteins,0.21361225843429565,0.3328206241130829,0.6427497863769531,0.2433488368988037,0.2195783406496048,0.18469302356243134
about,0.47976887226104736,0.36165615916252136,0.20389510691165924,0.28390374779701233,0.40939709544181824,0.302409827709198
45–60,-0.08327319473028183,0.03181203454732895,0.06706543266773224,-0.06082246080040932,-0.04121691361069679,-0.05720561370253563
nanometers,0.2759547531604767,0.34647881984710693,0.5555122494697571,0.22528380155563354,0.2206500917673111,0.18336744606494904
across,0.24809791147708893,0.24150612950325012,0.21358826756477356,0.1796199232339859,0.2936134934425354,0.17034576833248138
.,0.3567904531955719,0.3452940285205841,0.31105032563209534,0.4032190144062042,0.5352458953857422,0.4130953550338745
