,what,is,the,nickname,of,the,female,master,?
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3114950358867645,0.3886612355709076,0.48381632566452026,0.19753755629062653,0.2009018212556839,0.27043893933296204
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.19932328164577484,1.0,0.733189046382904,0.26416701078414917,0.17072871327400208,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.20167101919651031,0.733189046382904,1.0,0.2673940658569336,0.19769129157066345,0.22068053483963013
2014,0.041483160108327866,0.16745887696743011,0.059490643441677094,0.15741710364818573,0.0493064783513546,0.059490643441677094,0.20340338349342346,0.06846979260444641,0.058127544820308685
episode,0.1919318586587906,0.1346389800310135,0.25342556834220886,0.14622466266155243,0.17369085550308228,0.25342556834220886,0.0989103689789772,0.15201608836650848,0.23978739976882935
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.029698669910430908,0.06780257821083069,0.029072100296616554,0.04223295673727989,-0.03940471634268761,0.0685480609536171
dark,0.2004920244216919,0.20557492971420288,0.26231685280799866,0.10892349481582642,0.2121540606021881,0.26231685280799866,0.20719346404075623,0.22160649299621582,0.1327134519815445
water,0.17456887662410736,0.2879090905189514,0.297396719455719,0.12583695352077484,0.2741255462169647,0.297396719455719,0.14109234511852264,0.13267381489276886,0.14731885492801666
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.1957998126745224,0.4946078956127167,0.4933079481124878,0.1907428652048111,0.21451058983802795,0.31091248989105225
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.010328101925551891,0.13035868108272552,0.041273195296525955,-0.11419994384050369,0.01090412586927414,0.018684765323996544
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.13665343821048737,0.38761502504348755,0.6251175999641418,0.14868448674678802,0.1479784995317459,0.25732165575027466
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.23231683671474457,0.4069072902202606,0.48711544275283813,0.17758683860301971,0.20155122876167297,0.18412111699581146
revealed,0.20127414166927338,0.20810064673423767,0.3230765759944916,0.1179448813199997,0.2616097331047058,0.3230765759944916,0.13312922418117523,0.1707836091518402,0.21034270524978638
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.14292171597480774,0.41498205065727234,0.5473989248275757,0.15729916095733643,0.20576514303684235,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.20167101919651031,0.733189046382904,1.0,0.2673940658569336,0.19769129157066345,0.22068053483963013
master,0.16430073976516724,0.16117574274539948,0.19769129157066345,0.14965443313121796,0.17072871327400208,0.19769129157066345,0.16361553966999054,0.9999999403953552,0.11915034055709839
had,0.23849567770957947,0.2932159900665283,0.3875846862792969,0.20424678921699524,0.37755560874938965,0.3875846862792969,0.14103859663009644,0.18959391117095947,0.20728366076946259
become,0.27134042978286743,0.2983444035053253,0.31731709837913513,0.17363016307353973,0.31678006052970886,0.31731709837913513,0.24915876984596252,0.16361135244369507,0.19511328637599945
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26108431816101074,0.5052502155303955,0.5829201340675354,0.22815600037574768,0.2078990340232849,0.23916715383529663
female,0.14235767722129822,0.19344212114810944,0.2673940658569336,0.18473698198795319,0.26416701078414917,0.2673940658569336,0.9999999403953552,0.16361553966999054,0.17839525640010834
incarnation,0.2737259864807129,0.3046400249004364,0.3089248239994049,0.14289069175720215,0.28596875071525574,0.3089248239994049,0.19489139318466187,0.3219037353992462,0.20495687425136566
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.1458732932806015,0.3792596757411957,0.4174870550632477,0.2507794201374054,0.18527424335479736,0.32389625906944275
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.029698669910430908,0.06780257821083069,0.029072100296616554,0.04223295673727989,-0.03940471634268761,0.0685480609536171
