,capital,city,and,abc,sold,the,wxyz-tv,and,wfts-tv,stations,to,what,company,?
due,0.11148549616336823,0.1607709527015686,0.3082410395145416,0.13995635509490967,0.1905742883682251,0.22577603161334991,0.22428853809833527,0.3082410395145416,0.23783375322818756,0.160149946808815,0.35188060998916626,0.15204688906669617,0.09378247708082199,0.10954997688531876
to,0.1844596415758133,0.20300441980361938,0.48971283435821533,0.1762417107820511,0.17380841076374054,0.535392165184021,0.26906871795654297,0.48971283435821533,0.2680938243865967,0.21700026094913483,1.0,0.455847829580307,0.24903783202171326,0.29463258385658264
an,0.15392880141735077,0.17270074784755707,0.2838519215583801,0.16561369597911835,0.10015857964754105,0.4207492768764496,0.2865276336669922,0.2838519215583801,0.2018802911043167,0.14880572259426117,0.3138085603713989,0.2821882665157318,0.13791987299919128,0.19793890416622162
fcc,0.16508400440216064,0.15507261455059052,0.22326773405075073,0.27474352717399597,0.2097293585538864,0.24932202696800232,0.37332600355148315,0.22326773405075073,0.37457749247550964,0.3792693614959717,0.24543172121047974,0.2598995566368103,0.3467300236225128,0.1708466112613678
ban,0.10584933310747147,0.0982806384563446,0.15939861536026,0.141238272190094,0.10020491480827332,0.1830999106168747,0.19401392340660095,0.15939861536026,0.16685737669467926,0.1876770406961441,0.26575782895088196,0.2884827256202698,0.08418712764978409,0.29495060443878174
on,0.15679915249347687,0.2549738585948944,0.4077630043029785,0.2862928807735443,0.22673599421977997,0.5107308030128479,0.3369586169719696,0.4077630043029785,0.33236733078956604,0.3269573450088501,0.41031414270401,0.34226128458976746,0.23664942383766174,0.2714994251728058
same-market,0.2379678636789322,0.2877776324748993,0.25759637355804443,0.21287810802459717,0.4376145005226135,0.2574786841869354,0.2590274214744568,0.25759637355804443,0.32397571206092834,0.3483293950557709,0.20307567715644836,0.1694914847612381,0.41433730721473694,0.17624428868293762
ownership,0.13992585241794586,0.1292829066514969,0.246654212474823,0.1954909712076187,0.3476274311542511,0.261578768491745,0.2740224599838257,0.246654212474823,0.28956708312034607,0.24872349202632904,0.2847251296043396,0.2581227421760559,0.39671725034713745,0.19719240069389343
of,0.30823585391044617,0.32503411173820496,0.5116966962814331,0.14607268571853638,0.2036660611629486,0.733189046382904,0.2580493986606598,0.5116966962814331,0.29553407430648804,0.20414425432682037,0.41548454761505127,0.33290785551071167,0.20467796921730042,0.1826142966747284
television,0.17207099497318268,0.27080798149108887,0.29514092206954956,0.46871840953826904,0.24337780475616455,0.24569597840309143,0.5933881402015686,0.29514092206954956,0.6017938256263733,0.3494590222835541,0.1933557242155075,0.19838058948516846,0.25623777508735657,0.16825827956199646
