,what,gained,ground,when,arab,nationalism,suffered,?
ba'athism,0.31016552448272705,0.17756387591362,0.23078398406505585,0.22180694341659546,0.2242208570241928,0.5307209491729736,0.2224736213684082,0.23349297046661377
",",0.3087472915649414,0.24670249223709106,0.22859713435173035,0.36674630641937256,0.21227021515369415,0.20392820239067078,0.24693666398525238,0.31091248989105225
arab,0.14742176234722137,0.18643994629383087,0.19336839020252228,0.16604845225811005,1.0,0.38702815771102905,0.13166044652462006,0.18450474739074707
socialism,0.2854035496711731,0.23871295154094696,0.12497929483652115,0.1838272362947464,0.30224987864494324,0.7484275102615356,0.18289591372013092,0.17150560021400452
",",0.3087472915649414,0.24670249223709106,0.22859713435173035,0.36674630641937256,0.21227021515369415,0.20392820239067078,0.24693666398525238,0.31091248989105225
and,0.31309178471565247,0.2992778718471527,0.25497177243232727,0.4716290831565857,0.25018808245658875,0.20760926604270935,0.17773643136024475,0.20544172823429108
arab,0.14742176234722137,0.18643994629383087,0.19336839020252228,0.16604845225811005,1.0,0.38702815771102905,0.13166044652462006,0.18450474739074707
nationalism,0.25555992126464844,0.29293400049209595,0.12836459279060364,0.16583633422851562,0.38702815771102905,1.0,0.17886322736740112,0.1636960208415985
suffered,0.13741295039653778,0.34029215574264526,0.16971714794635773,0.20446106791496277,0.13166044652462006,0.17886322736740112,1.0000001192092896,0.08963493257761002
",",0.3087472915649414,0.24670249223709106,0.22859713435173035,0.36674630641937256,0.21227021515369415,0.20392820239067078,0.24693666398525238,0.31091248989105225
and,0.31309178471565247,0.2992778718471527,0.25497177243232727,0.4716290831565857,0.25018808245658875,0.20760926604270935,0.17773643136024475,0.20544172823429108
different,0.39262300729751587,0.11756470054388046,0.22180016338825226,0.3098631203174591,0.1781863272190094,0.19706608355045319,0.13802069425582886,0.24476227164268494
democratic,0.1858556717634201,0.23246166110038757,0.10556650161743164,0.19527050852775574,0.28301432728767395,0.4280105233192444,0.1661967635154724,0.1668088138103485
and,0.31309178471565247,0.2992778718471527,0.25497177243232727,0.4716290831565857,0.25018808245658875,0.20760926604270935,0.17773643136024475,0.20544172823429108
anti-democratic,0.20198968052864075,0.2654344439506531,0.11630957573652267,0.23475225269794464,0.29593098163604736,0.44825685024261475,0.21644383668899536,0.16729329526424408
islamist,0.17762082815170288,0.1699238121509552,0.2238696813583374,0.17608045041561127,0.540734052658081,0.4544369876384735,0.21115033328533173,0.14697067439556122
movements,0.23197974264621735,0.17840604484081268,0.1525380164384842,0.2588503658771515,0.2451227307319641,0.39177191257476807,0.1696188598871231,0.1501890867948532
inspired,0.18111269176006317,0.2640286982059479,0.10658351331949234,0.171225905418396,0.2954506576061249,0.3518083989620209,0.24652688205242157,0.1529090851545334
by,0.2455483376979828,0.22216583788394928,0.18657466769218445,0.4376842677593231,0.18655696511268616,0.21825729310512543,0.16633521020412445,0.17966607213020325
maududi,0.19404585659503937,0.22951212525367737,0.19128328561782837,0.23236867785453796,0.3849685788154602,0.30175429582595825,0.24470198154449463,0.2149532437324524
and,0.31309178471565247,0.2992778718471527,0.25497177243232727,0.4716290831565857,0.25018808245658875,0.20760926604270935,0.17773643136024475,0.20544172823429108
sayyid,0.2581807076931,0.17241741716861725,0.09501397609710693,0.2097199410200119,0.43529149889945984,0.3399222493171692,0.24026155471801758,0.2468435913324356
qutb,0.2122718095779419,0.1593574732542038,0.18101388216018677,0.2141781747341156,0.4586431682109833,0.38189899921417236,0.28121113777160645,0.18769441545009613
gained,0.15457381308078766,1.0,0.18315115571022034,0.2222561240196228,0.18643994629383087,0.29293400049209595,0.34029215574264526,0.11261032521724701
ground,0.20688746869564056,0.18315115571022034,1.0,0.2714887857437134,0.19336839020252228,0.12836459279060364,0.16971714794635773,0.11401822417974472
.,0.3567904531955719,0.21744301915168762,0.23109398782253265,0.475719153881073,0.22325089573860168,0.20213139057159424,0.14637410640716553,0.4130953550338745
