,what,is,the,obligation,of,a,pharmacy,filling,a,prescription,?
the,0.42745697498321533,0.5823672413825989,1.0,0.26524704694747925,0.733189046382904,0.5829201340675354,0.1938311904668808,0.27447065711021423,0.5829201340675354,0.1905282735824585,0.22068053483963013
filling,0.2489190697669983,0.22023674845695496,0.27447065711021423,0.21103329956531525,0.23377564549446106,0.2753012478351593,0.19803081452846527,1.0,0.2753012478351593,0.23881453275680542,0.21185900270938873
pharmacy,0.21638189256191254,0.16101746261119843,0.1938311904668808,0.17757819592952728,0.18226979672908783,0.21975059807300568,1.0,0.19803081452846527,0.21975059807300568,0.5077288746833801,0.1355620175600052
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.18621982634067535,0.3909035325050354,0.4670248031616211,0.14217540621757507,0.25846150517463684,0.4670248031616211,0.10278894007205963,0.15994466841220856
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2829820513725281,0.5052502155303955,1.0,0.21975059807300568,0.2753012478351593,1.0,0.2770058512687683,0.23916715383529663
corresponding,0.2633531987667084,0.32080236077308655,0.3826132118701935,0.2668549418449402,0.3214208483695984,0.28352054953575134,0.1377382129430771,0.247809499502182,0.28352054953575134,0.18954357504844666,0.21760094165802002
responsibility,0.3360894024372101,0.187485933303833,0.3036732077598572,0.44185635447502136,0.28464245796203613,0.22730666399002075,0.1812942773103714,0.09250500053167343,0.22730666399002075,0.25858592987060547,0.20907385647296906
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3156823515892029,0.41548454761505127,0.45503583550453186,0.1824638396501541,0.23072952032089233,0.45503583550453186,0.29442161321640015,0.29463258385658264
ensure,0.328641802072525,0.23937878012657166,0.2955571711063385,0.43860000371932983,0.20923924446105957,0.19042222201824188,0.18066592514514923,0.25211113691329956,0.19042222201824188,0.32595914602279663,0.24192948639392853
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3622134327888489,0.41498205065727234,0.47537946701049805,0.2027333825826645,0.2741064429283142,0.47537946701049805,0.2649725079536438,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.26524704694747925,0.733189046382904,0.5829201340675354,0.1938311904668808,0.27447065711021423,0.5829201340675354,0.1905282735824585,0.22068053483963013
prescription,0.2773992717266083,0.1873171031475067,0.1905282735824585,0.33896318078041077,0.22264151275157928,0.2770058512687683,0.5077288746833801,0.23881453275680542,0.2770058512687683,1.0000001192092896,0.1977909505367279
is,0.28837618231773376,1.0,0.5823672413825989,0.24681009352207184,0.4854315221309662,0.658733606338501,0.16101746261119843,0.22023674845695496,0.658733606338501,0.1873171031475067,0.22961433231830597
valid,0.30313223600387573,0.21916444599628448,0.22185127437114716,0.30722692608833313,0.2542297840118408,0.24365109205245972,0.1834583878517151,0.16538898646831512,0.24365109205245972,0.33520302176475525,0.27800852060317993
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18582038581371307,0.5352458953857422,0.50484299659729,0.23916830122470856,0.24524478614330292,0.50484299659729,0.22900983691215515,0.4130953550338745
,what,is,the,obligation,of,a,pharmacy,filling,a,prescription,?
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,0.03776833415031433,0.010817250236868858,0.03893941268324852,-0.01173520740121603,0.0957183688879013,0.03893941268324852,0.03212975338101387,0.011015460826456547
citation,0.26448965072631836,0.20686984062194824,0.2536581754684448,0.2848237454891205,0.22959956526756287,0.24621744453907013,0.1062878668308258,0.2997993230819702,0.24621744453907013,0.30565759539604187,0.3382055461406708
needed,0.3631289601325989,0.21605761349201202,0.3064746856689453,0.3367771804332733,0.27215874195098877,0.2915569543838501,0.23950204253196716,0.26184242963790894,0.2915569543838501,0.3513709008693695,0.2863257825374603
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,-0.0902763232588768,-0.035044461488723755,-0.049516137689352036,0.020310835912823677,-0.06487370282411575,-0.049516137689352036,-0.020173288881778717,-0.0022520492784678936
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.173257976770401,0.5696388483047485,0.539380669593811,0.22082467377185822,0.22820748388767242,0.539380669593811,0.173431396484375,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.26524704694747925,0.733189046382904,0.5829201340675354,0.1938311904668808,0.27447065711021423,0.5829201340675354,0.1905282735824585,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.20021025836467743,0.3187655806541443,0.2732578217983246,0.2404385805130005,0.13521035015583038,0.2732578217983246,0.21997572481632233,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.23636773228645325,0.30884552001953125,0.24708621203899384,0.21714666485786438,0.15473875403404236,0.24708621203899384,0.23933365941047668,0.16272737085819244
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.1919998973608017,0.4946078956127167,0.427140474319458,0.19815339148044586,0.25904563069343567,0.427140474319458,0.20243588089942932,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.173257976770401,0.5696388483047485,0.539380669593811,0.22082467377185822,0.22820748388767242,0.539380669593811,0.173431396484375,0.20430970191955566
order,0.16634008288383484,0.19403748214244843,0.3284194767475128,0.3723190724849701,0.31287699937820435,0.24138490855693817,0.08760157972574234,0.15571066737174988,0.24138490855693817,0.23195110261440277,0.13725648820400238
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2916611135005951,0.4185989499092102,0.44038116931915283,0.1657865047454834,0.23382747173309326,0.44038116931915283,0.23479855060577393,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2829820513725281,0.5052502155303955,1.0,0.21975059807300568,0.2753012478351593,1.0,0.2770058512687683,0.23916715383529663
prescription,0.2773992717266083,0.1873171031475067,0.1905282735824585,0.33896318078041077,0.22264151275157928,0.2770058512687683,0.5077288746833801,0.23881453275680542,0.2770058512687683,1.0000001192092896,0.1977909505367279
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2916611135005951,0.4185989499092102,0.44038116931915283,0.1657865047454834,0.23382747173309326,0.44038116931915283,0.23479855060577393,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2829820513725281,0.5052502155303955,1.0,0.21975059807300568,0.2753012478351593,1.0,0.2770058512687683,0.23916715383529663
controlled,0.24713590741157532,0.20672085881233215,0.3320712745189667,0.14863045513629913,0.2840180993080139,0.22610771656036377,0.2255549281835556,0.11757545173168182,0.22610771656036377,0.2344895899295807,0.1105743944644928
substance,0.2803279459476471,0.307191401720047,0.27041906118392944,0.29031914472579956,0.23127788305282593,0.3087996542453766,0.31700465083122253,0.2980670928955078,0.3087996542453766,0.4286312758922577,0.2033585160970688
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3156823515892029,0.41548454761505127,0.45503583550453186,0.1824638396501541,0.23072952032089233,0.45503583550453186,0.29442161321640015,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.3195410370826721,0.33904364705085754,0.39883795380592346,0.16073517501354218,0.30850866436958313,0.39883795380592346,0.2915494441986084,0.3324260413646698
valid,0.30313223600387573,0.21916444599628448,0.22185127437114716,0.30722692608833313,0.2542297840118408,0.24365109205245972,0.1834583878517151,0.16538898646831512,0.24365109205245972,0.33520302176475525,0.27800852060317993
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.1919998973608017,0.4946078956127167,0.427140474319458,0.19815339148044586,0.25904563069343567,0.427140474319458,0.20243588089942932,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.21298052370548248,0.38761502504348755,0.5452592968940735,0.2501712739467621,0.22820252180099487,0.5452592968940735,0.280383825302124,0.25732165575027466
must,0.30362528562545776,0.3093329071998596,0.2713140547275543,0.3804081380367279,0.24322323501110077,0.3016769587993622,0.1627485603094101,0.2716275453567505,0.3016769587993622,0.27225834131240845,0.23707495629787445
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.3195410370826721,0.33904364705085754,0.39883795380592346,0.16073517501354218,0.30850866436958313,0.39883795380592346,0.2915494441986084,0.3324260413646698
issued,0.18988175690174103,0.13596922159194946,0.22837360203266144,0.21273775398731232,0.2873246371746063,0.2503507733345032,0.13229212164878845,0.10829650610685349,0.2503507733345032,0.2364320456981659,0.169851616024971
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2916611135005951,0.4185989499092102,0.44038116931915283,0.1657865047454834,0.23382747173309326,0.44038116931915283,0.23479855060577393,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2829820513725281,0.5052502155303955,1.0,0.21975059807300568,0.2753012478351593,1.0,0.2770058512687683,0.23916715383529663
legitimate,0.3080519735813141,0.16789257526397705,0.23253867030143738,0.34376710653305054,0.2887045741081238,0.20584626495838165,0.1747986227273941,0.10403609275817871,0.20584626495838165,0.29882803559303284,0.28191015124320984
medical,0.2389855533838272,0.22198186814785004,0.2398311346769333,0.2359333634376526,0.2826511859893799,0.20945803821086884,0.44354331493377686,0.14823585748672485,0.20945803821086884,0.48845991492271423,0.13234087824821472
