,what,type,of,delta,is,the,rhine-meuse,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22022446990013123,0.5823672413825989,1.0,0.3420952260494232,0.22068053483963013
rhine-meuse,0.20504072308540344,0.1745697408914566,0.26928308606147766,0.24112568795681,0.2187524288892746,0.3420952260494232,1.0000001192092896,0.23498749732971191
delta,0.11423289775848389,0.18557105958461761,0.20736707746982574,1.0000001192092896,0.22409643232822418,0.22022446990013123,0.24112568795681,0.14208948612213135
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.22409643232822418,1.0,0.5823672413825989,0.2187524288892746,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.20749913156032562,0.658733606338501,0.5829201340675354,0.20099006593227386,0.23916715383529663
tidal,0.1302003264427185,0.08495744317770004,0.19207261502742767,0.24602138996124268,0.20266075432300568,0.24193012714385986,0.2090233862400055,0.10142207890748978
delta,0.11423289775848389,0.18557105958461761,0.20736707746982574,1.0000001192092896,0.22409643232822418,0.22022446990013123,0.24112568795681,0.14208948612213135
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2192559540271759,0.4691906273365021,0.4933079481124878,0.2238120585680008,0.31091248989105225
shaped,0.19420893490314484,0.2820638418197632,0.24333637952804565,0.20964102447032928,0.21619100868701935,0.2863692045211792,0.20249132812023163,0.11317497491836548
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.10750642418861389,0.3776007890701294,0.4310511648654938,0.24587395787239075,0.41942933201789856
only,0.41415658593177795,0.24842338263988495,0.49632513523101807,0.2036897987127304,0.44708555936813354,0.5497692227363586,0.22714287042617798,0.2767370045185089
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.10674521327018738,0.3899846076965332,0.4408751428127289,0.2098103016614914,0.17966607213020325
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22022446990013123,0.5823672413825989,1.0,0.3420952260494232,0.22068053483963013
sedimentation,0.22759993374347687,0.25679218769073486,0.2614911198616028,0.16993360221385956,0.22898200154304504,0.2617757022380829,0.24076727032661438,0.17398139834403992
of,0.33290785551071167,0.18112817406654358,1.0,0.20736707746982574,0.4854315221309662,0.733189046382904,0.26928308606147766,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22022446990013123,0.5823672413825989,1.0,0.3420952260494232,0.22068053483963013
rivers,0.14092835783958435,0.11346316337585449,0.2839193344116211,0.34175604581832886,0.23340918123722076,0.25597620010375977,0.3201974332332611,0.15866327285766602
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2192559540271759,0.4691906273365021,0.4933079481124878,0.2238120585680008,0.31091248989105225
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.14014410972595215,0.4106791317462921,0.4859698414802551,0.24025675654411316,0.27921953797340393
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.17184317111968994,0.5012649297714233,0.6021018624305725,0.15579167008399963,0.21848613023757935
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.10674521327018738,0.3899846076965332,0.4408751428127289,0.2098103016614914,0.17966607213020325
tidal,0.1302003264427185,0.08495744317770004,0.19207261502742767,0.24602138996124268,0.20266075432300568,0.24193012714385986,0.2090233862400055,0.10142207890748978
currents,0.2076863795518875,0.15507087111473083,0.2825077772140503,0.2898257076740265,0.2750720977783203,0.30279916524887085,0.1920059621334076,0.07452256232500076
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.20923152565956116,0.4569662809371948,0.5934505462646484,0.2645522654056549,0.4130953550338745
