,what,did,stiglitz,present,in,2009,regarding,global,inequality,?
economist,0.16227665543556213,0.15209758281707764,0.39028096199035645,0.04415301978588104,0.15501753985881805,-0.2674175798892975,0.18811962008476257,0.2942650020122528,0.2923416793346405,0.15311987698078156
joseph,0.20494906604290009,0.19009922444820404,0.3917814791202545,0.07992208749055862,0.12985283136367798,-0.15634751319885254,0.15624262392520905,0.07498302310705185,0.13337670266628265,0.08421234786510468
stiglitz,0.1559118777513504,0.18426084518432617,1.0,0.17380082607269287,0.3086618483066559,-0.3005980849266052,0.2419118583202362,0.11682254821062088,0.23402458429336548,0.18573977053165436
presented,0.23381416499614716,0.24108581244945526,0.2346719205379486,0.43257102370262146,0.3047972023487091,-0.14839869737625122,0.27595192193984985,0.12773501873016357,0.221409872174263,0.17025142908096313
evidence,0.33425694704055786,0.24616770446300507,0.1420980840921402,0.25350290536880493,0.16157563030719757,-0.22911876440048218,0.3676120340824127,0.19061657786369324,0.2529197633266449,0.24151235818862915
in,0.30808621644973755,0.2593238651752472,0.3086618483066559,0.23905439674854279,1.0,-0.28531888127326965,0.2634240984916687,0.10151144117116928,0.19402410089969635,0.20430970191955566
2009,-0.2519478499889374,-0.20252078771591187,-0.3005980849266052,-0.2056826800107956,-0.28531888127326965,1.0,-0.21225348114967346,-0.18585902452468872,-0.23755811154842377,-0.2287932187318802
that,0.6297725439071655,0.47518548369407654,0.16364243626594543,0.25174012780189514,0.435920387506485,-0.29959365725517273,0.40174636244773865,0.2591727674007416,0.3467824459075928,0.32716336846351624
both,0.3361809551715851,0.34255191683769226,0.1869007647037506,0.2092440128326416,0.3960166871547699,-0.22249606251716614,0.31696462631225586,0.21567098796367645,0.3171062171459198,0.19455738365650177
global,0.21706031262874603,0.1409793198108673,0.11682254821062088,0.11593535542488098,0.10151144117116928,-0.18585902452468872,0.22884689271450043,0.9999999403953552,0.3049941062927246,0.22985349595546722
inequality,0.30072227120399475,0.2228473722934723,0.23402458429336548,0.16630123555660248,0.19402410089969635,-0.23755811154842377,0.3931083381175995,0.3049941062927246,1.0000001192092896,0.23619021475315094
and,0.31309178471565247,0.34479495882987976,0.33113226294517517,0.2790124714374542,0.4954058527946472,-0.22857710719108582,0.3182925879955292,0.22193439304828644,0.2590520679950714,0.20544172823429108
inequality,0.30072227120399475,0.2228473722934723,0.23402458429336548,0.16630123555660248,0.19402410089969635,-0.23755811154842377,0.3931083381175995,0.3049941062927246,1.0000001192092896,0.23619021475315094
within,0.2498195916414261,0.15734176337718964,0.14649108052253723,0.2670109272003174,0.40576374530792236,-0.21729055047035217,0.2776240110397339,0.13818392157554626,0.1734551042318344,0.1870293766260147
countries,0.22319257259368896,0.2888847887516022,0.16183561086654663,0.126310333609581,0.3027990758419037,-0.2575607895851135,0.1903999000787735,0.26850956678390503,0.2820434868335724,0.15128466486930847
prevent,0.2723881006240845,0.20838871598243713,0.11706387251615524,0.11338087171316147,0.14883868396282196,-0.20330238342285156,0.33187568187713623,0.19932246208190918,0.20718978345394135,0.2547389566898346
growth,0.1739405393600464,0.09287795424461365,0.20162443816661835,0.21111668646335602,0.2819603681564331,-0.18552164733409882,0.21865515410900116,0.23121152818202972,0.3248327970504761,0.07547862827777863
by,0.2455483376979828,0.18574509024620056,0.32672441005706787,0.15190309286117554,0.370934396982193,-0.11576332151889801,0.22009238600730896,0.16183742880821228,0.17648567259311676,0.17966607213020325
limiting,0.3207782506942749,0.20344875752925873,0.131977379322052,0.17092084884643555,0.25088727474212646,-0.29258567094802856,0.4113641381263733,0.3167915642261505,0.42299407720565796,0.20652958750724792
aggregate,0.12772192060947418,0.14480982720851898,0.16066530346870422,0.08935230225324631,0.20979849994182587,-0.1888086050748825,0.26726043224334717,0.2553556561470032,0.29351475834846497,0.1372452974319458
demand,0.2007312774658203,0.26737719774246216,0.1610049605369568,0.17474201321601868,0.22946900129318237,-0.2070559859275818,0.33458349108695984,0.24596980214118958,0.3875901401042938,0.13359291851520538
.,0.3567904531955719,0.35288307070732117,0.3410353362560272,0.23765113949775696,0.5591574311256409,-0.3028804063796997,0.27343305945396423,0.23260977864265442,0.22563500702381134,0.4130953550338745
