,who,mapped,the,st.,johns,river,in,1562,?
french,0.2756427824497223,0.0671549066901207,0.2555147111415863,0.16073863208293915,0.13332566618919373,0.14718952775001526,0.22093388438224792,-0.01984040066599846,0.1386883556842804
huguenot,0.32233482599258423,0.053739067167043686,0.29557526111602783,0.23369340598583221,0.1976366639137268,0.16873754560947418,0.26198551058769226,-0.0031273679342120886,0.1359742432832718
explorer,0.26653024554252625,0.4453735947608948,0.20096634328365326,0.09485676884651184,0.10394790768623352,0.2022099792957306,0.13481579720973969,0.046959031373262405,0.09433247148990631
jean,0.20390325784683228,0.11613141000270844,0.2186683863401413,0.20191504061222076,0.13426722586154938,0.12004947662353516,0.19998259842395782,0.056878551840782166,0.1531364470720291
ribault,0.27235767245292664,0.15007905662059784,0.2843990921974182,0.3135490119457245,0.25639158487319946,0.24427247047424316,0.23977957665920258,0.11886440962553024,0.18847298622131348
charted,0.19334740936756134,0.29346325993537903,0.24768312275409698,0.10405179858207703,0.18294855952262878,0.15752363204956055,0.22869278490543365,0.011630741879343987,0.17074079811573029
the,0.3733934462070465,0.2484939992427826,1.0,0.18141359090805054,0.22800521552562714,0.2894456386566162,0.6662389636039734,0.06752016395330429,0.22068053483963013
st.,0.2827952206134796,0.015018542297184467,0.18141359090805054,1.0000001192092896,0.21602334082126617,0.13863743841648102,0.15931649506092072,0.0035301512107253075,0.13592876493930817
johns,0.18587608635425568,0.15543951094150543,0.22800521552562714,0.21602334082126617,1.0000001192092896,0.28212618827819824,0.22965338826179504,0.1809297800064087,0.20295952260494232
river,0.15295234322547913,0.1657397747039795,0.2894456386566162,0.13863743841648102,0.28212618827819824,0.9999999403953552,0.2149806171655655,0.157352477312088,0.15390869975090027
in,0.2792111933231354,0.21031403541564941,0.6662389636039734,0.15931649506092072,0.22965338826179504,0.2149806171655655,1.0,0.0846833735704422,0.20430970191955566
1562,0.06424152106046677,0.10241953283548355,0.06752016395330429,0.0035301512107253075,0.1809297800064087,0.157352477312088,0.0846833735704422,1.0,0.018519774079322815
calling,0.3120594024658203,0.16371822357177734,0.23722994327545166,0.09986885637044907,0.11126518249511719,0.08128828555345535,0.15588504076004028,0.014913185499608517,0.23612231016159058
it,0.2868398427963257,0.2173398733139038,0.6251175999641418,0.11486785858869553,0.2562580704689026,0.24976809322834015,0.5130809545516968,0.059714462608098984,0.25732165575027466
the,0.3733934462070465,0.2484939992427826,1.0,0.18141359090805054,0.22800521552562714,0.2894456386566162,0.6662389636039734,0.06752016395330429,0.22068053483963013
river,0.15295234322547913,0.1657397747039795,0.2894456386566162,0.13863743841648102,0.28212618827819824,0.9999999403953552,0.2149806171655655,0.157352477312088,0.15390869975090027
of,0.2827862501144409,0.25160151720046997,0.733189046382904,0.19887582957744598,0.22625818848609924,0.19903257489204407,0.5696388483047485,0.13883134722709656,0.1826142966747284
may,0.23082798719406128,0.16110102832317352,0.2694292366504669,0.13692975044250488,0.14570190012454987,0.09515556693077087,0.3424151837825775,-0.02599344588816166,0.2768254578113556
because,0.4398062229156494,0.21456307172775269,0.44596394896507263,0.14923422038555145,0.1480085253715515,0.14194895327091217,0.37423941493034363,-0.01202431507408619,0.2528740465641022
he,0.5500732064247131,0.17597819864749908,0.4571082592010498,0.22406452894210815,0.27661389112472534,0.18389761447906494,0.41690486669540405,0.1499289870262146,0.2089974731206894
discovered,0.2225436121225357,0.4245980679988861,0.27493247389793396,0.17744623124599457,0.18272119760513306,0.12460961937904358,0.2801778018474579,0.09187865257263184,0.08452875912189484
it,0.2868398427963257,0.2173398733139038,0.6251175999641418,0.11486785858869553,0.2562580704689026,0.24976809322834015,0.5130809545516968,0.059714462608098984,0.25732165575027466
in,0.2792111933231354,0.21031403541564941,0.6662389636039734,0.15931649506092072,0.22965338826179504,0.2149806171655655,1.0,0.0846833735704422,0.20430970191955566
may,0.23082798719406128,0.16110102832317352,0.2694292366504669,0.13692975044250488,0.14570190012454987,0.09515556693077087,0.3424151837825775,-0.02599344588816166,0.2768254578113556
.,0.3541337847709656,0.2652280330657959,0.5934505462646484,0.2214197814464569,0.3298236131668091,0.21443960070610046,0.5591574311256409,0.09197311103343964,0.4130953550338745
