,what,are,one,of,the,key,cell,types,of,the,adaptive,immune,system,?
dendritic,0.21291865408420563,0.26048845052719116,0.16408546268939972,0.21598482131958008,0.22784094512462616,0.2629546523094177,0.48950979113578796,0.318510502576828,0.21598482131958008,0.22784094512462616,0.4448270797729492,0.518836498260498,0.3510870039463043,0.16278338432312012
cells,0.1758001297712326,0.2908284366130829,0.19492670893669128,0.21305565536022186,0.19095487892627716,0.2051321566104889,0.7729857563972473,0.30914390087127686,0.21305565536022186,0.19095487892627716,0.3719173073768616,0.5300963521003723,0.29856014251708984,0.1898086667060852
serve,0.23061832785606384,0.28864505887031555,0.2658191919326782,0.2656401991844177,0.2749462425708771,0.16873736679553986,0.13721424341201782,0.17542894184589386,0.2656401991844177,0.2749462425708771,0.21833392977714539,0.1666819453239441,0.20054765045642853,0.19925682246685028
as,0.31749409437179565,0.3826591968536377,0.3954789340496063,0.3886612355709076,0.48381632566452026,0.1981334537267685,0.25192439556121826,0.2006441354751587,0.3886612355709076,0.48381632566452026,0.22404366731643677,0.17487213015556335,0.1973835676908493,0.27043893933296204
a,0.3320399522781372,0.265255331993103,0.4910551905632019,0.5052502155303955,0.5829201340675354,0.23475825786590576,0.21525812149047852,0.27099108695983887,0.5052502155303955,0.5829201340675354,0.24145695567131042,0.20466765761375427,0.2589043080806732,0.23916715383529663
link,0.23192204535007477,0.1631961315870285,0.2090129554271698,0.1763116717338562,0.23401211202144623,0.1841069608926773,0.16013258695602417,0.13439615070819855,0.1763116717338562,0.23401211202144623,0.19330443441867828,0.15096253156661987,0.14378832280635834,0.280567467212677
between,0.2462156116962433,0.2766000032424927,0.3030317425727844,0.3737983703613281,0.39067012071609497,0.18541590869426727,0.1286385953426361,0.2015795111656189,0.3737983703613281,0.39067012071609497,0.17286092042922974,0.13957767188549042,0.1696578860282898,0.12887074053287506
the,0.42745697498321533,0.40399202704429626,0.5514441132545471,0.733189046382904,1.0,0.2260027974843979,0.15822452306747437,0.23509301245212555,0.733189046382904,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.22068053483963013
bodily,0.2776431441307068,0.27751556038856506,0.15849436819553375,0.25546330213546753,0.2718631625175476,0.20715932548046112,0.27439871430397034,0.2538091540336609,0.25546330213546753,0.2718631625175476,0.3910153806209564,0.37751588225364685,0.22170378267765045,0.22123983502388
tissues,0.22605282068252563,0.2978569567203522,0.13940982520580292,0.22565603256225586,0.25059279799461365,0.21778015792369843,0.5463841557502747,0.3259260952472687,0.22565603256225586,0.25059279799461365,0.3837848901748657,0.45840537548065186,0.28325286507606506,0.17531797289848328
and,0.31309178471565247,0.48576638102531433,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.21098192036151886,0.2013455629348755,0.3014242649078369,0.5116966962814331,0.5171257257461548,0.16619820892810822,0.14400269091129303,0.231138214468956,0.20544172823429108
the,0.42745697498321533,0.40399202704429626,0.5514441132545471,0.733189046382904,1.0,0.2260027974843979,0.15822452306747437,0.23509301245212555,0.733189046382904,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.22068053483963013
innate,0.2683543860912323,0.2676650285720825,0.18405942618846893,0.255485475063324,0.2196919023990631,0.28709664940834045,0.41591084003448486,0.29162466526031494,0.255485475063324,0.2196919023990631,0.526890218257904,0.6130988597869873,0.3689802289009094,0.16386382281780243
and,0.31309178471565247,0.48576638102531433,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.21098192036151886,0.2013455629348755,0.3014242649078369,0.5116966962814331,0.5171257257461548,0.16619820892810822,0.14400269091129303,0.231138214468956,0.20544172823429108
adaptive,0.22806508839130402,0.2328222244977951,0.1897055208683014,0.18422213196754456,0.25968632102012634,0.2924972474575043,0.306709885597229,0.24636167287826538,0.18422213196754456,0.25968632102012634,1.0000001192092896,0.4945787191390991,0.31361085176467896,0.12147218734025955
immune,0.2410416603088379,0.23878547549247742,0.18161426484584808,0.16620753705501556,0.21364226937294006,0.28234925866127014,0.39050236344337463,0.2538298964500427,0.16620753705501556,0.21364226937294006,0.4945787191390991,1.0,0.3962631821632385,0.16080476343631744
systems,0.1871482878923416,0.29607290029525757,0.20939761400222778,0.277031809091568,0.28089964389801025,0.23289471864700317,0.19718928635120392,0.3807848393917084,0.277031809091568,0.28089964389801025,0.3265707790851593,0.34945380687713623,0.7890681028366089,0.1575973927974701
",",0.3087472915649414,0.4062570035457611,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.20467913150787354,0.17534321546554565,0.24108222126960754,0.4946078956127167,0.4933079481124878,0.1528570055961609,0.15102852880954742,0.18439900875091553,0.31091248989105225
as,0.31749409437179565,0.3826591968536377,0.3954789340496063,0.3886612355709076,0.48381632566452026,0.1981334537267685,0.25192439556121826,0.2006441354751587,0.3886612355709076,0.48381632566452026,0.22404366731643677,0.17487213015556335,0.1973835676908493,0.27043893933296204
they,0.4431931674480438,0.610666811466217,0.4178827106952667,0.3426007330417633,0.49925389885902405,0.14996550977230072,0.2226884663105011,0.34538209438323975,0.3426007330417633,0.49925389885902405,0.31178799271583557,0.29530614614486694,0.24734781682491302,0.2753053903579712
present,0.30940163135528564,0.20985287427902222,0.23905925452709198,0.3116828501224518,0.2829846143722534,0.17642433941364288,0.10574173182249069,0.11691485345363617,0.3116828501224518,0.2829846143722534,0.24427762627601624,0.16421018540859222,0.10247059911489487,0.21759982407093048
antigens,0.1918221414089203,0.3016895651817322,0.2404845654964447,0.2752571105957031,0.2716159522533417,0.24650003015995026,0.46047890186309814,0.2775444984436035,0.2752571105957031,0.2716159522533417,0.467586487531662,0.6192981004714966,0.24312779307365417,0.21072189509868622
