,when,did,martin,luther,publish,his,translation,of,the,new,testament,?
luther,0.14516782760620117,0.23667675256729126,0.6228963136672974,1.0,0.1623724102973938,0.27093374729156494,0.18200817704200745,0.1719115972518921,0.1759674996137619,0.14555130898952484,0.350544273853302,0.1732746809720993
had,0.37526828050613403,0.540525496006012,0.14995867013931274,0.16133075952529907,0.222591370344162,0.4401516616344452,0.09225422143936157,0.37755560874938965,0.3875846862792969,0.28327175974845886,0.1978474259376526,0.20728366076946259
published,0.1944759637117386,0.17877818644046783,0.10879221558570862,0.15444858372211456,0.7399125099182129,0.2540745139122009,0.38037413358688354,0.23023100197315216,0.22017472982406616,0.2066156566143036,0.277984619140625,0.16280238330364227
his,0.37120407819747925,0.3546801507472992,0.23498685657978058,0.27093374729156494,0.27212437987327576,0.9999998807907104,0.16262900829315186,0.38364991545677185,0.4394008219242096,0.24132801592350006,0.2475791573524475,0.18075084686279297
german,0.16090898215770721,0.2048940509557724,0.22567348182201385,0.28169330954551697,0.19180592894554138,0.23102504014968872,0.19319815933704376,0.2122138887643814,0.256483793258667,0.20146939158439636,0.2479895055294037,0.13978645205497742
translation,0.14636515080928802,0.1068030595779419,0.10462567210197449,0.18200817704200745,0.3398109972476959,0.16262900829315186,0.9999998807907104,0.18704865872859955,0.26402729749679565,0.1734006702899933,0.3944028913974762,0.22574150562286377
of,0.3757161796092987,0.2513895630836487,0.13722093403339386,0.1719115972518921,0.12460750341415405,0.38364991545677185,0.18704865872859955,1.0,0.733189046382904,0.343457967042923,0.2367868572473526,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.22029393911361694,0.1759674996137619,0.1611112356185913,0.4394008219242096,0.26402729749679565,0.733189046382904,1.0,0.3845241069793701,0.2450282722711563,0.22068053483963013
new,0.257220059633255,0.227974995970726,0.20227277278900146,0.14555130898952484,0.2358858585357666,0.24132801592350006,0.1734006702899933,0.343457967042923,0.3845241069793701,0.9999999403953552,0.36215537786483765,0.14782847464084625
testament,0.18565435707569122,0.20634683966636658,0.23874865472316742,0.350544273853302,0.24867165088653564,0.2475791573524475,0.3944028913974762,0.2367868572473526,0.2450282722711563,0.36215537786483765,1.0,0.19962608814239502
