,how,did,the,project,encourage,the,commercialisation,of,legumes,?
successive,0.25726792216300964,0.17936860024929047,0.3385905921459198,0.12211933732032776,0.14592894911766052,0.3385905921459198,0.3182978928089142,0.3374863564968109,0.245375856757164,0.10482358187437057
projects,0.27294015884399414,0.21255384385585785,0.23802334070205688,0.7827755212783813,0.38036447763442993,0.23802334070205688,0.41271984577178955,0.21610960364341736,0.24208809435367584,0.3193145990371704
encouraged,0.31115904450416565,0.4058409631252289,0.21390338242053986,0.2359401285648346,0.8438761234283447,0.21390338242053986,0.17200948297977448,0.23735111951828003,0.18573009967803955,0.2192683219909668
the,0.33890387415885925,0.34736719727516174,1.0,0.2027820199728012,0.25321751832962036,1.0,0.3184216618537903,0.733189046382904,0.27800241112709045,0.22068053483963013
commercialisation,0.2283870428800583,0.2003549188375473,0.3184216618537903,0.3263550102710724,0.26373371481895447,0.3184216618537903,1.0,0.2593328356742859,0.43261635303497314,0.15418346226215363
of,0.2480744868516922,0.2513895630836487,0.733189046382904,0.17578177154064178,0.2560228705406189,0.733189046382904,0.2593328356742859,1.0,0.26445266604423523,0.1826142966747284
legumes,0.22174562513828278,0.14738130569458008,0.27800241112709045,0.169036865234375,0.23328937590122223,0.27800241112709045,0.43261635303497314,0.26445266604423523,1.0,0.16519507765769958
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.24875426292419434,0.24523833394050598,0.4933079481124878,0.2860037684440613,0.4946078956127167,0.30218085646629333,0.31091248989105225
by,0.34370526671409607,0.18574509024620056,0.4408751428127289,0.2110227346420288,0.20527665317058563,0.4408751428127289,0.2141392081975937,0.3646814823150635,0.15459318459033966,0.17966607213020325
stimulating,0.30012035369873047,0.09402208775281906,0.2514459490776062,0.16401313245296478,0.3082011640071869,0.2514459490776062,0.40005260705947876,0.21889719367027283,0.3225794732570648,0.121944360435009
the,0.33890387415885925,0.34736719727516174,1.0,0.2027820199728012,0.25321751832962036,1.0,0.3184216618537903,0.733189046382904,0.27800241112709045,0.22068053483963013
growth,0.20989903807640076,0.09287795424461365,0.2912366986274719,0.19095785915851593,0.28262874484062195,0.2912366986274719,0.41375282406806946,0.2679378092288971,0.38385340571403503,0.07547862827777863
of,0.2480744868516922,0.2513895630836487,0.733189046382904,0.17578177154064178,0.2560228705406189,0.733189046382904,0.2593328356742859,1.0,0.26445266604423523,0.1826142966747284
local,0.1895620971918106,0.1319427639245987,0.2130540907382965,0.15997901558876038,0.20324158668518066,0.2130540907382965,0.23066790401935577,0.20668989419937134,0.18995824456214905,0.15022775530815125
seed,0.19584999978542328,0.13296820223331451,0.2115030139684677,0.12155887484550476,0.19112002849578857,0.2115030139684677,0.31997328996658325,0.19093821942806244,0.45125386118888855,0.19825764000415802
production,0.19858919084072113,0.1752309501171112,0.2657334506511688,0.2738102972507477,0.1932983696460724,0.2657334506511688,0.45007574558258057,0.1928233802318573,0.3227948248386383,0.19318072497844696
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.23249590396881104,0.3351057767868042,0.5171257257461548,0.2604486048221588,0.5116966962814331,0.3409145772457123,0.20544172823429108
agro-dealer,0.13811713457107544,0.16103602945804596,0.2939525246620178,0.15222620964050293,0.1823965311050415,0.2939525246620178,0.3063982427120209,0.2818731665611267,0.33219799399375916,0.11934243887662888
networks,0.23104870319366455,0.06869131326675415,0.24705806374549866,0.22644086182117462,0.20797884464263916,0.24705806374549866,0.3696160614490509,0.17763681709766388,0.25921571254730225,0.17815114557743073
for,0.3308170735836029,0.318512886762619,0.4739971458911896,0.2228124439716339,0.3451491594314575,0.4739971458911896,0.29365530610084534,0.4185989499092102,0.2508002817630768,0.264628142118454
distribution,0.22151494026184082,0.11337858438491821,0.27569329738616943,0.25782376527786255,0.13704870641231537,0.27569329738616943,0.37279212474823,0.254255473613739,0.23976528644561768,0.0929616317152977
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.23249590396881104,0.3351057767868042,0.5171257257461548,0.2604486048221588,0.5116966962814331,0.3409145772457123,0.20544172823429108
marketing,0.20571407675743103,0.17093268036842346,0.21615102887153625,0.3298361301422119,0.3084932565689087,0.21615102887153625,0.5234987139701843,0.19422414898872375,0.28899869322776794,0.19105108082294464
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.23938670754432678,0.2384900003671646,0.5934505462646484,0.26120099425315857,0.5352458953857422,0.26256778836250305,0.4130953550338745
