,how,many,g3p,molecules,leave,the,cycle,?
most,0.311336874961853,0.6236066222190857,0.28771284222602844,0.18401938676834106,0.14151790738105774,0.47635307908058167,0.21950553357601166,0.2107497900724411
of,0.2480744868516922,0.37253960967063904,0.3265491724014282,0.24428431689739227,0.22741928696632385,0.733189046382904,0.255176842212677,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.423888623714447,0.2374771386384964,0.32171857357025146,1.0,0.2701641917228699,0.22068053483963013
g3p,0.12234630435705185,0.28098294138908386,1.0000001192092896,0.14723655581474304,0.2090924233198166,0.423888623714447,0.12255633622407913,0.09997119009494781
molecules,0.34323933720588684,0.2315228134393692,0.14723655581474304,0.9999999403953552,0.126388281583786,0.2374771386384964,0.3103310465812683,0.17409995198249817
are,0.311818927526474,0.5655534863471985,0.18471050262451172,0.3300325572490692,0.19606901705265045,0.40399202704429626,0.17850318551063538,0.24591213464736938
recycled,0.2609204947948456,0.2941153943538666,0.1408032923936844,0.3919987082481384,0.1724398136138916,0.24403855204582214,0.40836140513420105,0.23930218815803528
back,0.2557322680950165,0.2512952387332916,0.2857373356819153,0.1510615199804306,0.3456932604312897,0.3612101674079895,0.14895255863666534,0.2397768795490265
into,0.2303972691297531,0.2618265151977539,0.27307945489883423,0.28422632813453674,0.2551988363265991,0.39493247866630554,0.14627525210380554,0.15662476420402527
rubp,0.23528535664081573,0.21976234018802643,0.15599557757377625,0.27443498373031616,0.18683014810085297,0.17875561118125916,0.2160542756319046,0.26014244556427
using,0.39886897802352905,0.3305889368057251,0.15132617950439453,0.28018566966056824,0.1456756889820099,0.28364112973213196,0.13598577678203583,0.2804589569568634
energy,0.24522052705287933,0.22057682275772095,0.11279504746198654,0.46309974789619446,0.09168519824743271,0.26756542921066284,0.2753652334213257,0.14860127866268158
from,0.22939439117908478,0.33099696040153503,0.28330013155937195,0.19782225787639618,0.2075231373310089,0.40150508284568787,0.14248938858509064,0.19969791173934937
more,0.4319567084312439,0.48608261346817017,0.22674129903316498,0.27588149905204773,0.27871933579444885,0.39758381247520447,0.19036895036697388,0.27894994616508484
atp,0.18074454367160797,0.20093001425266266,0.12864789366722107,0.4897749125957489,0.07379753142595291,0.22016242146492004,0.36020249128341675,0.17643076181411743
",",0.22659391164779663,0.40610817074775696,0.22471989691257477,0.18639802932739258,0.2779998779296875,0.4933079481124878,0.16122886538505554,0.31091248989105225
but,0.43101516366004944,0.46599987149238586,0.2819088399410248,0.21418549120426178,0.3632035553455353,0.4859698414802551,0.17781421542167664,0.27921953797340393
one,0.3213292360305786,0.4223630726337433,0.1991260051727295,0.25794124603271484,0.2739447355270386,0.5514441132545471,0.21576738357543945,0.2673267424106598
out,0.3963836133480072,0.3329806923866272,0.1988014578819275,0.29924365878105164,0.3745192885398865,0.39404502511024475,0.13672322034835815,0.22020699083805084
of,0.2480744868516922,0.37253960967063904,0.3265491724014282,0.24428431689739227,0.22741928696632385,0.733189046382904,0.255176842212677,0.1826142966747284
every,0.31805798411369324,0.3416140377521515,0.15500995516777039,0.16659027338027954,0.23751848936080933,0.4023689329624176,0.3027104139328003,0.24066033959388733
six,0.20644865930080414,0.37673795223236084,0.196791410446167,0.19965873658657074,0.17294755578041077,0.3614266812801361,0.2180168777704239,0.15298804640769958
produced,0.17719948291778564,0.2355157881975174,0.0702439621090889,0.20772093534469604,0.06534063071012497,0.22045251727104187,0.20977497100830078,0.1623450517654419
leaves,0.18139518797397614,0.15284661948680878,0.07817335426807404,0.23190733790397644,0.507270097732544,0.26001983880996704,0.10913583636283875,0.11751258373260498
the,0.33890387415885925,0.4335206151008606,0.423888623714447,0.2374771386384964,0.32171857357025146,1.0,0.2701641917228699,0.22068053483963013
cycle—the,0.3037436306476593,0.26079702377319336,0.2274450659751892,0.37700533866882324,0.10588070750236511,0.36510172486305237,0.8818776607513428,0.16951453685760498
end,0.2481066733598709,0.2364911139011383,0.29398590326309204,0.10864561796188354,0.28281664848327637,0.39658910036087036,0.12575024366378784,0.12543344497680664
product,0.24579623341560364,0.21692168712615967,0.06792788952589035,0.333781898021698,0.13166342675685883,0.23984220623970032,0.20619025826454163,0.19651241600513458
of,0.2480744868516922,0.37253960967063904,0.3265491724014282,0.24428431689739227,0.22741928696632385,0.733189046382904,0.255176842212677,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.423888623714447,0.2374771386384964,0.32171857357025146,1.0,0.2701641917228699,0.22068053483963013
dark,0.2177726775407791,0.2059510201215744,0.08997603505849838,0.24663279950618744,0.14969824254512787,0.26231685280799866,0.15493665635585785,0.1327134519815445
reactions,0.37492990493774414,0.3171953558921814,0.11995333433151245,0.5892264246940613,0.2152470499277115,0.20951740443706512,0.29818159341812134,0.20989809930324554
.,0.3287222981452942,0.3974229395389557,0.24560587108135223,0.25748172402381897,0.30909571051597595,0.5934505462646484,0.19143328070640564,0.4130953550338745
