,where,did,the,rhine,occupy,during,the,holocene,?
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.19469857215881348,0.24790573120117188,0.372769296169281,0.457212895154953,0.2180505096912384,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,1.0,0.30735138058662415,0.31747862696647644,0.4838213622570038,1.0,0.26600971817970276,0.22068053483963013
begin,0.2661099433898926,0.2970099151134491,0.34293439984321594,0.16868017613887787,0.2793568968772888,0.36029958724975586,0.34293439984321594,0.1485581248998642,0.16177093982696533
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.2548927664756775,0.3452157974243164,0.3869180977344513,0.733189046382904,0.2029341608285904,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,1.0,0.30735138058662415,0.31747862696647644,0.4838213622570038,1.0,0.26600971817970276,0.22068053483963013
holocene,0.17290224134922028,0.1815931648015976,0.26600971817970276,0.13635079562664032,0.16851526498794556,0.3252393901348114,0.26600971817970276,0.9999999403953552,0.179432213306427
(,0.1970011591911316,0.18979617953300476,0.33289089798927307,0.12381801009178162,0.1570747345685959,0.2139192670583725,0.33289089798927307,0.2268684357404709,0.40561532974243164
"~11,700",-0.016715137287974358,-0.06843804568052292,-0.16296489536762238,-0.12116816639900208,-0.09072473645210266,-0.17707419395446777,-0.16296489536762238,-0.061605460941791534,0.1576528698205948
years,0.26697102189064026,0.2695724070072174,0.2912273406982422,0.18521612882614136,0.1343681514263153,0.39110565185546875,0.2912273406982422,0.34953978657722473,0.1914375126361847
ago,0.2087506353855133,0.19972491264343262,0.23063679039478302,0.1324431449174881,0.15796735882759094,0.2538875341415405,0.23063679039478302,0.5287450551986694,0.2202194780111313
),0.20711064338684082,0.18584993481636047,0.3456730246543884,0.12686386704444885,0.1566767543554306,0.23182427883148193,0.3456730246543884,0.2090638428926468,0.42300865054130554
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.167837992310524,0.2732933461666107,0.3225448727607727,0.4933079481124878,0.21509388089179993,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,1.0,0.30735138058662415,0.31747862696647644,0.4838213622570038,1.0,0.26600971817970276,0.22068053483963013
rhine,0.2007746696472168,0.15695837140083313,0.30735138058662415,1.0,0.2065703272819519,0.18684938549995422,0.30735138058662415,0.13635079562664032,0.13754533231258392
occupied,0.23910054564476013,0.21438418328762054,0.3288927674293518,0.26589298248291016,0.646261990070343,0.24578337371349335,0.3288927674293518,0.18953067064285278,0.11679025739431381
its,0.27530840039253235,0.19922670722007751,0.559237003326416,0.17144687473773956,0.23045964539051056,0.23688937723636627,0.559237003326416,0.15501749515533447,0.15103481709957123
late-glacial,0.2021344155073166,0.2072482854127884,0.31406205892562866,0.19306541979312897,0.203882098197937,0.3569177985191345,0.31406205892562866,0.6033787727355957,0.15917885303497314
valley,0.25941726565361023,0.10812344402074814,0.2923165559768677,0.28803977370262146,0.12287558615207672,0.21470390260219574,0.2923165559768677,0.11641477793455124,0.11486150324344635
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2089352011680603,0.2559439539909363,0.3485563397407532,0.5934505462646484,0.22718346118927002,0.4130953550338745
