,what,did,tesla,tell,brisbane,he,did,n't,believe,in,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.20067040622234344,0.21772481501102448,0.41690486669540405,0.2593238651752472,-0.0012929976219311357,0.20806841552257538,1.0,0.20430970191955566
an,0.2821882665157318,0.22598257660865784,0.13714656233787537,0.1958691030740738,0.17747601866722107,0.281929612159729,0.22598257660865784,0.07694102823734283,0.1984095573425293,0.2605783939361572,0.19793890416622162
interview,0.17965836822986603,0.24580758810043335,0.09863823652267456,0.16089150309562683,0.1862129271030426,0.1761155128479004,0.24580758810043335,0.2501158118247986,0.1751410961151123,0.06966886669397354,0.21284115314483643
with,0.2464839518070221,0.25472134351730347,0.16424812376499176,0.2573673725128174,0.22171349823474884,0.2845253646373749,0.25472134351730347,-0.11462879180908203,0.2392634004354477,0.4080928862094879,0.2433311939239502
newspaper,0.19692619144916534,0.17824643850326538,0.12077529728412628,0.16013863682746887,0.25014829635620117,0.2571883201599121,0.17824643850326538,0.18427084386348724,0.10230138152837753,0.24728119373321533,0.12645277380943298
editor,0.24203328788280487,0.16913944482803345,0.14602340757846832,0.20930130779743195,0.12486205995082855,0.2609611749649048,0.16913944482803345,0.1514909863471985,0.22460581362247467,0.16225247085094452,0.29182010889053345
arthur,0.16599613428115845,0.16144303977489471,0.15608665347099304,0.09625683724880219,0.2512998878955841,0.22626930475234985,0.16144303977489471,0.12268630415201187,0.04971162602305412,0.2152768224477768,0.16990946233272552
brisbane,0.19486942887306213,0.16708995401859283,0.12811625003814697,0.11059676110744476,1.0000001192092896,0.236759215593338,0.16708995401859283,0.02880362793803215,0.12581297755241394,0.21772481501102448,0.14379973709583282
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.29178953170776367,0.2424088418483734,0.40251094102859497,0.3015086054801941,0.11016341298818588,0.2459280639886856,0.5201468467712402,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.12725821137428284,0.12811625003814697,0.12373391538858414,0.09757418930530548,0.02564454823732376,0.12789246439933777,0.17097744345664978,0.10250775516033173
said,0.3951668441295624,0.5119821429252625,0.1453642100095749,0.36087363958358765,0.17510466277599335,0.3578285872936249,0.5119821429252625,0.02762698009610176,0.5072517395019531,0.23461468517780304,0.28991883993148804
that,0.6297725439071655,0.47518548369407654,0.22102725505828857,0.40882083773612976,0.1619345247745514,0.36068853735923767,0.47518548369407654,-0.130638986825943,0.533393383026123,0.435920387506485,0.32716336846351624
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.24354232847690582,0.236759215593338,1.0000001192092896,0.3292143940925598,0.06199106201529503,0.24699896574020386,0.41690486669540405,0.2089974731206894
did,0.4259131848812103,1.0,0.09757418930530548,0.33053210377693176,0.16708995401859283,0.3292143940925598,1.0,-0.11697922646999359,0.3557283282279968,0.2593238651752472,0.3023456633090973
not,0.5449194312095642,0.6481515765190125,0.12018213421106339,0.3955385386943817,0.1525929868221283,0.29440581798553467,0.6481515765190125,-0.11552248895168304,0.462744802236557,0.3403114080429077,0.41942933201789856
believe,0.46656209230422974,0.3557283282279968,0.12789246439933777,0.4418489634990692,0.12581297755241394,0.24699896574020386,0.3557283282279968,-0.039673253893852234,1.0,0.20806841552257538,0.3329349160194397
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.20067040622234344,0.21772481501102448,0.41690486669540405,0.2593238651752472,-0.0012929976219311357,0.20806841552257538,1.0,0.20430970191955566
