,which,two,compounds,did,al-muwaffaq,differentiate,between,?
he,0.3415409028530121,0.27156874537467957,0.17251455783843994,0.3292143940925598,0.20428629219532013,0.12933935225009918,0.20695680379867554,0.2089974731206894
made,0.3407467305660248,0.2798523008823395,0.27201929688453674,0.3068731725215912,0.21429796516895294,0.20725184679031372,0.20875616371631622,0.17218779027462006
clear,0.3542524576187134,0.20665273070335388,0.2648709714412689,0.27081912755966187,0.22005312144756317,0.3301585614681244,0.268037348985672,0.2738020122051239
distinction,0.41797715425491333,0.2881808280944824,0.26106277108192444,0.20280398428440094,0.16961055994033813,0.3863258361816406,0.3340790271759033,0.15412788093090057
between,0.395174115896225,0.4709945023059845,0.1722135990858078,0.16542956233024597,0.29746776819229126,0.3132242262363434,0.9999999403953552,0.12887074053287506
sodium,0.2628933787345886,0.17638202011585236,0.6979311108589172,0.150121808052063,0.3811992406845093,0.22054585814476013,0.1438482254743576,0.1957138180732727
carbonate,0.32416826486587524,0.1491953283548355,0.6095476746559143,0.096025250852108,0.39674216508865356,0.31825196743011475,0.16649030148983002,0.20675261318683624
and,0.506277859210968,0.4671151638031006,0.25433242321014404,0.34479495882987976,0.3373720943927765,0.23717628419399261,0.40645647048950195,0.20544172823429108
potassium,0.31738579273223877,0.19422098994255066,0.6325843930244446,0.19129307568073273,0.40212908387184143,0.27121368050575256,0.1479320377111435,0.18329961597919464
carbonate,0.32416826486587524,0.1491953283548355,0.6095476746559143,0.096025250852108,0.39674216508865356,0.31825196743011475,0.16649030148983002,0.20675261318683624
",",0.3658004403114319,0.35859420895576477,0.20700839161872864,0.3015086054801941,0.32333090901374817,0.23532074689865112,0.27714940905570984,0.31091248989105225
and,0.506277859210968,0.4671151638031006,0.25433242321014404,0.34479495882987976,0.3373720943927765,0.23717628419399261,0.40645647048950195,0.20544172823429108
drew,0.14343710243701935,0.19933268427848816,0.18190467357635498,0.18822981417179108,0.1047251895070076,0.12806546688079834,0.16706590354442596,0.10364298522472382
attention,0.26927196979522705,0.1793111264705658,0.17802578210830688,0.26100146770477295,0.1126745343208313,0.2023988962173462,0.13662946224212646,0.19994445145130157
to,0.5345056653022766,0.3343428373336792,0.29820382595062256,0.4452643394470215,0.25413209199905396,0.34617096185684204,0.3639189600944519,0.29463258385658264
the,0.6521818041801453,0.43858039379119873,0.18294313549995422,0.34736719727516174,0.3736746609210968,0.2677738070487976,0.39067012071609497,0.22068053483963013
poisonous,0.28757765889167786,0.13483303785324097,0.49077367782592773,0.16955886781215668,0.23497146368026733,0.22629369795322418,0.0981200709939003,0.1837436556816101
nature,0.315411239862442,0.14748448133468628,0.2759711742401123,0.1530797779560089,0.1706477701663971,0.16550032794475555,0.17737561464309692,0.17397694289684296
of,0.5011631846427917,0.37726253271102905,0.232599675655365,0.2513895630836487,0.38571399450302124,0.27606648206710815,0.3737983703613281,0.1826142966747284
copper,0.2391541302204132,0.18966636061668396,0.4458138346672058,0.15219885110855103,0.28495439887046814,0.15114521980285645,0.12825889885425568,0.0947067067027092
compounds,0.29740291833877563,0.22144247591495514,0.9999999403953552,0.19287091493606567,0.35816285014152527,0.3398471772670746,0.1722135990858078,0.2057836651802063
",",0.3658004403114319,0.35859420895576477,0.20700839161872864,0.3015086054801941,0.32333090901374817,0.23532074689865112,0.27714940905570984,0.31091248989105225
especially,0.4690455496311188,0.2768738865852356,0.24484388530254364,0.26305219531059265,0.17251773178577423,0.27711760997772217,0.30523523688316345,0.19751401245594025
copper,0.2391541302204132,0.18966636061668396,0.4458138346672058,0.15219885110855103,0.28495439887046814,0.15114521980285645,0.12825889885425568,0.0947067067027092
vitriol,0.3073846101760864,0.1785590797662735,0.5474321842193604,0.1334059238433838,0.38811686635017395,0.31279775500297546,0.12059258669614792,0.19283077120780945
",",0.3658004403114319,0.35859420895576477,0.20700839161872864,0.3015086054801941,0.32333090901374817,0.23532074689865112,0.27714940905570984,0.31091248989105225
and,0.506277859210968,0.4671151638031006,0.25433242321014404,0.34479495882987976,0.3373720943927765,0.23717628419399261,0.40645647048950195,0.20544172823429108
also,0.6566565632820129,0.4511464238166809,0.34328946471214294,0.39334940910339355,0.33660343289375305,0.26447251439094543,0.3419207036495209,0.21848613023757935
lead,0.2136504352092743,0.20905518531799316,0.3096701204776764,0.2009882926940918,0.16112765669822693,0.12330733239650726,0.14819706976413727,0.14552436769008636
compounds,0.29740291833877563,0.22144247591495514,0.9999999403953552,0.19287091493606567,0.35816285014152527,0.3398471772670746,0.1722135990858078,0.2057836651802063
.,0.45942068099975586,0.3524959683418274,0.23886778950691223,0.35288307070732117,0.36982688307762146,0.23523762822151184,0.30295518040657043,0.4130953550338745
