,how,is,the,plaster,replica,of,verrocchio,'s,david,displayed,in,the,cast,courts,?
replicas,0.20277650654315948,0.13232119381427765,0.26829779148101807,0.3719077706336975,0.8493849039077759,0.2312866896390915,0.31752809882164,-0.03580039367079735,0.0930190160870552,0.2716548442840576,0.18828414380550385,0.26829779148101807,0.21823236346244812,0.1772908717393875,0.13989725708961487
of,0.2480744868516922,0.4854315221309662,0.733189046382904,0.24593962728977203,0.20613695681095123,1.0,0.19844846427440643,-0.03817026689648628,0.191870778799057,0.22871877253055573,0.5696388483047485,0.733189046382904,0.2314109057188034,0.24972429871559143,0.1826142966747284
two,0.2499001920223236,0.2315155267715454,0.43858039379119873,0.19901885092258453,0.2089640200138092,0.37726253271102905,0.14328213036060333,0.038143858313560486,0.13726739585399628,0.14983275532722473,0.36463531851768494,0.43858039379119873,0.23767927289009094,0.14246860146522522,0.19645625352859497
earlier,0.190433070063591,0.14434313774108887,0.26843780279159546,0.19948190450668335,0.11104575544595718,0.27635854482650757,0.18120518326759338,0.04531743377447128,0.08594368398189545,0.16673032939434052,0.24141792953014374,0.26843780279159546,0.10868453234434128,0.21568508446216583,0.13306351006031036
davids,0.059253305196762085,0.07333974540233612,0.19821932911872864,0.158199280500412,0.15126022696495056,0.19977064430713654,0.289752721786499,0.042553164064884186,0.5918548107147217,0.02149418368935585,0.14640478789806366,0.19821932911872864,0.0643104612827301,0.2197420299053192,0.0023013195022940636
by,0.34370526671409607,0.3899846076965332,0.4408751428127289,0.17136643826961517,0.14575982093811035,0.3646814823150635,0.2291637808084488,-0.010884488001465797,0.23508615791797638,0.18044444918632507,0.370934396982193,0.4408751428127289,0.20315946638584137,0.19574788212776184,0.17966607213020325
donatello,0.1415567547082901,0.21131770312786102,0.231349378824234,0.33535993099212646,0.2511642575263977,0.25761178135871887,0.6364333033561707,-0.006687719840556383,0.2943328022956848,0.23402749001979828,0.253791868686676,0.231349378824234,0.17489375174045563,0.11212993413209915,0.14283452928066254
's,-0.026164190843701363,0.02396530658006668,-0.01540423184633255,0.08073288202285767,-0.01762530393898487,-0.03817026689648628,0.026899857446551323,0.9999999403953552,-0.00819597952067852,-0.039775438606739044,-0.037580832839012146,-0.01540423184633255,0.05063885822892189,0.013939086347818375,-0.023395681753754616
david,0.14805477857589722,0.14622443914413452,0.2237231284379959,0.13094379007816315,0.13355158269405365,0.191870778799057,0.2802826464176178,-0.00819597952067852,1.0,0.045352984219789505,0.17107756435871124,0.2237231284379959,0.15748806297779083,0.15245991945266724,0.04158485680818558
and,0.33647966384887695,0.3859752118587494,0.5171257257461548,0.25094857811927795,0.0907871350646019,0.5116966962814331,0.2349357306957245,0.06895173341035843,0.22867785394191742,0.19328086078166962,0.4954058527946472,0.5171257257461548,0.24523046612739563,0.2592387795448303,0.20544172823429108
verrocchio,0.25077587366104126,0.22582411766052246,0.23454619944095612,0.4928688704967499,0.2859846353530884,0.19844846427440643,1.0000001192092896,0.026899857446551323,0.2802826464176178,0.2600032687187195,0.2166750133037567,0.23454619944095612,0.31554174423217773,0.14830826222896576,0.18302512168884277
's,-0.026164190843701363,0.02396530658006668,-0.01540423184633255,0.08073288202285767,-0.01762530393898487,-0.03817026689648628,0.026899857446551323,0.9999999403953552,-0.00819597952067852,-0.039775438606739044,-0.037580832839012146,-0.01540423184633255,0.05063885822892189,0.013939086347818375,-0.023395681753754616
