,what,should,be,avoided,when,talking,to,authorities,?
it,0.45803478360176086,0.3525244891643524,0.5203388929367065,0.2289041131734848,0.4775012135505676,0.19442926347255707,0.513711154460907,0.23238831758499146,0.25732165575027466
is,0.28837618231773376,0.33635082840919495,0.4819129705429077,0.2064962536096573,0.3471449911594391,0.1907673329114914,0.42745086550712585,0.17750932276248932,0.22961433231830597
generally,0.40614598989486694,0.43803733587265015,0.4973081350326538,0.3408420979976654,0.38531962037086487,0.22588101029396057,0.3871513605117798,0.28135424852371216,0.23411904275417328
agreed,0.3416297733783722,0.3618462085723877,0.2181471586227417,0.31417396664619446,0.26048845052719116,0.27313584089279175,0.35596710443496704,0.316245973110199,0.21258382499217987
within,0.2498195916414261,0.28813794255256653,0.29054832458496094,0.1848447024822235,0.3464125096797943,0.10809531807899475,0.34980177879333496,0.309158056974411,0.1870293766260147
the,0.42745697498321533,0.32399165630340576,0.4248143136501312,0.2570779025554657,0.5091903209686279,0.23117031157016754,0.535392165184021,0.2784515917301178,0.22068053483963013
legal,0.26388198137283325,0.2933126986026764,0.2273482084274292,0.2708659768104553,0.20874182879924774,0.24421732127666473,0.2818027436733246,0.3648003935813904,0.2143220454454422
community,0.29032719135284424,0.2465919405221939,0.22295649349689484,0.09855350852012634,0.12761707603931427,0.14938969910144806,0.2863751947879791,0.3102244734764099,0.2380419820547104
",",0.3087472915649414,0.2706286907196045,0.39254459738731384,0.24417760968208313,0.36674630641937256,0.27008503675460815,0.44245919585227966,0.24295401573181152,0.31091248989105225
and,0.31309178471565247,0.27632346749305725,0.41766801476478577,0.25435110926628113,0.4716290831565857,0.28469210863113403,0.48971283435821533,0.2857656180858612,0.20544172823429108
is,0.28837618231773376,0.33635082840919495,0.4819129705429077,0.2064962536096573,0.3471449911594391,0.1907673329114914,0.42745086550712585,0.17750932276248932,0.22961433231830597
often,0.3849453330039978,0.34340184926986694,0.463177889585495,0.3695742189884186,0.47236984968185425,0.28613102436065674,0.4351843297481537,0.2310226857662201,0.23748154938220978
believed,0.32626157999038696,0.3094041347503662,0.32833608984947205,0.22438858449459076,0.29870954155921936,0.25379571318626404,0.35322412848472595,0.25871050357818604,0.17606885731220245
within,0.2498195916414261,0.28813794255256653,0.29054832458496094,0.1848447024822235,0.3464125096797943,0.10809531807899475,0.34980177879333496,0.309158056974411,0.1870293766260147
the,0.42745697498321533,0.32399165630340576,0.4248143136501312,0.2570779025554657,0.5091903209686279,0.23117031157016754,0.535392165184021,0.2784515917301178,0.22068053483963013
activist,0.14008654654026031,0.11266221851110458,0.1174837276339531,0.052392929792404175,0.1487707644701004,0.18896524608135223,0.11839517205953598,0.2258344292640686,0.14108677208423615
community,0.29032719135284424,0.2465919405221939,0.22295649349689484,0.09855350852012634,0.12761707603931427,0.14938969910144806,0.2863751947879791,0.3102244734764099,0.2380419820547104
",",0.3087472915649414,0.2706286907196045,0.39254459738731384,0.24417760968208313,0.36674630641937256,0.27008503675460815,0.44245919585227966,0.24295401573181152,0.31091248989105225
that,0.6297725439071655,0.4588061273097992,0.6036020517349243,0.3334939181804657,0.5860282182693481,0.36465075612068176,0.5436353087425232,0.3247348368167877,0.32716336846351624
a,0.3320399522781372,0.2715131938457489,0.39883795380592346,0.24498087167739868,0.44397395849227905,0.26524657011032104,0.45503583550453186,0.22238650918006897,0.23916715383529663
suspect,0.361697256565094,0.2454039752483368,0.2689935863018036,0.251743882894516,0.25048956274986267,0.3548189103603363,0.23814554512500763,0.28831854462623596,0.2982812821865082
's,0.02692362666130066,0.006883438676595688,0.025217169895768166,0.03832167759537697,-0.03368149697780609,0.008153262548148632,0.03782717138528824,0.029109153896570206,-0.023395681753754616
talking,0.44246572256088257,0.3035041391849518,0.26441141963005066,0.21533019840717316,0.36482080817222595,1.0000001192092896,0.25977399945259094,0.12003994733095169,0.340127170085907
to,0.455847829580307,0.44452130794525146,0.4972836375236511,0.2986029088497162,0.5423505902290344,0.25977399945259094,1.0,0.29137885570526123,0.29463258385658264
criminal,0.21020962297916412,0.16834352910518646,0.17491304874420166,0.16035118699073792,0.1496298462152481,0.19277645647525787,0.21600425243377686,0.2909960448741913,0.17345646023750305
investigators,0.22319857776165009,0.1651860773563385,0.23467767238616943,0.18853305280208588,0.2616206705570221,0.276175320148468,0.19531984627246857,0.4017501473426819,0.15483270585536957
can,0.34502777457237244,0.5246878266334534,0.5791122913360596,0.32780182361602783,0.39191514253616333,0.23738518357276917,0.4979398250579834,0.16756920516490936,0.3226337134838104
serve,0.23061832785606384,0.26474589109420776,0.343167245388031,0.24010464549064636,0.24939022958278656,0.15986059606075287,0.3411368131637573,0.17906039953231812,0.19925682246685028
no,0.339326947927475,0.4782313406467438,0.4173688292503357,0.27752313017845154,0.28761178255081177,0.21073269844055176,0.30015695095062256,0.24411684274673462,0.32165053486824036
useful,0.3494568169116974,0.41936105489730835,0.47395509481430054,0.400433212518692,0.31550541520118713,0.26562896370887756,0.3279949128627777,0.1587771624326706,0.3377096951007843
purpose,0.33113807439804077,0.3061883747577667,0.32208773493766785,0.2865653932094574,0.2300710678100586,0.2402123510837555,0.38124558329582214,0.2725919783115387,0.21892647445201874
",",0.3087472915649414,0.2706286907196045,0.39254459738731384,0.24417760968208313,0.36674630641937256,0.27008503675460815,0.44245919585227966,0.24295401573181152,0.31091248989105225
and,0.31309178471565247,0.27632346749305725,0.41766801476478577,0.25435110926628113,0.4716290831565857,0.28469210863113403,0.48971283435821533,0.2857656180858612,0.20544172823429108
