,in,what,year,was,henry,ware,elected,to,chair,?
henry,0.21735817193984985,0.1911626160144806,0.1817096471786499,0.31945720314979553,1.0,0.24114246666431427,0.19899988174438477,0.2152724415063858,0.21882754564285278,0.16836383938789368
ware,0.16143673658370972,0.12185490131378174,0.117179274559021,0.25384455919265747,0.24114246666431427,1.0,0.02173781581223011,0.11920197308063507,0.1353420913219452,0.07426849752664566
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.31945720314979553,0.25384455919265747,0.2710091769695282,0.3636345863342285,0.2363465279340744,0.18412111699581146
elected,0.21190309524536133,0.16005432605743408,0.25372835993766785,0.2710091769695282,0.19899988174438477,0.02173781581223011,0.9999999403953552,0.21424545347690582,0.2481931895017624,0.1966295689344406
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.2152724415063858,0.11920197308063507,0.21424545347690582,1.0,0.18660622835159302,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.2542637586593628,0.14636042714118958,0.23167964816093445,0.535392165184021,0.1899619996547699,0.22068053483963013
chair,0.17214225232601166,0.0931253656744957,0.15111389756202698,0.2363465279340744,0.21882754564285278,0.1353420913219452,0.2481931895017624,0.18660622835159302,0.9999999403953552,0.12348068505525589
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.21735817193984985,0.16143673658370972,0.21190309524536133,0.45010748505592346,0.17214225232601166,0.20430970191955566
1805,0.13924241065979004,0.21602052450180054,0.055437494069337845,0.0956914871931076,0.05992601066827774,0.02287900075316429,-0.01707061380147934,0.12730401754379272,0.05342407524585724,0.2008146047592163
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.25662001967430115,0.25746670365333557,0.2476319521665573,0.44245919585227966,0.13867062330245972,0.31091248989105225
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.2218981832265854,0.20991186797618866,0.19514460861682892,0.48971283435821533,0.20212094485759735,0.20544172823429108
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.2542637586593628,0.14636042714118958,0.23167964816093445,0.535392165184021,0.1899619996547699,0.22068053483963013
liberal,0.1513776332139969,0.20277564227581024,0.14264649152755737,0.2703799605369568,0.179982528090477,0.11015642434358597,0.40070292353630066,0.19244597852230072,0.2272396981716156,0.13139645755290985
samuel,0.20420196652412415,0.14263929426670074,0.15867581963539124,0.23414932191371918,0.39030948281288147,0.2690177857875824,0.18157382309436798,0.07316149771213531,0.06754425168037415,0.09954892843961716
webber,0.20868895947933197,0.07097403705120087,0.2399538904428482,0.2855519950389862,0.28027376532554626,0.22988766431808472,0.15771909058094025,0.20951475203037262,0.18450091779232025,0.07120462507009506
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.31945720314979553,0.25384455919265747,0.2710091769695282,0.3636345863342285,0.2363465279340744,0.18412111699581146
appointed,0.23088723421096802,0.1642993837594986,0.2489732801914215,0.33569878339767456,0.26515889167785645,0.13653230667114258,0.6190696358680725,0.21184861660003662,0.32639598846435547,0.13895352184772491
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.2152724415063858,0.11920197308063507,0.21424545347690582,1.0,0.18660622835159302,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.2542637586593628,0.14636042714118958,0.23167964816093445,0.535392165184021,0.1899619996547699,0.22068053483963013
presidency,0.17004865407943726,0.23257401585578918,0.207418292760849,0.26564058661460876,0.1753300279378891,0.08500032871961594,0.5076186656951904,0.22685422003269196,0.2516918480396271,0.135736346244812
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.2390729784965515,0.1784062534570694,0.2767166793346405,0.41548454761505127,0.20146237313747406,0.1826142966747284
harvard,0.26072487235069275,0.2177114188671112,0.12264450639486313,0.2415156066417694,0.2223862111568451,0.16485214233398438,0.17306870222091675,0.2043667882680893,0.2555660009384155,0.11685016006231308
two,0.36463531851768494,0.23363454639911652,0.2893567979335785,0.27166637778282166,0.1832190454006195,0.12984448671340942,0.19714367389678955,0.3343428373336792,0.1673375815153122,0.19645625352859497
years,0.33554986119270325,0.1981470286846161,0.5195499062538147,0.35855233669281006,0.21417050063610077,0.10303253680467606,0.24261784553527832,0.23891852796077728,0.09860548377037048,0.1914375126361847
later,0.40857815742492676,0.2517229914665222,0.27576395869255066,0.5684447288513184,0.21655915677547455,0.17391765117645264,0.19078156352043152,0.393297016620636,0.21174173057079315,0.1417175978422165
