,messiaen,says,that,composition,with,prime,numbers,was,inspired,by,what,?
according,0.16881226003170013,0.48854848742485046,0.29146862030029297,0.12618930637836456,0.25230053067207336,0.1510218381881714,0.18873867392539978,0.31116798520088196,0.22963885962963104,0.2975466847419739,0.2776208221912384,0.21173474192619324
to,0.23385608196258545,0.31942060589790344,0.5436353087425232,0.22475668787956238,0.4239959120750427,0.2015804797410965,0.29515770077705383,0.3636345863342285,0.23367811739444733,0.33534231781959534,0.455847829580307,0.29463258385658264
messiaen,1.0,0.20160944759845734,0.2756102979183197,0.49623075127601624,0.2762891352176666,0.14981578290462494,0.2307663857936859,0.260047972202301,0.2806416451931,0.2627432644367218,0.27878338098526,0.19750940799713135
this,0.269945353269577,0.34610715508461,0.6909449696540833,0.2783690392971039,0.36358317732810974,0.17067231237888336,0.30999889969825745,0.3638818562030792,0.21857647597789764,0.38438332080841064,0.5489566326141357,0.3155723512172699
way,0.3041784167289734,0.3083552122116089,0.5086538195610046,0.28759312629699707,0.3546393811702728,0.14773425459861755,0.3247551918029785,0.2418399453163147,0.22543148696422577,0.3228684663772583,0.4835909903049469,0.31575819849967957
of,0.21371990442276,0.29148387908935547,0.41498205065727234,0.3104008734226227,0.41827285289764404,0.23935265839099884,0.228018656373024,0.4069072902202606,0.2985292971134186,0.3646814823150635,0.33290785551071167,0.1826142966747284
composing,0.518928587436676,0.1107775866985321,0.22815363109111786,0.7517538070678711,0.3124261796474457,0.09772329032421112,0.20081830024719238,0.2881225347518921,0.3379875421524048,0.2755960524082184,0.25585803389549255,0.17035868763923645
was,0.260047972202301,0.25071612000465393,0.33670201897621155,0.23116475343704224,0.27411898970603943,0.21048103272914886,0.13953587412834167,1.0000001192092896,0.3109425902366638,0.4752357602119446,0.22111038863658905,0.18412111699581146
``,0.21411317586898804,-0.015186435543000698,0.05285148695111275,0.1057513877749443,0.08974023163318634,0.20947174727916718,0.3660886883735657,-0.012679691426455975,-0.10640179365873337,-0.030704375356435776,0.008517155423760414,0.0685480609536171
inspired,0.2806416451931,0.18680310249328613,0.2554440200328827,0.2478347271680832,0.24597260355949402,0.1339218020439148,0.08023913204669952,0.3109425902366638,1.0000001192092896,0.3305339515209198,0.18111269176006317,0.1529090851545334
by,0.2627432644367218,0.2582924962043762,0.37496164441108704,0.26067861914634705,0.39731505513191223,0.1702890843153,0.21251529455184937,0.4752357602119446,0.3305339515209198,1.0000001192092896,0.2455483376979828,0.17966607213020325
the,0.25803306698799133,0.29071056842803955,0.5473989248275757,0.2593342959880829,0.4223487675189972,0.19960100948810577,0.293011337518692,0.48711544275283813,0.271378755569458,0.4408751428127289,0.42745697498321533,0.22068053483963013
movements,0.3350841999053955,0.17134220898151398,0.29290005564689636,0.3251226544380188,0.19645880162715912,0.15557809174060822,0.25535547733306885,0.15315485000610352,0.3049752116203308,0.20860128104686737,0.23197974264621735,0.1501890867948532
of,0.21371990442276,0.29148387908935547,0.41498205065727234,0.3104008734226227,0.41827285289764404,0.23935265839099884,0.228018656373024,0.4069072902202606,0.2985292971134186,0.3646814823150635,0.33290785551071167,0.1826142966747284
nature,0.22571586072444916,0.1900222897529602,0.3041963577270508,0.24668170511722565,0.17157115042209625,0.12083084881305695,0.14593079686164856,0.16693586111068726,0.24371099472045898,0.22047893702983856,0.2566179633140564,0.17397694289684296
",",0.2551190257072449,0.30697324872016907,0.4137537479400635,0.2178909033536911,0.4120737314224243,0.2565026581287384,0.26479464769363403,0.45456063747406006,0.21598021686077118,0.3680937886238098,0.3087472915649414,0.31091248989105225
movements,0.3350841999053955,0.17134220898151398,0.29290005564689636,0.3251226544380188,0.19645880162715912,0.15557809174060822,0.25535547733306885,0.15315485000610352,0.3049752116203308,0.20860128104686737,0.23197974264621735,0.1501890867948532
of,0.21371990442276,0.29148387908935547,0.41498205065727234,0.3104008734226227,0.41827285289764404,0.23935265839099884,0.228018656373024,0.4069072902202606,0.2985292971134186,0.3646814823150635,0.33290785551071167,0.1826142966747284
free,0.1609734445810318,0.16909445822238922,0.25286802649497986,0.08710721880197525,0.232481449842453,0.060704488307237625,0.13869406282901764,0.1777290552854538,0.13502436876296997,0.19287452101707458,0.22754132747650146,0.1278279572725296
and,0.25726574659347534,0.2720807194709778,0.4731321930885315,0.2587408721446991,0.5477725267410278,0.21528048813343048,0.24053069949150085,0.3740963041782379,0.2447075992822647,0.4289871156215668,0.31309178471565247,0.20544172823429108
unequal,0.19305537641048431,0.2192075103521347,0.38067692518234253,0.21841628849506378,0.2666374742984772,0.1261022537946701,0.36436256766319275,0.10366666316986084,0.11762908846139908,0.1661224514245987,0.269809365272522,0.13482573628425598
durations,0.2373919039964676,0.1287999153137207,0.29042473435401917,0.21802392601966858,0.2701292932033539,0.11650579422712326,0.29203587770462036,0.11229860782623291,0.17072059214115143,0.18631011247634888,0.25073668360710144,0.23761917650699615
'',0.02896379865705967,0.0038387009408324957,0.007880004122853279,0.0583127923309803,0.07907696813344955,-0.030181478708982468,-0.03071683831512928,0.04456103965640068,0.08033055812120438,-0.010275691747665405,0.08143015950918198,0.018684765323996544
.,0.2736639678478241,0.270800918340683,0.4460422694683075,0.23635780811309814,0.4446153938770294,0.17658381164073944,0.2591777741909027,0.40146201848983765,0.2438153177499771,0.3936232924461365,0.3567904531955719,0.4130953550338745
